"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene-SULT1D1|SULT1D1",728.537249873522,27.1025763341509,3.00321431234481,9.02452289959624,1.80480076594162e-19,2.70619841326564e-15
"gene-KRT5|KRT5",713.247269105803,27.0060459216195,3.00321517191666,8.99237796017931,2.41938081736681e-19,2.70619841326564e-15
"gene-SLC44A4|SLC44A4",594.747972348444,26.7416664210504,3.00322331898256,8.90432165068229,5.37134945985765e-19,3.5292869725614e-15
"gene-PAX8|PAX8",541.998853869231,26.6879714540942,3.00322809200803,8.88642841518241,6.31046796756765e-19,3.5292869725614e-15
"gene-S100A12|S100A12",30.1741766509418,22.6566707486057,2.61044118760115,8.67924964416684,3.9838838163011e-18,1.78246929708944e-14
"gene-LOC119866598|LOC119866598",181.881304629972,25.1621952776471,3.00333464110794,8.37808578945591,5.37954294762727e-17,2.00576258802283e-13
"gene-CMA1|CMA1",164.150117581393,24.8212062188658,3.00335197427165,8.26450127440866,1.40279964981565e-16,4.48314728086084e-13
"gene-KRT17|KRT17",123.714817509933,24.6283961740312,3.00341004805046,8.20014442916901,2.40098390303914e-16,6.71405136186108e-13
"gene-SYT8|SYT8",146.153417040105,24.5583789353205,3.00337387737046,8.17693032504569,2.91166260470448e-16,7.23742268109376e-13
"gene-GAL3ST2|GAL3ST2",110.943267119773,24.4729376331544,3.00343718318519,8.14831013285932,3.69044908384556e-16,8.25590364547091e-13
"gene-HOXB9|HOXB9",89.8704175597806,24.1772077489538,3.00349883476761,8.04968108163907,8.30100558946167e-16,1.68819814583497e-12
"gene-HOXA2|HOXA2",78.6282976971129,23.9370799375441,3.00354520908744,7.96960866948855,1.59177606124765e-15,2.96746852218094e-12
"gene-LOC111098824|LOC111098824",69.7359731500553,23.824327350625,3.00359255251576,7.93194380864681,2.15742056038885e-15,3.71258887357377e-12
"gene-RAB25|RAB25",101.975647515917,23.6606157641729,3.00346017219465,7.8777857563145,3.33233449805022e-15,5.32483250399154e-12
"gene-LOC111095154|LOC111095154",56.5425077559755,23.5314224015484,3.0036900801367,7.834171227305,4.71945265439888e-15,7.03859168877048e-12
"gene-LOC111090856|LOC111090856",50.4130906699976,23.3730205586688,3.00375274996655,7.78127312873175,7.1798295356005e-15,1.00387479088074e-11
"gene-SLCO1A2|SLCO1A2",138.282864318966,23.2665315565534,3.00338530106366,7.74676880396047,9.42603516140474e-15,1.24041077997521e-11
"gene-LOC102153451|LOC102153451",65.1597334845672,23.2386179961824,3.00362204014749,7.73686492027515,1.01898219712321e-14,1.26642504065797e-11
"gene-LOC111089996|LOC111089996",40.5295147542213,23.0683356613076,3.00389397909419,7.67947731239961,1.59739001797011e-14,1.88080063642154e-11
"gene-SMIM34A|SMIM34A",49.3399894361805,23.0151985679533,3.00376529509262,7.66211614654254,1.82894118600425e-14,2.04576216360505e-11
"gene-PLSCR1|PLSCR1",33.3829169148235,22.7615037549165,3.00404774693523,7.57694473336455,3.5378739663827e-14,3.76884659533083e-11
"gene-SULT2B1|SULT2B1",30.8870918915391,22.6882464358048,3.00411838870452,7.55238093182764,4.27372302963923e-14,4.34579354072996e-11
"gene-FGF7|FGF7",29.5751015091906,22.6297660597388,3.0041601458475,7.53280949120467,4.96600401565669e-14,4.62893649309399e-11
"gene-IHH|IHH",29.9304375031798,22.6439964941538,3.00414850460333,7.53757560901393,4.7878904320809e-14,4.62893649309399e-11
"gene-TMEM213|TMEM213",29.0258266550786,22.5997802813078,3.00417905415674,7.52278072441707,5.36233166710655e-14,4.79842886899363e-11
"gene-LOC119866384|LOC119866384",27.7489141633838,22.5402511860178,3.00422535791775,7.50284965360939,6.24451621589926e-14,5.37292585638009e-11
"gene-PFKFB1|PFKFB1",27.2049058223637,22.5103311186754,3.00424623294751,7.49283826066088,6.73999387847515e-14,5.58445937242102e-11
"gene-LOC106559934|LOC106559934",45.6706393355202,22.39645949166,3.00381268612339,7.45601068772504,8.91815143355072e-14,7.12528448999869e-11
"gene-LOC100686760|LOC100686760",22.2914279377729,22.2300072949395,3.00448289327604,7.39894620291886,1.3726944473849e-13,1.05891543042923e-10
"gene-LOC119871613|LOC119871613",21.081454915675,22.1567806565326,3.00455794688977,7.37438952690816,1.6509981484186e-13,1.23114931927575e-10
"gene-LOC106558747|LOC106558747",17.4999063932397,21.8972681700088,3.00484098756034,7.28733009855119,3.16157619312908e-13,2.02078917189973e-10
"gene-LOC119873221|LOC119873221",17.8900870558168,21.9260611549083,3.00480460547559,7.29700064854565,2.94253377001928e-13,2.02078917189973e-10
