NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDH1	42	5.616623401641846	0.1349533	Yes	
row_1	ERBB2	143	3.6122794151306152	0.21696429	Yes	
row_2	DAPK1	180	3.356729745864868	0.29690382	Yes	
row_3	RPS6KA5	512	2.4169297218322754	0.3344702	Yes	
row_4	TP53	911	1.9141453504562378	0.35531902	Yes	
row_5	EGF	1005	1.8398817777633667	0.39433396	Yes	
row_6	VEGFA	1425	1.576371669769287	0.40552527	Yes	
row_7	MYC	1437	1.567649483680725	0.44323927	Yes	
row_8	MDM2	1449	1.5612863302230835	0.4807973	Yes	
row_9	EGFR	1513	1.5331053733825684	0.5142568	Yes	
row_10	CCND1	1567	1.5098652839660645	0.54780173	Yes	
row_11	MAPK3	1639	1.47622811794281	0.5793425	Yes	
row_12	NRAS	1897	1.3761540651321411	0.59624094	Yes	
row_13	ARAF	2125	1.2774369716644287	0.612685	Yes	
row_14	CDK4	3494	0.8863675594329834	0.5447704	No	
row_15	FGFR3	3772	0.8249238729476929	0.5468434	No	
row_16	RAF1	4544	0.6511545181274414	0.51228386	No	
row_17	MMP2	4694	0.6141442060470581	0.51757705	No	
row_18	RASSF1	4741	0.6060734391212463	0.52942204	No	
row_19	MAPK1	4748	0.6041679382324219	0.54384154	No	
row_20	HRAS	4777	0.5994271039962769	0.55670315	No	
row_21	VEGFB	5027	0.5400744080543518	0.55362725	No	
row_22	RB1	5935	0.3507955074310303	0.50279146	No	
row_23	VEGFD	6299	0.2761211693286896	0.48577356	No	
row_24	KRAS	6488	0.2391415685415268	0.47931695	No	
row_25	MAP2K1	7611	0.06370687484741211	0.4073533	No	
row_26	PGF	7641	0.059949953109025955	0.40692273	No	
row_27	VEGFC	7657	0.05881734937429428	0.40738183	No	
row_28	E2F1	9099	-0.10722418874502182	0.31558082	No	
row_29	CDKN1A	9789	-0.16904760897159576	0.27457473	No	
row_30	MMP9	10417	-0.21628433465957642	0.23878966	No	
row_31	E2F3	11401	-0.2892092764377594	0.18146357	No	
row_32	DAPK3	12389	-0.3775008022785187	0.12604004	No	
row_33	BRAF	12465	-0.38605475425720215	0.13059033	No	
row_34	DAPK2	13316	-0.48756855726242065	0.08684311	No	
row_35	MAP2K2	14261	-0.6610039472579956	0.041188203	No	
row_36	E2F2	15079	-1.0837348699569702	0.0142200105	No	
