NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLDN4	27	7.201990604400635	0.06627844	Yes	
row_1	CDH1	42	5.616623401641846	0.118431285	Yes	
row_2	PECAM1	65	4.754094123840332	0.16190743	Yes	
row_3	CLDN8	82	4.280998229980469	0.20130783	Yes	
row_4	ALCAM	86	4.206411361694336	0.24085861	Yes	
row_5	CLDN1	198	3.313613176345825	0.2648682	Yes	
row_6	CLDN7	213	3.250155210494995	0.2946593	Yes	
row_7	PTPRF	301	2.9097557067871094	0.3164315	Yes	
row_8	CLDN23	304	2.9042811393737793	0.34374368	Yes	
row_9	CDH3	319	2.867077112197876	0.36991492	Yes	
row_10	ITGB2	322	2.8569576740264893	0.39677992	Yes	
row_11	CD4	436	2.5794053077697754	0.4137201	Yes	
row_12	ITGAM	805	2.0122628211975098	0.40852588	Yes	
row_13	F11R	906	1.9171124696731567	0.42006296	Yes	
row_14	NEGR1	1036	1.8134616613388062	0.42871284	Yes	
row_15	CLDN3	1078	1.7852671146392822	0.44288537	Yes	
row_16	ITGB1	1094	1.7702484130859375	0.45862642	Yes	
row_17	NECTIN1	1147	1.73313570022583	0.47158274	Yes	
row_18	ITGA9	1224	1.6808055639266968	0.48246568	Yes	
row_19	ESAM	1291	1.6401784420013428	0.4936226	Yes	
row_20	MPZL1	1470	1.5518310070037842	0.49657676	Yes	
row_21	ICAM1	1554	1.5167410373687744	0.50544894	Yes	
row_22	PTPRC	1565	1.5106366872787476	0.5190657	Yes	
row_23	SELPLG	1665	1.4674650430679321	0.52641964	Yes	
row_24	GLG1	1731	1.4403390884399414	0.535754	Yes	
row_25	SELL	1816	1.400797963142395	0.5434648	Yes	
row_26	CD22	2030	1.314801573753357	0.5418767	Yes	
row_27	NEO1	2036	1.3134223222732544	0.55395883	Yes	
row_28	NLGN1	2147	1.2698882818222046	0.55872214	Yes	
row_29	CD58	2306	1.2190237045288086	0.5598472	Yes	
row_30	CD2	2561	1.1430304050445557	0.5539387	No	
row_31	PVR	3145	0.9736372232437134	0.5247863	No	
row_32	PTPRM	3154	0.9721081256866455	0.53344584	No	
row_33	CD276	3196	0.9624431729316711	0.5398432	No	
row_34	SDC4	3237	0.9518471360206604	0.5462062	No	
row_35	CD80	3313	0.9308688640594482	0.5500685	No	
row_36	SDC3	3442	0.9019529223442078	0.5501709	No	
row_37	HLA-DRB1	3560	0.8697264790534973	0.55069244	No	
row_38	ICOSLG	3622	0.855924129486084	0.55476755	No	
row_39	ITGAV	3861	0.8056944012641907	0.546724	No	
row_40	NLGN3	3878	0.8022969961166382	0.5532527	No	
row_41	CDH5	4085	0.7528194189071655	0.5468147	No	
row_42	PDCD1LG2	4149	0.7384569644927979	0.5496482	No	
row_43	ITGA4	4209	0.7249131798744202	0.5526169	No	
row_44	OCLN	4388	0.6850377917289734	0.5473803	No	
row_45	NECTIN2	4570	0.6430572867393494	0.54154974	No	
row_46	ITGB8	4672	0.6186291575431824	0.5407511	No	
row_47	ICAM3	4925	0.5668268203735352	0.52952945	No	
row_48	SIGLEC1	5105	0.5227741599082947	0.5226938	No	
row_49	CDH4	5267	0.487153559923172	0.51670575	No	
row_50	ITGA6	5320	0.47943052649497986	0.51781523	No	
row_51	CD8B	5477	0.4452032148838043	0.5117597	No	
row_52	CLDN20	5555	0.4276054799556732	0.51073486	No	
row_53	SELP	5708	0.40137848258018494	0.5045283	No	
row_54	MAG	5788	0.3840126693248749	0.50295997	No	
row_55	CD86	5789	0.38387826085090637	0.5065874	No	
row_56	JAM2	6081	0.32025933265686035	0.49047017	No	
row_57	CNTNAP1	6666	0.20988352596759796	0.45403492	No	
row_58	CLDN11	6706	0.20423559844493866	0.4533992	No	
row_59	CD99	6789	0.19387821853160858	0.44983688	No	
row_60	NFASC	6821	0.18787144124507904	0.4495728	No	
row_61	CLDN10	6884	0.17734681069850922	0.44716996	No	
row_62	NCAM1	6953	0.16602113842964172	0.44426537	No	
row_63	CNTN1	7023	0.15051314234733582	0.44114846	No	
row_64	CNTNAP2	7441	0.08711881190538406	0.41453928	No	
row_65	SPN	7457	0.08552112430334091	0.4143606	No	
row_66	CLDN5	7502	0.07950041443109512	0.41221732	No	
row_67	CD6	7931	0.023434830829501152	0.3842827	No	
row_68	PDCD1	7992	0.015888230875134468	0.38048574	No	
row_69	CD34	8067	0.00704027246683836	0.37568417	No	
row_70	SELE	8097	0.0037307036109268665	0.37381163	No	
row_71	CDH2	8105	0.003066201228648424	0.37338012	No	
row_72	CD274	8400	-0.029334498569369316	0.35431647	No	
row_73	NLGN4X	8551	-0.04708804935216904	0.34489366	No	
row_74	CDH15	8734	-0.0658925324678421	0.33354342	No	
row_75	NLGN2	8814	-0.07620030641555786	0.32906643	No	
row_76	JAM3	8892	-0.08550895005464554	0.32480898	No	
row_77	CNTN2	9387	-0.13399003446102142	0.29357725	No	
row_78	MADCAM1	9714	-0.1635134220123291	0.2736764	No	
row_79	VCAM1	9797	-0.16958215832710266	0.26988447	No	
row_80	CD226	9953	-0.18095538020133972	0.2613977	No	
row_81	NRXN2	10738	-0.23813094198703766	0.21207234	No	
row_82	NRXN3	10793	-0.24262703955173492	0.21081263	No	
row_83	CLDN9	10832	-0.24584148824214935	0.21063586	No	
row_84	NCAM2	11406	-0.28951016068458557	0.17567666	No	
row_85	NECTIN3	11556	-0.30216753482818604	0.16872998	No	
row_86	ITGA8	11704	-0.31464463472366333	0.16203277	No	
row_87	SDC1	12381	-0.37638434767723083	0.12111863	No	
row_88	CADM1	12394	-0.37801820039749146	0.12390126	No	
row_89	CLDN15	12866	-0.4314401149749756	0.09699331	No	
row_90	NRXN1	13753	-0.5565878748893738	0.043967105	No	
row_91	CLDN18	13935	-0.5865026712417603	0.037602104	No	
row_92	CLDN6	14745	-0.8348431587219238	-0.007729299	No	
row_93	NRCAM	14847	-0.8845306038856506	-0.006015297	No	
row_94	ITGB7	15234	-1.5062658786773682	-0.017175024	No	
row_95	CD40	15286	-2.2422218322753906	6.5762905E-4	No	
