NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	POLE4	2591	1.1329624652862549	-0.09375785	No	
row_1	RPA1	4058	0.7604976892471313	-0.13879532	No	
row_2	PRIM1	4478	0.6652151942253113	-0.121634185	No	
row_3	RFC1	4845	0.5860392451286316	-0.10631062	No	
row_4	RNASEH2B	4848	0.5857223868370056	-0.06716291	No	
row_5	MCM6	5754	0.3918360471725464	-0.1001722	No	
row_6	MCM4	6282	0.27939167618751526	-0.115959525	No	
row_7	MCM3	6363	0.2636706531047821	-0.103518434	No	
row_8	SSBP1	6967	0.1625853180885315	-0.13211754	No	
row_9	POLE2	7354	0.09991447627544403	-0.15070385	No	
row_10	PRIM2	8035	0.011210791766643524	-0.19449839	No	
row_11	RNASEH1	8219	-0.010932291857898235	-0.20575348	No	
row_12	FEN1	8244	-0.0133621571585536	-0.20642963	No	
row_13	RPA2	8314	-0.019110068678855896	-0.20966825	No	
row_14	MCM2	8596	-0.0508427619934082	-0.22466683	No	
row_15	PCNA	9204	-0.11739768087863922	-0.25655827	No	
row_16	DNA2	10005	-0.1851266622543335	-0.29655108	No	
row_17	RPA3	10691	-0.23479785025119781	-0.32567936	No	
row_18	POLE3	10774	-0.24068516492843628	-0.3149107	No	
row_19	RFC3	12972	-0.44394630193710327	-0.42906353	Yes	
row_20	RNASEH2A	12977	-0.44431644678115845	-0.39952955	Yes	
row_21	RFC5	13006	-0.447462797164917	-0.37135682	Yes	
row_22	RFC4	13033	-0.4505583345890045	-0.34284547	Yes	
row_23	RNASEH2C	13042	-0.4520556330680847	-0.31305456	Yes	
row_24	POLD3	13095	-0.45681920647621155	-0.2858266	Yes	
row_25	LIG1	14128	-0.6306259036064148	-0.31114227	Yes	
row_26	POLE	14365	-0.6861931681632996	-0.28058612	Yes	
row_27	POLA2	14521	-0.737595796585083	-0.24127667	Yes	
row_28	POLD1	14779	-0.8504441380500793	-0.20108151	Yes	
row_29	POLD2	15071	-1.07895028591156	-0.14778997	Yes	
row_30	MCM5	15107	-1.1249371767044067	-0.074644156	Yes	
row_31	RFC2	15175	-1.2967422008514404	0.007926664	Yes	
