NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATP6V0A4	77	4.382170677185059	0.032909136	Yes	
row_1	HEXB	130	3.717419385910034	0.06170294	Yes	
row_2	AP1M2	228	3.1569430828094482	0.08267712	Yes	
row_3	DNASE2	266	3.0101590156555176	0.106328905	Yes	
row_4	PPT2	277	2.9639065265655518	0.13135721	Yes	
row_5	M6PR	330	2.841219663619995	0.15255746	Yes	
row_6	GLB1	348	2.7963669300079346	0.175673	Yes	
row_7	CTSS	389	2.687851667404175	0.19633402	Yes	
row_8	TPP1	390	2.6876041889190674	0.21962605	Yes	
row_9	CTSH	412	2.634843587875366	0.24107842	Yes	
row_10	SUMF1	496	2.4612998962402344	0.25694543	Yes	
row_11	CTSB	572	2.2936997413635254	0.27188656	Yes	
row_12	AGA	613	2.233896255493164	0.2886134	Yes	
row_13	CTSV	793	2.0240190029144287	0.29437122	Yes	
row_14	IDS	848	1.9670228958129883	0.3078636	Yes	
row_15	GNPTAB	860	1.9584052562713623	0.32411194	Yes	
row_16	CTSK	934	1.8929593563079834	0.33571175	Yes	
row_17	MAN2B1	1047	1.804532766342163	0.34397787	Yes	
row_18	ATP6V0D2	1087	1.7786600589752197	0.35682526	Yes	
row_19	SMPD1	1233	1.6777033805847168	0.3618199	Yes	
row_20	SCARB2	1239	1.6746644973754883	0.37600416	Yes	
row_21	LGMN	1474	1.5496786832809448	0.37403053	Yes	
row_22	LAPTM5	1476	1.5489954948425293	0.38738903	Yes	
row_23	MCOLN1	1494	1.5406124591827393	0.3996216	Yes	
row_24	CLTA	1523	1.5289350748062134	0.41102886	Yes	
row_25	CD164	1534	1.5241883993148804	0.4235799	Yes	
row_26	AP3M1	1570	1.5081194639205933	0.434346	Yes	
row_27	SLC17A5	1598	1.4970401525497437	0.44554266	Yes	
row_28	PSAP	1620	1.4875342845916748	0.45705193	Yes	
row_29	CTSO	1694	1.4579447507858276	0.46488166	Yes	
row_30	TCIRG1	1727	1.4434585571289062	0.47528484	Yes	
row_31	NAGLU	1746	1.4301116466522217	0.48649395	Yes	
row_32	ACP2	1748	1.4297385215759277	0.4988189	Yes	
row_33	SGSH	1853	1.3903172016143799	0.5040219	Yes	
