NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FGF7	17	13.303993225097656	0.18616119	Yes	
row_1	CDH1	42	5.616623401641846	0.2636497	Yes	
row_2	MET	438	2.577644109725952	0.27400744	Yes	
row_3	PDGFA	624	2.221707582473755	0.29313877	Yes	
row_4	PIK3R1	640	2.1985466480255127	0.3231026	Yes	
row_5	PDGFB	729	2.096865653991699	0.34684348	Yes	
row_6	TP53	911	1.9141453504562378	0.3619079	Yes	
row_7	AKT1	979	1.8597416877746582	0.38368925	Yes	
row_8	EGF	1005	1.8398817777633667	0.40794787	Yes	
row_9	FGF10	1028	1.8234333992004395	0.43217185	Yes	
row_10	FGFR1	1110	1.7602885961532593	0.4516343	Yes	
row_11	MDM2	1449	1.5612863302230835	0.4514264	Yes	
row_12	EGFR	1513	1.5331053733825684	0.4688723	Yes	
row_13	CCND1	1567	1.5098652839660645	0.4866475	Yes	
row_14	MAPK3	1639	1.47622811794281	0.5027677	Yes	
row_15	IGF1	1798	1.4065587520599365	0.5121966	Yes	
row_16	FGF2	1855	1.38974928855896	0.52808404	Yes	
row_17	NRAS	1897	1.3761540651321411	0.54476464	Yes	
row_18	PDGFC	1922	1.3686197996139526	0.56245506	Yes	
row_19	MITF	1974	1.3428473472595215	0.5780104	Yes	
row_20	IGF1R	2066	1.301914930343628	0.59036404	Yes	
row_21	ARAF	2125	1.2774369716644287	0.6045392	Yes	
row_22	FGF9	2430	1.1849759817123413	0.6012658	Yes	
row_23	PDGFRB	2563	1.142483115196228	0.60868394	Yes	
row_24	PIK3CA	3159	0.9712439179420471	0.5833011	No	
row_25	CDK4	3494	0.8863675594329834	0.5738551	No	
row_26	FGF17	4271	0.7107686400413513	0.53292507	No	
row_27	PDGFD	4434	0.676649272441864	0.53181666	No	
row_28	RAF1	4544	0.6511545181274414	0.53382826	No	
row_29	PIK3R2	4567	0.6431885957717896	0.5414382	No	
row_30	FGF12	4719	0.609409511089325	0.54010534	No	
row_31	MAPK1	4748	0.6041679382324219	0.5467722	No	
row_32	HRAS	4777	0.5994271039962769	0.55337226	No	
row_33	FGF16	5309	0.4806290566921234	0.52528405	No	
row_34	PIK3R5	5675	0.40769314765930176	0.50706506	No	
row_35	PTEN	5851	0.3722611963748932	0.50081855	No	
row_36	RB1	5935	0.3507955074310303	0.50030863	No	
row_37	PIK3CB	6129	0.3092108368873596	0.49199313	No	
row_38	FGF18	6474	0.24117149412631989	0.47280845	No	
row_39	KRAS	6488	0.2391415685415268	0.47532147	No	
row_40	HGF	6616	0.2177797555923462	0.47005105	No	
row_41	FGF21	7323	0.10475141555070877	0.42518494	No	
row_42	MAP2K1	7611	0.06370687484741211	0.40724352	No	
row_43	FGF1	7644	0.059512000530958176	0.40598083	No	
row_44	AKT2	8717	-0.06443443149328232	0.33652356	No	
row_45	E2F1	9099	-0.10722418874502182	0.31302473	No	
row_46	FGF6	9211	-0.11793974786996841	0.3073991	No	
row_47	FGF22	9415	-0.1369611918926239	0.29600248	No	
row_48	FGF8	9496	-0.14383845031261444	0.2927762	No	
row_49	CDKN1A	9789	-0.16904760897159576	0.27598944	No	
row_50	FGF11	10267	-0.203778937458992	0.24754849	No	
row_51	PIK3CD	10603	-0.2288975864648819	0.22878179	No	
row_52	AKT3	11051	-0.2610969543457031	0.20311685	No	
row_53	E2F3	11401	-0.2892092764377594	0.1842802	No	
row_54	FGF14	11770	-0.3203161358833313	0.1646343	No	
row_55	BRAF	12465	-0.38605475425720215	0.1245157	No	
row_56	PIK3CG	14066	-0.6178492307662964	0.028191673	No	
row_57	CDK6	14091	-0.6224426031112671	0.035378326	No	
row_58	FGF13	14096	-0.6230890154838562	0.043886844	No	
row_59	MAP2K2	14261	-0.6610039472579956	0.042426948	No	
row_60	BAD	14468	-0.7190629243850708	0.039027523	No	
row_61	E2F2	15079	-1.0837348699569702	0.014243609	No	
