NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MSH3	2326	1.2120442390441895	-0.043478906	No	
row_1	PMS2	3441	0.9020591974258423	-0.035440132	No	
row_2	RPA1	4058	0.7604976892471313	-0.0075069494	No	
row_3	RFC1	4845	0.5860392451286316	-0.0063607153	No	
row_4	MSH2	6553	0.2284548282623291	-0.09759984	No	
row_5	SSBP1	6967	0.1625853180885315	-0.110043	No	
row_6	MSH6	8088	0.005087691359221935	-0.18290398	No	
row_7	RPA2	8314	-0.019110068678855896	-0.19591776	No	
row_8	PCNA	9204	-0.11739768087863922	-0.24357668	No	
row_9	RPA3	10691	-0.23479785025119781	-0.31977937	No	
row_10	MLH1	12053	-0.34518328309059143	-0.3778917	No	
row_11	EXO1	12646	-0.40481093525886536	-0.38031182	Yes	
row_12	RFC3	12972	-0.44394630193710327	-0.36174095	Yes	
row_13	RFC5	13006	-0.447462797164917	-0.32373953	Yes	
row_14	RFC4	13033	-0.4505583345890045	-0.28500205	Yes	
row_15	POLD3	13095	-0.45681920647621155	-0.24799378	Yes	
row_16	MLH3	13447	-0.5079208016395569	-0.22538297	Yes	
row_17	LIG1	14128	-0.6306259036064148	-0.2132959	Yes	
row_18	POLD1	14779	-0.8504441380500793	-0.17951536	Yes	
row_19	POLD2	15071	-1.07895028591156	-0.10172451	Yes	
row_20	RFC2	15175	-1.2967422008514404	0.0079209665	Yes	
