NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CETN2	1181	1.7028038501739502	-0.002607677	No	
row_1	RAD23B	1264	1.657684564590454	0.06483518	No	
row_2	ERCC3	1410	1.583237886428833	0.12487856	No	
row_3	GTF2H5	2143	1.2708872556686401	0.13272712	No	
row_4	POLE4	2591	1.1329624652862549	0.15319696	No	
row_5	ERCC6	3031	1.001142978668213	0.1684007	No	
row_6	ERCC5	4004	0.7725006937980652	0.13862604	No	
row_7	RPA1	4058	0.7604976892471313	0.16855876	No	
row_8	GTF2H3	4214	0.7232674956321716	0.1901706	No	
row_9	RFC1	4845	0.5860392451286316	0.17462115	No	
row_10	ERCC4	5147	0.5151143670082092	0.17752004	No	
row_11	ERCC8	5825	0.37732914090156555	0.14972198	No	
row_12	CUL4B	6503	0.2371130734682083	0.115764625	No	
row_13	CCNH	7244	0.1159253641963005	0.07235458	No	
row_14	CUL4A	7302	0.10735577344894409	0.073334426	No	
row_15	XPC	7351	0.10020405799150467	0.07459001	No	
row_16	POLE2	7354	0.09991447627544403	0.078847885	No	
row_17	ERCC1	7520	0.07669636607170105	0.07140224	No	
row_18	XPA	7998	0.014600572176277637	0.040779263	No	
row_19	RPA2	8314	-0.019110068678855896	0.020972457	No	
row_20	DDB2	8487	-0.04056735336780548	0.011480954	No	
row_21	PCNA	9204	-0.11739768087863922	-0.030291371	No	
row_22	RBX1	10064	-0.1900438517332077	-0.0782453	No	
row_23	RPA3	10691	-0.23479785025119781	-0.10896163	No	
row_24	POLE3	10774	-0.24068516492843628	-0.10376359	No	
row_25	GTF2H1	11928	-0.3335830569267273	-0.16468208	No	
row_26	DDB1	12257	-0.36586037278175354	-0.17010918	No	
row_27	RFC3	12972	-0.44394630193710327	-0.19740605	Yes	
row_28	RFC5	13006	-0.447462797164917	-0.17991321	Yes	
row_29	RFC4	13033	-0.4505583345890045	-0.16182557	Yes	
row_30	ERCC2	13056	-0.4536899924278259	-0.1433382	Yes	
row_31	POLD3	13095	-0.45681920647621155	-0.12576208	Yes	
row_32	CDK7	13503	-0.5153957009315491	-0.12979846	Yes	
row_33	MNAT1	13531	-0.5183930397033691	-0.10879658	Yes	
row_34	RAD23A	13763	-0.5583933591842651	-0.099408515	Yes	
row_35	LIG1	14128	-0.6306259036064148	-0.09556478	Yes	
row_36	POLE	14365	-0.6861931681632996	-0.080890544	Yes	
row_37	POLD1	14779	-0.8504441380500793	-0.070602454	Yes	
row_38	POLD2	15071	-1.07895028591156	-0.04228039	Yes	
row_39	RFC2	15175	-1.2967422008514404	0.007930867	Yes	
