NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FBP2	81	4.302278518676758	0.17036496	Yes	
row_1	PGM2	253	3.041372299194336	0.28335348	Yes	
row_2	FBP1	419	2.61684513092041	0.37940076	Yes	
row_3	DERA	502	2.450111150741577	0.4740738	Yes	
row_4	PRPS1	978	1.8598442077636719	0.51891714	Yes	
row_5	RPE	2010	1.3246405124664307	0.50550807	Yes	
row_6	PGD	2077	1.2964774370193481	0.5541242	Yes	
row_7	H6PD	2381	1.1964917182922363	0.5831422	Yes	
row_8	TALDO1	2395	1.1931207180023193	0.63100785	Yes	
row_9	TKT	3234	0.9527561068534851	0.61504924	Yes	
row_10	PGM1	3398	0.9124048352241516	0.6416329	Yes	
row_11	ALDOC	3510	0.881509006023407	0.6703593	Yes	
row_12	ALDOB	5671	0.4083239734172821	0.5456242	No	
row_13	ALDOA	7359	0.09896877408027649	0.43922335	No	
row_14	RPIA	8026	0.012186422944068909	0.39612028	No	
row_15	PGLS	8480	-0.03968839347362518	0.3680845	No	
row_16	RBKS	8718	-0.06443481892347336	0.3551999	No	
row_17	GPI	9942	-0.18021053075790405	0.2824927	No	
row_18	TKTL1	10660	-0.2320818454027176	0.24502945	No	
row_19	PRPS1L1	10953	-0.2543340027332306	0.23629804	No	
row_20	PFKP	11249	-0.27732083201408386	0.22830881	No	
row_21	PFKM	14869	-0.895598292350769	0.027954211	No	
