NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CNOT8	1734	1.4381818771362305	-0.056859262	No	
row_1	C1D	2034	1.3141921758651733	-0.02448228	No	
row_2	EXOSC2	2670	1.109514594078064	-0.022245727	No	
row_3	HSPD1	3460	0.897555947303772	-0.038497757	No	
row_4	CNOT6L	3640	0.8538662791252136	-0.016459886	No	
row_5	PATL1	3663	0.848659098148346	0.015671786	No	
row_6	XRN2	3700	0.8400459289550781	0.046544246	No	
row_7	MPHOSPH6	3874	0.8043739199638367	0.067017704	No	
row_8	PARN	4116	0.7454816699028015	0.08070019	No	
row_9	LSM6	4169	0.7332711219787598	0.10629872	No	
row_10	ZCCHC7	4389	0.6847575902938843	0.11902209	No	
row_11	PAPOLG	4919	0.5687937140464783	0.106820464	No	
row_12	DDX6	5246	0.49143144488334656	0.10487579	No	
row_13	DCP2	5253	0.4893156886100769	0.12384065	No	
row_14	TENT4A	5907	0.35772478580474854	0.09515375	No	
row_15	EXOSC7	6019	0.3339674472808838	0.10108426	No	
row_16	ENO1	6181	0.29857152700424194	0.10233423	No	
row_17	PNPT1	6461	0.24373050034046173	0.093673296	No	
row_18	XRN1	6688	0.20689944922924042	0.08703225	No	
row_19	DCP1A	6769	0.19698111712932587	0.08957698	No	
row_20	LSM1	6889	0.17659606039524078	0.08875667	No	
row_21	LSM3	6927	0.16976992785930634	0.09304583	No	
row_22	LSM5	7117	0.13341712951660156	0.08592499	No	
row_23	CNOT7	7242	0.11603745073080063	0.082380824	No	
row_24	EXOSC6	7272	0.1121150329709053	0.08491385	No	
row_25	HSPA9	7300	0.10775838792324066	0.08740572	No	
row_26	LSM4	7491	0.08078703284263611	0.07813711	No	
row_27	DIS3	7690	0.05403045937418938	0.06728511	No	
row_28	LSM8	7855	0.032384149730205536	0.05780727	No	
row_29	CNOT6	7942	0.0217366274446249	0.053025287	No	
row_30	MTREX	8009	0.013820149004459381	0.049242187	No	
row_31	ENO2	8256	-0.014239192008972168	0.03366697	No	
row_32	EXOSC3	8767	-0.07048798352479935	0.0029976608	No	
row_33	PAPOLA	8849	-0.08023189008235931	8.579092E-4	No	
row_34	EXOSC1	8897	-0.08576615154743195	0.0011676382	No	
row_35	CNOT2	9258	-0.12212307751178741	-0.017618282	No	
row_36	CNOT1	10258	-0.2034492939710617	-0.07510763	No	
row_37	LSM2	10395	-0.21435801684856415	-0.075549245	No	
row_38	EDC3	11473	-0.2951194643974304	-0.13452901	No	
row_39	PAPOLB	11687	-0.31310099363327026	-0.13611563	No	
row_40	CNOT10	11854	-0.3273717761039734	-0.13405426	No	
row_41	LSM7	12238	-0.36416754126548767	-0.14477323	No	
row_42	EXOSC4	13853	-0.571562647819519	-0.22804552	Yes	
row_43	EXOSC8	13918	-0.5832255482673645	-0.20917039	Yes	
row_44	CNOT9	13972	-0.594706654548645	-0.1891194	Yes	
row_45	EXOSC9	13984	-0.5988515615463257	-0.16614906	Yes	
row_46	DCP1B	14381	-0.6903443932533264	-0.16481654	Yes	
row_47	ENO3	14429	-0.7044335603713989	-0.14003088	Yes	
row_48	EXOSC5	14453	-0.7133467793464661	-0.11331808	Yes	
row_49	DCPS	14482	-0.7235974669456482	-0.086527765	Yes	
row_50	CNOT4	14560	-0.7570239901542664	-0.061629605	Yes	
row_51	EDC4	14616	-0.7768022418022156	-0.034505688	Yes	
row_52	CNOT3	14805	-0.8637803792953491	-0.012666028	Yes	
row_53	EXOSC10	15113	-1.1326916217803955	0.012005532	Yes	
