NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TM7SF2	359	2.764707088470459	0.14200877	Yes	
row_1	SC5D	809	2.0069849491119385	0.23276882	Yes	
row_2	MSMO1	1140	1.7363100051879883	0.31511304	Yes	
row_3	HSD17B7	1144	1.7339048385620117	0.41871244	Yes	
row_4	DHCR7	1174	1.7073270082473755	0.51901937	Yes	
row_5	EBP	1223	1.6833338737487793	0.6166466	Yes	
row_6	SOAT2	1298	1.6378324031829834	0.7098485	Yes	
row_7	LIPA	3869	0.8046801686286926	0.58983594	No	
row_8	NSDHL	4578	0.6413946151733398	0.5818993	No	
row_9	LSS	5711	0.4012160003185272	0.5318381	No	
row_10	SOAT1	5798	0.3829476535320282	0.5491344	No	
row_11	SQLE	6267	0.2812279462814331	0.5353431	No	
row_12	DHCR24	9142	-0.11127524822950363	0.3539276	No	
row_13	CYP27B1	10207	-0.20055916905403137	0.2963046	No	
row_14	CYP51A1	10519	-0.2225927710533142	0.2892775	No	
row_15	FDFT1	12504	-0.3886820375919342	0.1827105	No	
