NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SULT2B1	15	13.369194030761719	0.418575	Yes	
row_1	CYP7B1	741	2.0853958129882812	0.43653786	Yes	
row_2	HSD17B7	1144	1.7339048385620117	0.4646241	Yes	
row_3	UGT1A6	1390	1.589880347251892	0.49847278	Yes	
row_4	HSD17B12	1899	1.3760738372802734	0.50838727	Yes	
row_5	SRD5A3	2441	1.1812080144882202	0.51002514	Yes	
row_6	AKR1D1	2602	1.130531668663025	0.5350252	Yes	
row_7	CYP1B1	2868	1.0463005304336548	0.55050516	Yes	
row_8	COMT	3002	1.0099753141403198	0.57349014	Yes	
row_9	HSD17B8	3299	0.934665322303772	0.58343655	Yes	
row_10	HSD17B6	3708	0.8379825949668884	0.5830136	Yes	
row_11	SRD5A1	3850	0.8094866275787354	0.59918284	Yes	
row_12	HSD17B1	3981	0.7780136466026306	0.6150848	Yes	
row_13	HSD11B2	4005	0.7721303105354309	0.6378098	Yes	
row_14	AKR1C3	5871	0.3676117956638336	0.52720344	No	
row_15	HSD17B2	6303	0.2752721905708313	0.507615	No	
row_16	HSD11B1	6850	0.18255214393138885	0.4775852	No	
row_17	CYP1A1	7801	0.040617235004901886	0.4166423	No	
row_18	STS	8093	0.004244182258844376	0.39771727	No	
row_19	HSD3B2	8138	-0.0010602060938253999	0.39486888	No	
row_20	SRD5A2	8352	-0.023157944902777672	0.3816458	No	
row_21	CYP19A1	8593	-0.050576090812683105	0.36751488	No	
row_22	HSD17B3	9638	-0.15638679265975952	0.30404884	No	
row_23	CYP11B2	9760	-0.16736693680286407	0.30137667	No	
row_24	CYP17A1	12491	-0.38804540038108826	0.13476081	No	
row_25	CYP7A1	13142	-0.4643162190914154	0.10676226	No	
row_26	CYP11A1	13571	-0.5262128114700317	0.09524543	No	
row_27	CYP21A2	13789	-0.562835156917572	0.098696746	No	
