NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATP6V1C2	39	5.8678083419799805	0.13391936	Yes	
row_1	ATP6V0A4	77	4.382170677185059	0.23341608	Yes	
row_2	ERO1A	401	2.659724235534668	0.27409708	Yes	
row_3	PRKX	650	2.1879615783691406	0.30872363	Yes	
row_4	TJP1	749	2.075465679168701	0.35056973	Yes	
row_5	GNAS	857	1.9600623846054077	0.38914156	Yes	
row_6	ATP6V0D2	1087	1.7786600589752197	0.41549423	Yes	
row_7	PRKACB	1157	1.7195854187011719	0.4509647	Yes	
row_8	SEC61A1	1403	1.5853413343429565	0.47177187	Yes	
row_9	KCNQ1	1624	1.4861170053482056	0.49191058	Yes	
row_10	TCIRG1	1727	1.4434585571289062	0.51879483	Yes	
row_11	KDELR1	1882	1.3805869817733765	0.5408069	Yes	
row_12	ATP6V0A2	2065	1.3019232749938965	0.5591533	Yes	
row_13	PDIA4	2213	1.2510346174240112	0.57861125	Yes	
row_14	ATP6V0A1	2331	1.2104142904281616	0.5990916	Yes	
row_15	ATP6V1B2	3440	0.9021786451339722	0.54741925	No	
row_16	ATP6V0C	3776	0.8239390254020691	0.5446157	No	
row_17	TJP2	4307	0.7042804956436157	0.52624214	No	
row_18	ATP6V0B	4700	0.6121521592140198	0.514775	No	
row_19	ADCY9	4762	0.602424144744873	0.5247865	No	
row_20	ATP6V1E1	5069	0.5301432609558105	0.5170513	No	
row_21	ATP6V1H	5166	0.5092030763626099	0.5225995	No	
row_22	KDELR3	5336	0.4753674268722534	0.5225739	No	
row_23	PLCG1	6110	0.31435906887054443	0.47919694	No	
row_24	ATP6V0E1	6152	0.30380603671073914	0.48357448	No	
row_25	KDELR2	6775	0.1959243267774582	0.4473445	No	
row_26	SEC61G	6785	0.19460560381412506	0.4512806	No	
row_27	ATP6V1B1	7598	0.06584306061267853	0.3995661	No	
row_28	ATP6V1A	7653	0.0590941458940506	0.39739957	No	
row_29	ATP6V1C1	7727	0.049944061785936356	0.39377433	No	
row_30	PRKCA	7961	0.019298546016216278	0.3789445	No	
row_31	ARF1	8392	-0.02818845957517624	0.3514034	No	
row_32	PLCG2	8621	-0.05388709530234337	0.3377059	No	
row_33	SLC12A2	8643	-0.05626469850540161	0.33763748	No	
row_34	PRKCG	8913	-0.08755506575107574	0.32203457	No	
row_35	ATP6V1D	9081	-0.10611014068126678	0.3135517	No	
row_36	ACTB	9348	-0.13033315539360046	0.29914045	No	
row_37	PRKCB	9513	-0.14499704539775848	0.29175878	No	
row_38	SEC61A2	10933	-0.2527165114879608	0.20458741	No	
row_39	PRKACA	11036	-0.2602991461753845	0.20395307	No	
row_40	ACTG1	11134	-0.2682632803916931	0.20383184	No	
row_41	ATP6V1E2	11355	-0.2853836119174957	0.19604321	No	
row_42	ATP6V1G2	11440	-0.2928890883922577	0.1973472	No	
row_43	ATP6V1F	11954	-0.3356636166572571	0.1715149	No	
row_44	ATP6V1G1	13229	-0.47625458240509033	0.09905092	No	
row_45	ATP6V0D1	13665	-0.5401409864425659	0.083089225	No	
row_46	ATP6V0E2	15027	-1.0231136083602905	0.01763947	No	
