NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
KEGG_ABC_TRANSPORTERS	44	38		
KEGG_ACUTE_MYELOID_LEUKEMIA	57	54		
KEGG_ADHERENS_JUNCTION	73	71		
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	67	61		
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	32	26		
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	42	36		
KEGG_ALLOGRAFT_REJECTION	37		Rejected!	
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	19		Rejected!	
KEGG_ALZHEIMERS_DISEASE	166	136		
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	41	41		
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	44	40		
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	53	51		
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	88	32		
KEGG_APOPTOSIS	87	78		
KEGG_ARACHIDONIC_ACID_METABOLISM	58	34		
KEGG_ARGININE_AND_PROLINE_METABOLISM	54	40		
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	74	66		
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	25		Rejected!	
KEGG_ASTHMA	30		Rejected!	
KEGG_AUTOIMMUNE_THYROID_DISEASE	52		Rejected!	
KEGG_AXON_GUIDANCE	129	121		
KEGG_BASAL_CELL_CARCINOMA	55	49		
KEGG_BASAL_TRANSCRIPTION_FACTORS	35	29		
KEGG_BASE_EXCISION_REPAIR	35	32		
KEGG_BETA_ALANINE_METABOLISM	22	20		
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	22	19		
KEGG_BLADDER_CANCER	42	37		
KEGG_BUTANOATE_METABOLISM	34	24		
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	75	65		
KEGG_CALCIUM_SIGNALING_PATHWAY	178	158		
KEGG_CARDIAC_MUSCLE_CONTRACTION	79	51		
KEGG_CELL_ADHESION_MOLECULES_CAMS	133	96		
KEGG_CELL_CYCLE	125	120		
KEGG_CHEMOKINE_SIGNALING_PATHWAY	188	142		
KEGG_CHRONIC_MYELOID_LEUKEMIA	73	70		
KEGG_CIRCADIAN_RHYTHM_MAMMAL	13		Rejected!	
KEGG_CITRATE_CYCLE_TCA_CYCLE	31	28		
KEGG_COLORECTAL_CANCER	62	58		
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	69	43		
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	34	30		
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	264	159		
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	55	35		
KEGG_DILATED_CARDIOMYOPATHY	90	74		
KEGG_DNA_REPLICATION	36	32		
KEGG_DORSO_VENTRAL_AXIS_FORMATION	24	22		
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	72	24		
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	51	21		
KEGG_ECM_RECEPTOR_INTERACTION	84	71		
KEGG_ENDOCYTOSIS	181	158		
KEGG_ENDOMETRIAL_CANCER	52	50		
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	68	62		
KEGG_ERBB_SIGNALING_PATHWAY	87	84		
KEGG_ETHER_LIPID_METABOLISM	33	23		
KEGG_FATTY_ACID_METABOLISM	42	33		
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	79	63		
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	96	91		
KEGG_FOCAL_ADHESION	199	184		
KEGG_FOLATE_BIOSYNTHESIS	11		Rejected!	
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	34	32		
KEGG_GALACTOSE_METABOLISM	26	22		
KEGG_GAP_JUNCTION	90	74		
KEGG_GLIOMA	65	60		
KEGG_GLUTATHIONE_METABOLISM	50	34		
KEGG_GLYCEROLIPID_METABOLISM	49	40		
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	77	61		
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	31	26		
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	62	48		
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	22	20		
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	26	24		
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	15		Rejected!	
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	21	19		
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	15		Rejected!	
