NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TSPAN15	35	6.035345554351807	0.08838002	Yes	
row_1	CDH1	42	5.616623401641846	0.17236908	Yes	
row_2	MAL2	112	3.8612334728240967	0.2258587	Yes	
row_3	TMEM30B	124	3.7763991355895996	0.28187335	Yes	
row_4	SH3YL1	125	3.743027448654175	0.33810726	Yes	
row_5	DSC2	158	3.5300724506378174	0.38904548	Yes	
row_6	CLDN7	213	3.250155210494995	0.43433714	Yes	
row_7	CRB3	218	3.2165262699127197	0.48239902	Yes	
row_8	TACSTD2	317	2.8747308254241943	0.519168	Yes	
row_9	CDH3	319	2.867077112197876	0.5621764	Yes	
row_10	SFN	378	2.7069640159606934	0.59904534	Yes	
row_11	MPZL2	383	2.699615240097046	0.63934135	Yes	
row_12	PKP3	498	2.4605395793914795	0.6688395	Yes	
row_13	PCDH7	519	2.3967058658599854	0.70353657	Yes	
row_14	SHROOM3	877	1.9448825120925903	0.70936894	Yes	
row_15	F11R	906	1.9171124696731567	0.7363367	Yes	
row_16	DMKN	944	1.8825583457946777	0.76219577	Yes	
row_17	EPCAM	963	1.8718785047531128	0.789139	Yes	
row_18	DSP	1333	1.6199841499328613	0.78930414	Yes	
row_19	PATJ	1610	1.4920525550842285	0.7936396	Yes	
row_20	SYTL1	1758	1.4263733625411987	0.80543905	Yes	
row_21	PPL	2703	1.1008784770965576	0.76013744	No	
row_22	EPPK1	3338	0.9250910878181458	0.73250276	No	
row_23	CXADR	4355	0.6922255158424377	0.676345	No	
row_24	OCLN	4388	0.6850377917289734	0.68454045	No	
row_25	CDH4	5267	0.487153559923172	0.6343421	No	
row_26	SCEL	5811	0.38024473190307617	0.6044832	No	
row_27	TSPAN1	6557	0.22798682749271393	0.5591039	No	
row_28	CDH11	7218	0.11975326389074326	0.5176669	No	
row_29	CD24	7561	0.0721597895026207	0.4963468	No	
row_30	MUC1	10529	-0.2235441505908966	0.30533907	No	
row_31	MARVELD2	13103	-0.4578448235988617	0.14366205	No	
