NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLSCR1	14	13.451257705688477	0.32528898	Yes	
row_1	MX1	121	3.8182373046875	0.41094798	Yes	
row_2	TNFSF10	238	3.1143229007720947	0.47888198	Yes	
row_3	IFI44L	285	2.9506096839904785	0.5474267	Yes	
row_4	LY6E	369	2.7346127033233643	0.6083119	Yes	
row_5	IFI35	562	2.3183376789093018	0.6519691	Yes	
row_6	TAP1	584	2.2723066806793213	0.70570034	Yes	
row_7	OAS1	796	2.020977020263672	0.74090284	Yes	
row_8	MX2	856	1.9602235555648804	0.78457904	Yes	
row_9	SERPING1	933	1.8929725885391235	0.8255118	Yes	
row_10	AGRN	1135	1.7403212785720825	0.8545626	Yes	
row_11	S100A8	1346	1.6126919984817505	0.8799293	Yes	
row_12	STAT1	4790	0.597023069858551	0.66909516	No	
row_13	CKAP4	6807	0.19144190847873688	0.54180926	No	
row_14	IFIT3	10704	-0.23618122935295105	0.29257974	No	
row_15	TDRD7	11819	-0.32405921816825867	0.22753748	No	
