NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRR15L	88	4.178552627563477	0.041173544	No	
row_1	LURAP1L	250	3.053347110748291	0.06486919	No	
row_2	PGPEP1	511	2.4173591136932373	0.07487005	No	
row_3	ZNF395	715	2.1146860122680664	0.08523434	No	
row_4	FAM111B	845	1.968690276145935	0.098847464	No	
row_5	DHFR	995	1.8473601341247559	0.1097744	No	
row_6	VAV3	1072	1.7883596420288086	0.12486239	No	
row_7	UPK3B	1189	1.7004082202911377	0.13631774	No	
row_8	RBBP8NL	1267	1.6529788970947266	0.14981723	No	
row_9	FADS1	1386	1.5909183025360107	0.15990916	No	
row_10	XRCC2	1932	1.3630799055099487	0.13921875	No	
row_11	EPN3	2016	1.3200706243515015	0.14857802	No	
row_12	SKA1	2176	1.2618907690048218	0.15226023	No	
row_13	PIK3C2B	2546	1.1476337909698486	0.1407788	No	
row_14	CAMK1	2722	1.0962332487106323	0.14154069	No	
row_15	TEF	2754	1.0852723121643066	0.15169622	No	
row_16	ZNF331	2864	1.047870397567749	0.15627617	No	
row_17	MAP3K12	3039	0.9998502731323242	0.1560203	No	
row_18	KANK2	3127	0.9781559109687805	0.16127025	No	
row_19	SLC46A1	3407	0.9108049869537354	0.15307362	No	
row_20	GPATCH11	3604	0.8608174920082092	0.14980032	No	
row_21	THBD	3615	0.8570297956466675	0.15877704	No	
row_22	NEXN	3625	0.8557491898536682	0.16780546	No	
row_23	SFXN2	3797	0.8197696805000305	0.16572279	No	
row_24	PSRC1	4039	0.7629815340042114	0.15837523	No	
row_25	PRIM1	4478	0.6652151942253113	0.13690864	No	
row_26	IRAG2	4554	0.6483154296875	0.13924249	No	
row_27	ZNF782	4617	0.6323152184486389	0.14225556	No	
row_28	TMCC2	5273	0.4859565794467926	0.10443171	No	
row_29	ARPIN	5330	0.4768666625022888	0.10609325	No	
row_30	TFAP4	5578	0.42422395944595337	0.09453971	No	
row_31	CASTOR1	5815	0.37925985455513	0.08320751	No	
row_32	ORC1	5993	0.33887097239494324	0.07532041	No	
row_33	KIF18B	6095	0.31741079688072205	0.072214775	No	
row_34	OSBPL7	6116	0.31217533349990845	0.07440352	No	
row_35	DDX11	6142	0.30682095885276794	0.076201595	No	
row_36	MCM4	6282	0.27939167618751526	0.07015702	No	
row_37	RARB	6343	0.2677159011363983	0.06920222	No	
row_38	ZNF248	6475	0.24104975163936615	0.0632552	No	
row_39	SUV39H1	6673	0.2082514762878418	0.052577432	No	
row_40	MFSD13A	6831	0.18665452301502228	0.044300385	No	
row_41	NEIL3	7109	0.13510704040527344	0.027512927	No	
row_42	WDR76	7157	0.12822268903255463	0.025848635	No	
row_43	HILPDA	7184	0.12388388812541962	0.02552343	No	
row_44	FANCB	7546	0.07406985014677048	0.0024980684	No	
row_45	WDHD1	7583	0.06889431923627853	8.935898E-4	No	
row_46	PPARGC1B	7640	0.060020316392183304	-0.0021324703	No	
row_47	GINS4	7684	0.05471145734190941	-0.004359067	No	
row_48	JRK	7737	0.04878493770956993	-0.007247115	No	
row_49	RBL1	7741	0.04855034500360489	-0.0068994164	No	
row_50	CDC7	7844	0.03361235186457634	-0.013262561	No	
row_51	ANLN	7939	0.022122325375676155	-0.019226197	No	
row_52	TEDC2	8076	0.006206595338881016	-0.028144572	No	
row_53	CCDC18	8142	-0.0016037218738347292	-0.032422356	No	
row_54	FEN1	8244	-0.0133621571585536	-0.03894713	No	
row_55	RAD54L	8264	-0.015118268318474293	-0.04003282	No	
row_56	GINS2	8404	-0.029825257137417793	-0.048883863	No	
row_57	LMNB1	8523	-0.04461197555065155	-0.05618074	No	
row_58	TCF19	8530	-0.04535569250583649	-0.05606724	No	
row_59	DEPDC1B	8573	-0.04896307364106178	-0.05829239	No	
row_60	MCM2	8596	-0.0508427619934082	-0.059174612	No	
row_61	CBX2	8674	-0.059752367436885834	-0.06359156	No	
row_62	PRR11	8699	-0.06261458247900009	-0.064473584	No	
row_63	EME1	8820	-0.07649904489517212	-0.071544066	No	
row_64	ATAD5	8825	-0.0770302414894104	-0.070942186	No	
row_65	CDT1	8930	-0.08872296661138535	-0.07681777	No	
row_66	RFXAP	9097	-0.10715504735708237	-0.08658362	No	
row_67	E2F1	9099	-0.10722418874502182	-0.08544394	No	
row_68	ZSCAN31	9362	-0.13193072378635406	-0.10127577	No	
row_69	NCAPG2	9435	-0.13820019364356995	-0.1044801	No	
row_70	TRIM45	9514	-0.14501813054084778	-0.108004294	No	
row_71	CDCA7	9576	-0.1516428291797638	-0.11033048	No	
row_72	SGO1	9663	-0.1591298133134842	-0.114224695	No	
row_73	BLM	9670	-0.16001202166080475	-0.11282183	No	
row_74	UCN2	9876	-0.17550447583198547	-0.12439656	No	
row_75	MEX3A	9972	-0.18274909257888794	-0.12861998	No	
row_76	DIAPH3	9989	-0.1841484159231186	-0.1276066	No	
row_77	TOP2A	10076	-0.1910627782344818	-0.13114172	No	
row_78	HMMR	10148	-0.19598270952701569	-0.13363017	No	
row_79	CDC45	10167	-0.19756962358951569	-0.13259804	No	
row_80	CIT	10297	-0.20640861988067627	-0.13880244	No	
row_81	RRM2	10466	-0.21943211555480957	-0.14743787	No	
row_82	PLK4	10601	-0.22877174615859985	-0.15372124	No	
row_83	ZNF608	10625	-0.2301005721092224	-0.15265372	No	
row_84	DTL	10887	-0.24986234307289124	-0.16709329	No	
row_85	KIF15	10949	-0.25410449504852295	-0.16826724	No	
row_86	KIF2C	11039	-0.2603898346424103	-0.17122102	No	
row_87	BUB1B	11074	-0.2629077136516571	-0.17051157	No	
row_88	FANCI	11170	-0.27178022265434265	-0.1737338	No	
row_89	TK1	11227	-0.2753504812717438	-0.17433839	No	
row_90	NCAPG	11276	-0.2793451249599457	-0.17436934	No	
row_91	PADI1	11402	-0.2892574369907379	-0.17937772	No	
row_92	CENPE	11467	-0.2948545515537262	-0.1802917	No	
row_93	SPC25	11589	-0.3047841191291809	-0.18486111	No	
row_94	BRCA1	11623	-0.3080597221851349	-0.1835778	No	
row_95	CDKN3	11665	-0.31106001138687134	-0.18278949	No	
row_96	MND1	11699	-0.3142349421977997	-0.18143675	No	
row_97	CDCA2	11700	-0.3143102526664734	-0.1779022	No	
row_98	PHGDH	11772	-0.32041147351264954	-0.17899142	No	
row_99	KIF14	11805	-0.3230268359184265	-0.17747372	No	
row_100	PCLAF	11808	-0.32313305139541626	-0.17397214	No	
row_101	UBE2T	11860	-0.3277643322944641	-0.17365687	No	
row_102	CLSPN	11950	-0.33532407879829407	-0.17576799	No	
