NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KRT5	1	18.616294860839844	0.09139054	Yes	
row_1	RAB25	11	14.477251052856445	0.16192088	Yes	
row_2	EHF	24	7.57856559753418	0.19836265	Yes	
row_3	PDZK1IP1	29	6.744083881378174	0.23123117	Yes	
row_4	CDH1	42	5.616623401641846	0.2580345	Yes	
row_5	PROM2	50	5.1207356452941895	0.28273064	Yes	
row_6	PRR15L	88	4.178552627563477	0.3008244	Yes	
row_7	LAD1	96	4.069394111633301	0.3203556	Yes	
row_8	ESRP1	106	3.9580719470977783	0.33920833	Yes	
row_9	MAL2	112	3.8612334728240967	0.35784847	Yes	
row_10	BLNK	117	3.837184190750122	0.37643626	Yes	
row_11	TMEM30B	124	3.7763991355895996	0.39459386	Yes	
row_12	SH3YL1	125	3.743027448654175	0.41298223	Yes	
row_13	KCNK1	132	3.694427728652954	0.43073714	Yes	
row_14	EPHA1	153	3.5506508350372314	0.44686463	Yes	
row_15	ELF1	168	3.4015309810638428	0.4626543	Yes	
row_16	GRHL2	189	3.3387997150421143	0.47774103	Yes	
row_17	CRYBG1	199	3.3115334510803223	0.4934175	Yes	
row_18	RNF144B	201	3.306922435760498	0.50959766	Yes	
row_19	ST14	204	3.28816819190979	0.52561986	Yes	
row_20	SPINT1	227	3.1618990898132324	0.539706	Yes	
row_21	SCNN1A	305	2.9024555683135986	0.54889905	Yes	
row_22	TACSTD2	317	2.8747308254241943	0.5622981	Yes	
row_23	CDH3	319	2.867077112197876	0.5763174	Yes	
row_24	PRSS8	377	2.7073185443878174	0.58586764	Yes	
row_25	IRF6	388	2.6891744136810303	0.59842086	Yes	
row_26	ATP1A1	492	2.4728167057037354	0.6037928	Yes	
row_27	PKP3	498	2.4605395793914795	0.6155517	Yes	
row_28	ESRP2	507	2.423781394958496	0.62693274	Yes	
row_29	ADGRF1	514	2.412830114364624	0.6383915	Yes	
row_30	SH2D3A	520	2.3966879844665527	0.6498368	Yes	
row_31	FAM83B	557	2.3268470764160156	0.6588995	Yes	
row_32	ELF3	582	2.275958776473999	0.6685016	Yes	
row_33	ZFP36	597	2.252600908279419	0.6786469	Yes	
row_34	TC2N	634	2.2097885608673096	0.68713456	Yes	
row_35	TRIM29	692	2.140805244445801	0.6939017	Yes	
row_36	TSC22D3	717	2.110527992248535	0.70269114	Yes	
row_37	S100A14	726	2.097975969314575	0.71247154	Yes	
row_38	RHOD	818	1.997530460357666	0.716298	Yes	
row_39	TMEM87A	843	1.9699572324752808	0.7243969	Yes	
row_40	MYO5B	903	1.918679118156433	0.7299412	Yes	
row_41	F11R	906	1.9171124696731567	0.73922783	Yes	
row_42	DMKN	944	1.8825583457946777	0.7460421	Yes	
row_43	MACC1	982	1.8553311824798584	0.75272256	Yes	
row_44	LITAF	996	1.8471651077270508	0.76094186	Yes	
row_45	KIAA0040	1234	1.6773804426193237	0.7535902	Yes	
row_46	S100A8	1346	1.6126919984817505	0.75421023	Yes	
row_47	RBL2	1373	1.5981168746948242	0.7603508	Yes	
row_48	CBLC	1482	1.5476858615875244	0.7608489	Yes	
row_49	SPINT2	1688	1.458871841430664	0.754529	Yes	
row_50	SYTL1	1758	1.4263733625411987	0.7569969	Yes	
row_51	PTPN6	1763	1.4223099946975708	0.7637211	Yes	
row_52	RTKN	1823	1.3988631963729858	0.7667118	Yes	
row_53	DRAM2	1993	1.3366369009017944	0.7621598	Yes	
row_54	EPN3	2016	1.3200706243515015	0.76719755	Yes	
row_55	GSN	2674	1.1081604957580566	0.729418	No	
row_56	PPL	2703	1.1008784770965576	0.7329841	No	
row_57	STEAP4	2981	1.0189160108566284	0.7197661	No	
row_58	HOOK2	2989	1.0163689851760864	0.72429866	No	
row_59	PRRG4	3249	0.9487220644950867	0.71192	No	
row_60	SLC49A4	3362	0.9189980030059814	0.70906633	No	
row_61	SUSD6	3404	0.9113876819610596	0.71084636	No	
row_62	OVOL2	3475	0.891527533531189	0.7106209	No	
row_63	CCNL1	3794	0.8204966187477112	0.6937307	No	
row_64	SETD6	4118	0.7450700998306274	0.676141	No	
row_65	SLC11A2	4493	0.6629367470741272	0.65479255	No	
row_66	EPB41L4A	4687	0.6157798171043396	0.6451203	No	
row_67	DMAC1	4769	0.6010769605636597	0.6427443	No	
row_68	ZNF165	4984	0.5526667833328247	0.63138044	No	
row_69	SSH3	5141	0.5164939761161804	0.62365466	No	
row_70	DSG3	5579	0.4239220917224884	0.59698725	No	
row_71	EMC10	5913	0.3564643859863281	0.57683057	No	
row_72	MAF	6160	0.3022465407848358	0.5621312	No	
row_73	ENTPD2	6522	0.2345491200685501	0.5395335	No	
row_74	MPP7	6788	0.19447506964206696	0.52305466	No	
row_75	RNF43	6822	0.18785521388053894	0.5218065	No	
row_76	ELMO3	6916	0.17166940867900848	0.51653147	No	
row_77	CD24	7561	0.0721597895026207	0.47451752	No	
row_78	SERPINA3	7694	0.053562797605991364	0.46609646	No	
row_79	DUSP16	8041	0.010369197465479374	0.44338423	No	
row_80	CLCA2	8226	-0.011448939330875874	0.4313352	No	
row_81	MBNL3	8237	-0.012540874071419239	0.43073893	No	
row_82	LCN2	9030	-0.10088445246219635	0.3791293	No	
row_83	MPZL3	9360	-0.13153283298015594	0.35813072	No	
row_84	GAREM1	9844	-0.17324675619602203	0.32720554	No	
row_85	OVOL1	10472	-0.21992023289203644	0.28703594	No	
row_86	MUC1	10529	-0.2235441505908966	0.28444993	No	
row_87	LIMK2	11033	-0.2599967420101166	0.25263512	No	
row_88	PPP1R14C	11817	-0.3240247964859009	0.2027138	No	
row_89	OSER1	12742	-0.41440460085868835	0.14396018	No	
row_90	MARVELD2	13103	-0.4578448235988617	0.12252522	No	
row_91	BSPRY	13686	-0.543833315372467	0.08690744	No	
row_92	ITPA	13938	-0.587014377117157	0.07327811	No	
row_93	ACSL1	14341	-0.6802254319190979	0.05017249	No	
row_94	TMEM183A	14394	-0.6955255270004272	0.050168347	No	
row_95	COX5B	14611	-0.7745821475982666	0.03976311	No	
row_96	APRT	15062	-1.0660160779953003	0.015394871	No	
