NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TPD52	157	3.535625457763672	0.037824184	No	
row_1	ANK2	179	3.3627548217773438	0.08226306	No	
row_2	AFAP1L2	219	3.215317964553833	0.12350556	No	
row_3	KSR1	575	2.287443161010742	0.13126104	No	
row_4	AFAP1L1	1196	1.6965382099151611	0.11348523	No	
row_5	RAB15	1399	1.5867398977279663	0.12178396	No	
row_6	PIP4P2	1527	1.5279712677001953	0.13422875	No	
row_7	ADAM19	1723	1.445078730583191	0.14105877	No	
row_8	NES	2157	1.268247127532959	0.12978096	No	
row_9	AKAP17A	2168	1.2646574974060059	0.14635476	No	
row_10	SLC39A14	2407	1.1909303665161133	0.1468853	No	
row_11	UAP1	3179	0.9665009379386902	0.10920158	No	
row_12	PAICS	3295	0.9355121850967407	0.11436448	No	
row_13	XPOT	3477	0.8911768794059753	0.114569955	No	
row_14	SLC7A1	3661	0.8498315811157227	0.1140801	No	
row_15	EIF4EBP1	3961	0.7819409966468811	0.1050139	No	
row_16	ARAP3	4095	0.7500689625740051	0.10646252	No	
row_17	TGFB1I1	4162	0.7348172664642334	0.11212255	No	
row_18	RPS9	4173	0.732234537601471	0.121441066	No	
row_19	URB1	4345	0.6946490406990051	0.11962806	No	
row_20	FAM171B	4440	0.6751906871795654	0.12262871	No	
row_21	KIF3C	4475	0.6663215160369873	0.12946603	No	
row_22	ASMTL	4502	0.6616615056991577	0.1367675	No	
row_23	BOLA3	4760	0.6027641892433167	0.12802994	No	
row_24	RPL8	4936	0.5645656585693359	0.124180466	No	
row_25	PTP4A3	5163	0.5101379752159119	0.11622541	No	
row_26	FEZ1	5613	0.4182567000389099	0.0923095	No	
row_27	SHMT2	5617	0.4176613390445709	0.09780306	No	
row_28	ST3GAL5	5717	0.39953091740608215	0.09671753	No	
row_29	GJC1	5772	0.3879232406616211	0.09844196	No	
row_30	MAP3K20	5985	0.34019842743873596	0.08909457	No	
row_31	KPTN	6165	0.30103397369384766	0.08139013	No	
row_32	WDFY2	6205	0.29374998807907104	0.08282065	No	
row_33	MCM4	6282	0.27939167618751526	0.08161503	No	
row_34	GEMIN5	6388	0.25969254970550537	0.07822818	No	
row_35	RIOX2	6498	0.23788513243198395	0.07428032	No	
row_36	ANAPC1	6528	0.23346549272537231	0.07554894	No	
row_37	SLC35G2	6639	0.2147333323955536	0.07121964	No	
row_38	NOP16	6651	0.21285928785800934	0.07339471	No	
row_39	RFTN1	6806	0.19200241565704346	0.06585347	No	
row_40	OLFML2A	7101	0.13673663139343262	0.048324905	No	
row_41	WDR76	7157	0.12822268903255463	0.046444457	No	
row_42	HSPA9	7300	0.10775838792324066	0.038546737	No	
row_43	NPM1	7310	0.10683918744325638	0.039408997	No	
row_44	MTHFD2	7385	0.0958775207400322	0.03583457	No	
row_45	PCBD1	7392	0.09445954859256744	0.03672601	No	
row_46	TNFRSF9	7517	0.07716485857963562	0.02959865	No	
row_47	ERCC1	7520	0.07669636607170105	0.030511867	No	
row_48	NSMAF	7573	0.07048344612121582	0.028042488	No	
row_49	ATP6V1C1	7727	0.049944061785936356	0.018631388	No	
row_50	NUP210	7758	0.04707573354244232	0.017294124	No	
row_51	CHMP7	7765	0.046182163059711456	0.017527694	No	
row_52	RPIA	8026	0.012186422944068909	5.4449216E-4	No	
row_53	TGS1	8137	-9.447474731132388E-4	-0.006698092	No	
row_54	MLLT11	8213	-0.010244890116155148	-0.011505389	No	
row_55	LMNB1	8523	-0.04461197555065155	-0.031278707	No	
row_56	ZGRF1	8677	-0.0600137822329998	-0.040552586	No	
row_57	PRR11	8699	-0.06261458247900009	-0.041084476	No	
row_58	STAMBPL1	8713	-0.06402457505464554	-0.041069478	No	
row_59	MICALL1	9005	-0.09781014174222946	-0.058930613	No	
row_60	NECAB3	9321	-0.12783098220825195	-0.07796566	No	
row_61	BRIP1	9438	-0.13860984146595	-0.083728045	No	
row_62	CHD1L	9757	-0.16727730631828308	-0.102423444	No	
row_63	POLR3D	9762	-0.1675054281949997	-0.100404695	No	
row_64	GRAMD1A	9828	-0.17221686244010925	-0.10234522	No	
row_65	SPDL1	9983	-0.18357492983341217	-0.1100013	No	
row_66	TOP2A	10076	-0.1910627782344818	-0.113465905	No	
row_67	CDC45	10167	-0.19756962358951569	-0.116709925	No	
row_68	GMPS	10368	-0.21241648495197296	-0.12700708	No	
row_69	RRM2	10466	-0.21943211555480957	-0.13041489	No	
row_70	PCGF1	10513	-0.22235199809074402	-0.13041902	No	
row_71	ATAD2	10554	-0.22539304196834564	-0.12998596	No	
row_72	BARD1	10621	-0.2299063354730606	-0.13120632	No	
row_73	DDIAS	10869	-0.24878665804862976	-0.14410792	No	
row_74	SMC4	10886	-0.24968847632408142	-0.14176077	No	
row_75	BUB1B	11074	-0.2629077136516571	-0.15051243	No	
