NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RAB25	11	14.477251052856445	0.04768181	Yes	
row_1	EHF	24	7.57856559753418	0.072229356	Yes	
row_2	CLDN4	27	7.201990604400635	0.09617933	Yes	
row_3	EXPH5	31	6.472015380859375	0.11762222	Yes	
row_4	KRT19	40	5.71857213973999	0.1362149	Yes	
row_5	CDH1	42	5.616623401641846	0.15492983	Yes	
row_6	RIPK4	55	4.986854553222656	0.1708111	Yes	
row_7	LGALS9	73	4.587081432342529	0.18502478	Yes	
row_8	CAPS	74	4.512960433959961	0.2001154	Yes	
row_9	SLC44A3	83	4.267120838165283	0.21385467	Yes	
row_10	PRR15L	88	4.178552627563477	0.22756241	Yes	
row_11	LAD1	96	4.069394111633301	0.24070667	Yes	
row_12	MAL2	112	3.8612334728240967	0.25262555	Yes	
row_13	BLNK	117	3.837184190750122	0.26519185	Yes	
row_14	TMEM30B	124	3.7763991355895996	0.27742252	Yes	
row_15	SH3YL1	125	3.743027448654175	0.28993863	Yes	
row_16	TMC4	133	3.690295696258545	0.30181524	Yes	
row_17	TMEM54	141	3.6163852214813232	0.3134447	Yes	
row_18	EPHA1	153	3.5506508350372314	0.3245897	Yes	
row_19	SPTLC3	163	3.4540884494781494	0.33554414	Yes	
row_20	WLS	174	3.381314754486084	0.34618908	Yes	
row_21	GRHL2	189	3.3387997150421143	0.3564272	Yes	
row_22	CRYBG1	199	3.3115334510803223	0.36690497	Yes	
row_23	ST14	204	3.28816819190979	0.37763542	Yes	
row_24	CLDN7	213	3.250155210494995	0.3879741	Yes	
row_25	SPINT1	227	3.1618990898132324	0.39768687	Yes	
row_26	AP1M2	228	3.1569430828094482	0.40824318	Yes	
row_27	S100A16	241	3.1018126010894775	0.41782117	Yes	
row_28	RAB38	244	3.070357084274292	0.42795563	Yes	
row_29	ACP3	292	2.9306623935699463	0.4346456	Yes	
row_30	CNKSR1	297	2.9155542850494385	0.4441301	Yes	
row_31	MARVELD3	312	2.891209125518799	0.45287153	Yes	
row_32	TACSTD2	317	2.8747308254241943	0.4622195	Yes	
row_33	CDH3	319	2.867077112197876	0.4717404	Yes	
row_34	EMB	366	2.7447524070739746	0.47787488	Yes	
row_35	PRSS8	377	2.7073185443878174	0.48626608	Yes	
row_36	MPZL2	383	2.699615240097046	0.49496233	Yes	
row_37	IRF6	388	2.6891744136810303	0.5036898	Yes	
row_38	REPS2	410	2.6396679878234863	0.51112705	Yes	
row_39	ERBB3	417	2.617950201034546	0.51948404	Yes	
row_40	COBLL1	457	2.531742811203003	0.5253694	Yes	
row_41	IKZF2	460	2.526761770248413	0.53368616	Yes	
row_42	ESRP2	507	2.423781394958496	0.5387474	Yes	
