NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RERG	128	3.7320640087127686	0.014585506	No	
row_1	NRIP1	169	3.395216941833496	0.03294933	No	
row_2	SLC22A5	210	3.2640774250030518	0.05050089	No	
row_3	TET2	242	3.0989718437194824	0.067629606	No	
row_4	BRI3BP	485	2.481144428253174	0.06686958	No	
row_5	CA12	580	2.279309034347534	0.0747228	No	
row_6	DEGS2	608	2.240623950958252	0.08680157	No	
row_7	BCL2	687	2.148284435272217	0.09490954	No	
row_8	FKBP5	747	2.0794997215270996	0.10385772	No	
row_9	FAM111B	845	1.968690276145935	0.10958706	No	
row_10	MTHFD1	958	1.87413489818573	0.113731064	No	
row_11	PCP4	1013	1.8349897861480713	0.12149799	No	
row_12	EBP	1223	1.6833338737487793	0.11799568	No	
row_13	KCNK6	1261	1.6588540077209473	0.1258046	No	
row_14	SULF1	1397	1.586965560913086	0.12663709	No	
row_15	CELSR2	1404	1.5851629972457886	0.13605554	No	
row_16	COL12A1	1722	1.4457982778549194	0.12388437	No	
row_17	SLC2A1	1769	1.4202146530151367	0.12961538	No	
row_18	CXCL12	1863	1.3855669498443604	0.1319995	No	
row_19	GINS3	1927	1.365386962890625	0.13625795	No	
row_20	XRCC2	1932	1.3630799055099487	0.14443414	No	
row_21	DDX10	2046	1.3085054159164429	0.14500806	No	
row_22	FREM2	2153	1.2687913179397583	0.1458025	No	
row_23	KCNK5	2243	1.2404073476791382	0.14755408	No	
row_24	TPD52L1	2360	1.2017755508422852	0.147267	No	
row_25	FANCC	2369	1.2001254558563232	0.1541673	No	
row_26	SGK3	2393	1.1933610439300537	0.16002601	No	
row_27	SLC39A6	2455	1.1780964136123657	0.1632577	No	
row_28	JAK2	2628	1.1230006217956543	0.1587506	No	
row_29	EXOSC2	2670	1.109514594078064	0.16289039	No	
row_30	L2HGDH	2677	1.107682228088379	0.16935138	No	
row_31	CTSD	2867	1.0464926958084106	0.16323744	No	
row_32	PGR	3061	0.9928843975067139	0.15652488	No	
row_33	ADCY1	3400	0.9119336009025574	0.13964747	No	
row_34	FIGNL1	3401	0.9115203022956848	0.14529333	No	
row_35	NFATC2	3614	0.8571377992630005	0.13647373	No	
row_36	H1-2	3777	0.8239092230796814	0.13078052	No	
row_37	SFXN2	3797	0.8197696805000305	0.13459185	No	
row_38	NXNL2	3830	0.812842845916748	0.13749388	No	
row_39	XYLB	4062	0.7595492005348206	0.12680358	No	
row_40	PPIF	4099	0.7493193745613098	0.12904558	No	
row_41	LRIG1	4102	0.748968780040741	0.13355131	No	
row_42	TYMS	4131	0.7422651648521423	0.13628279	No	
row_43	XBP1	4218	0.7228979468345642	0.13502891	No	
row_44	SKP2	4333	0.6963309645652771	0.13174444	No	
row_45	PRIM1	4478	0.6652151942253113	0.12626791	No	
row_46	TTF2	4481	0.6647958755493164	0.1302523	No	
row_47	DUT	4564	0.6438593864440918	0.12877545	No	
row_48	RRM1	4752	0.6037880778312683	0.12005273	No	
row_49	TFDP1	4892	0.575706958770752	0.11435501	No	
row_50	COLGALT1	4920	0.5687918663024902	0.11607865	No	
row_51	DHTKD1	5006	0.5461354851722717	0.11379658	No	
row_52	TMED8	5102	0.5232844948768616	0.110706516	No	
row_53	SNRNP25	5140	0.5165086984634399	0.11143987	No	
row_54	NEMP1	5177	0.5071141719818115	0.11218168	No	
row_55	MRE11	5179	0.5063928365707397	0.11525158	No	
row_56	EPS15L1	5188	0.5038803815841675	0.1178394	No	
row_57	SLC39A8	5249	0.490544855594635	0.11687911	No	
row_58	DARS2	5359	0.4714026153087616	0.11253469	No	
row_59	MYO19	5417	0.4602404832839966	0.11158663	No	
row_60	GREB1	5450	0.4517941474914551	0.11225238	No	
row_61	TFAP4	5578	0.42422395944595337	0.10641612	No	
