NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLDN4	27	7.201990604400635	0.13455899	Yes	
row_1	TMPRSS2	36	5.9132843017578125	0.24596868	Yes	
row_2	GANAB	155	3.5372891426086426	0.30519518	Yes	
row_3	RNF149	243	3.0777153968811035	0.35775352	Yes	
row_4	SATB1	467	2.517638921737671	0.39079902	Yes	
row_5	EZR	568	2.3023760318756104	0.42782897	Yes	
row_6	MCFD2	651	2.1854703426361084	0.4638254	Yes	
row_7	FMOD	655	2.1846089363098145	0.50498176	Yes	
row_8	MCOLN2	987	1.8526999950408936	0.5183641	Yes	
row_9	EGF	1005	1.8398817777633667	0.5520778	Yes	
row_10	ORMDL3	1116	1.7550653219223022	0.57809234	Yes	
row_11	UFC1	1250	1.6645725965499878	0.60088694	Yes	
row_12	PDIA6	1279	1.645616054534912	0.63020253	Yes	
row_13	CDS2	1350	1.6101760864257812	0.6560954	Yes	
row_14	PEX2	1396	1.5873069763183594	0.6831934	Yes	
row_15	DAZAP2	1501	1.5361043214797974	0.7054563	Yes	
row_16	TMED4	1629	1.4822801351547241	0.7251934	Yes	
row_17	NR1D2	1933	1.3626668453216553	0.7311344	Yes	
row_18	INPP5B	2245	1.2395917177200317	0.7342215	Yes	
row_19	IDE	2272	1.230039119720459	0.7558016	Yes	
row_20	MTARC2	4194	0.7282909750938416	0.64371943	No	
row_21	LAMTOR2	4797	0.5956594347953796	0.6155504	No	
row_22	ERP44	5100	0.5238491892814636	0.60567874	No	
row_23	TMEM97	6457	0.24452999234199524	0.5214594	No	
row_24	SMIM14	6876	0.17795318365097046	0.49743965	No	
row_25	TP53INP2	8457	-0.03675101697444916	0.39461023	No	
row_26	TMEM170A	8712	-0.06385331600904465	0.37917626	No	
row_27	CA2	9096	-0.10709142684936523	0.35610843	No	
row_28	NKX3-1	9627	-0.15557293593883514	0.32432652	No	
row_29	LIMCH1	10708	-0.23655159771442413	0.25804028	No	
row_30	NME3	10924	-0.252130925655365	0.24872564	No	
row_31	ANAPC16	12446	-0.38397738337516785	0.15633476	No	
row_32	BGLAP	12641	-0.40385669469833374	0.15126814	No	
row_33	UBE2M	13282	-0.4835275113582611	0.118486725	No	
row_34	H2BC10	14442	-0.7084029912948608	0.055956	No	
