NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RAB25	11	14.477251052856445	0.12075843	Yes	
row_1	EHF	24	7.57856559753418	0.18356359	Yes	
row_2	KRT19	40	5.71857213973999	0.23056446	Yes	
row_3	CDH1	42	5.616623401641846	0.27762857	Yes	
row_4	MYO5C	89	4.151529312133789	0.30944595	Yes	
row_5	ESRP1	106	3.9580719470977783	0.34160864	Yes	
row_6	PLS1	118	3.831575393676758	0.373038	Yes	
row_7	TMEM30B	124	3.7763991355895996	0.40439808	Yes	
row_8	CD9	170	3.3937935829162598	0.42992285	Yes	
row_9	MBP	187	3.340311050415039	0.45690182	Yes	
row_10	GRTP1	190	3.333534002304077	0.48474264	Yes	
row_11	ATP8B1	234	3.1403234004974365	0.50827175	Yes	
row_12	SCNN1A	305	2.9024555683135986	0.52803314	Yes	
row_13	MTUS1	332	2.840873956680298	0.55016506	Yes	
row_14	LY6E	369	2.7346127033233643	0.57074916	Yes	
row_15	MPZL2	383	2.699615240097046	0.59254885	Yes	
row_16	SERPINB1	406	2.6520047187805176	0.61335844	Yes	
row_17	ERBB3	417	2.617950201034546	0.6346698	Yes	
row_18	SYNE2	455	2.537400960922241	0.6535334	Yes	
row_19	PKP2	458	2.528961420059204	0.67462295	Yes	
row_20	CP	528	2.3698015213012695	0.6899804	Yes	
row_21	HPGD	561	2.320272445678711	0.7073502	Yes	
row_22	ELF3	582	2.275958776473999	0.72513556	Yes	
row_23	EPCAM	963	1.8718785047531128	0.71590674	Yes	
row_24	VAV3	1072	1.7883596420288086	0.723826	Yes	
row_25	MANSC1	1076	1.786607265472412	0.7386207	Yes	
row_26	PDK4	1156	1.7196950912475586	0.7478668	Yes	
row_27	CAVIN2	1169	1.7093955278396606	0.7614231	Yes	
row_28	EPB41L4B	1725	1.4445847272872925	0.73712504	No	
row_29	CFB	1783	1.413469910621643	0.7452452	No	
row_30	EMP1	2058	1.3041515350341797	0.73820835	No	
row_31	ANK3	2655	1.1142078638076782	0.70844764	No	
row_32	ERMP1	2687	1.1043932437896729	0.7156804	No	
row_33	PPL	2703	1.1008784770965576	0.7239337	No	
row_34	CFH	2782	1.0770190954208374	0.72785264	No	
row_35	LSR	3261	0.9468694925308228	0.70443106	No	
row_36	CEBPD	3901	0.7949060797691345	0.6691693	No	
row_37	SLC16A7	4133	0.7421038150787354	0.6602379	No	
row_38	BIRC3	4140	0.740326464176178	0.6660564	No	
row_39	TJP2	4307	0.7042804956436157	0.66107297	No	
row_40	CXADR	4355	0.6922255158424377	0.6637973	No	
row_41	ARHGAP29	4731	0.6081996560096741	0.6442929	No	
row_42	ALDH1A3	5046	0.5356869697570801	0.6281828	No	
row_43	TSPAN1	6557	0.22798682749271393	0.53100806	No	
row_44	DST	7063	0.14443470537662506	0.49908137	No	
row_45	TBC1D8	7174	0.12543152272701263	0.49291554	No	
row_46	PLAAT4	7207	0.12076280266046524	0.491829	No	
row_47	GSE1	7670	0.05623532459139824	0.46198392	No	
row_48	GDF15	8578	-0.04931230843067169	0.4028794	No	
row_49	AREG	8824	-0.07695101201534271	0.38744792	No	
row_50	LCN2	9030	-0.10088445246219635	0.3748421	No	
row_51	HS3ST1	9800	-0.16981816291809082	0.32580444	No	
row_52	IMPA2	9918	-0.1785592883825302	0.31962508	No	
row_53	PPP1R9A	9976	-0.18301701545715332	0.3174204	No	
row_54	INHBB	12026	-0.3431602418422699	0.18584226	No	
row_55	EREG	14566	-0.7578549981117249	0.025589522	No	
row_56	AQP3	15122	-1.1452029943466187	-0.0012206634	No	
row_57	FA2H	15231	-1.4983832836151123	0.0042653615	No	
