NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TPM1	475	2.508758306503296	-0.0015351225	No	
row_1	ABCD3	556	2.3342034816741943	0.020951357	No	
row_2	COTL1	786	2.032841682434082	0.030007517	No	
row_3	DHFR	995	1.8473601341247559	0.038244337	No	
row_4	PMP22	1152	1.7255501747131348	0.048467617	No	
row_5	AMMECR1	1411	1.5830039978027344	0.05025554	No	
row_6	RMDN1	1478	1.5483789443969727	0.06431732	No	
row_7	CPA3	1520	1.5296887159347534	0.07980853	No	
row_8	ITGA2B	1767	1.4212062358856201	0.08046426	No	
row_9	SLC25A13	1846	1.3931113481521606	0.09188581	No	
row_10	PALM2AKAP2	1920	1.3690094947814941	0.10335097	No	
row_11	XK	2048	1.3079819679260254	0.11052213	No	
row_12	CD36	2596	1.1314594745635986	0.087842785	No	
row_13	SYNCRIP	2932	1.0311472415924072	0.077977195	No	
row_14	ELOVL6	3045	0.9983564615249634	0.08245553	No	
row_15	PIEZO2	3075	0.990252673625946	0.09232142	No	
row_16	NPM3	3094	0.9858684539794922	0.10286194	No	
row_17	SFXN1	3251	0.9483770132064819	0.103838444	No	
row_18	MINPP1	3291	0.9359181523323059	0.11239715	No	
row_19	CST7	3725	0.8339366316795349	0.0937101	No	
row_20	H1-2	3777	0.8239092230796814	0.10014326	No	
row_21	LMNA	3840	0.81113201379776	0.1056976	No	
row_22	ATP5MC3	4040	0.7628639340400696	0.10162579	No	
row_23	MRPS15	4045	0.7625355124473572	0.110434115	No	
row_24	PPIF	4099	0.7493193745613098	0.11584766	No	
row_25	TYMS	4131	0.7422651648521423	0.122630864	No	
row_26	CCL2	4196	0.7277557253837585	0.12706105	No	
row_27	CPOX	4227	0.7211280465126038	0.13365884	No	
row_28	DUT	4564	0.6438593864440918	0.11911926	No	
row_29	RRM1	4752	0.6037880778312683	0.11394763	No	
row_30	SNRNP25	5140	0.5165086984634399	0.094523154	No	
row_31	IDH2	5343	0.474393367767334	0.086820915	No	
row_32	SNRPD1	5393	0.4647883474826813	0.089113414	No	
row_33	SHMT2	5617	0.4176613390445709	0.07934867	No	
row_34	KIF18B	6095	0.31741079688072205	0.051608857	No	
row_35	DLC1	6097	0.31694498658180237	0.05531378	No	
row_36	ACTN1	6246	0.2857871949672699	0.048935402	No	
row_37	MCM4	6282	0.27939167618751526	0.04994707	No	
row_38	LEPR	6291	0.27768757939338684	0.05272241	No	
row_39	PDLIM1	6309	0.2729383111000061	0.054846592	No	
row_40	PRKAR2B	6348	0.26710081100463867	0.055513807	No	
