NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STIM1	583	2.273843288421631	-0.008959402	No	
row_1	MYH11	752	2.0708115100860596	0.00683155	No	
row_2	NEDD4	1158	1.7189761400222778	0.0024165814	No	
row_3	DPAGT1	1222	1.6838434934616089	0.020113926	No	
row_4	NUCKS1	1427	1.5741512775421143	0.027083097	No	
row_5	ACTN4	1496	1.539654016494751	0.042579055	No	
row_6	PCK2	1526	1.5280739068984985	0.060498293	No	
row_7	CASP3	1531	1.526557445526123	0.08004758	No	
row_8	MMP14	1589	1.4996373653411865	0.09575004	No	
row_9	ANP32A	2045	1.3096652030944824	0.082723156	No	
row_10	FAM111A	2124	1.2789009809494019	0.0941749	No	
row_11	ANP32E	2164	1.2660139799118042	0.10803296	No	
row_12	IDE	2272	1.230039119720459	0.11693683	No	
row_13	KIN	2533	1.1523655652999878	0.114736244	No	
row_14	FLII	2603	1.1298428773880005	0.124847256	No	
row_15	GSN	2674	1.1081604957580566	0.13461086	No	
row_16	TUBB	2883	1.0428621768951416	0.13442047	No	
row_17	PPP2CA	2980	1.0190790891647339	0.14131217	No	
row_18	HES1	3200	0.9616466760635376	0.13934177	No	
row_19	AZIN1	3364	0.9188894629478455	0.14051184	No	
row_20	H2AC8	3757	0.8275522589683533	0.12538491	No	
row_21	RPA1	4058	0.7604976892471313	0.11545868	No	
row_22	ZNF358	4156	0.7364619374275208	0.1186163	No	
row_23	DDX19A	4184	0.7309346795082092	0.12632142	No	
row_24	PPP1CA	4513	0.6590601801872253	0.11323093	No	
row_25	RRM1	4752	0.6037880778312683	0.10536209	No	
row_26	EIF2AK2	4825	0.5900755524635315	0.10826948	No	
row_27	HOXC5	4997	0.5488993525505066	0.10410951	No	
row_28	XPO1	5337	0.4750806391239166	0.087905265	No	
row_29	MCM6	5754	0.3918360471725464	0.06553942	No	
row_30	CBX1	6091	0.31819477677345276	0.04749692	No	
row_31	ENO1	6181	0.29857152700424194	0.045499053	No	
row_32	SNX2	6183	0.2984543740749359	0.049306713	No	
row_33	TMPO	6325	0.2707097828388214	0.04351579	No	
row_34	BRCA2	6396	0.25696051120758057	0.042231645	No	
row_35	RAMP1	6658	0.2117650955915451	0.027756976	No	
row_36	CDKN2C	6783	0.1947488933801651	0.02210197	No	
row_37	CRIP2	7190	0.12336710095405579	-0.0030884508	No	
