NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RAB25	11	14.477251052856445	0.06712924	Yes	
row_1	EHF	24	7.57856559753418	0.10185924	Yes	
row_2	CLDN4	27	7.201990604400635	0.13548256	Yes	
row_3	TMPRSS2	36	5.9132843017578125	0.16267088	Yes	
row_4	ELOVL7	38	5.880784034729004	0.19016767	Yes	
row_5	ATP6V1C2	39	5.8678083419799805	0.21766947	Yes	
row_6	CDH1	42	5.616623401641846	0.24386233	Yes	
row_7	RIPK4	55	4.986854553222656	0.26644525	Yes	
row_8	ESRP1	106	3.9580719470977783	0.2817049	Yes	
row_9	MAL2	112	3.8612334728240967	0.29947296	Yes	
row_10	TMEM30B	124	3.7763991355895996	0.31644842	Yes	
row_11	KCNK1	132	3.694427728652954	0.33330303	Yes	
row_12	TMC4	133	3.690295696258545	0.35059905	Yes	
row_13	TMEM54	141	3.6163852214813232	0.36708787	Yes	
row_14	EPHA1	153	3.5506508350372314	0.3830053	Yes	
row_15	DSC2	158	3.5300724506378174	0.39928705	Yes	
row_16	TNK1	164	3.4430296421051025	0.41509503	Yes	
row_17	GRHL2	189	3.3387997150421143	0.42916375	Yes	
row_18	CLDN1	198	3.313613176345825	0.44416767	Yes	
row_19	ST14	204	3.28816819190979	0.45924982	Yes	
row_20	CLDN7	213	3.250155210494995	0.47395635	Yes	
row_21	CRB3	218	3.2165262699127197	0.48876855	Yes	
row_22	SPINT1	227	3.1618990898132324	0.5030614	Yes	
row_23	AP1M2	228	3.1569430828094482	0.5178577	Yes	
row_24	DENND2D	276	2.9664885997772217	0.52866733	Yes	
row_25	PTPRF	301	2.9097557067871094	0.5407252	Yes	
row_26	CDH3	319	2.867077112197876	0.5530438	Yes	
row_27	LLGL2	325	2.8542380332946777	0.5660922	Yes	
row_28	PRSS8	377	2.7073185443878174	0.57542384	Yes	
row_29	MPZL2	383	2.699615240097046	0.5877475	Yes	
row_30	IRF6	388	2.6891744136810303	0.60008806	Yes	
row_31	ERBB3	417	2.617950201034546	0.61051494	Yes	
row_32	WWC1	476	2.50758695602417	0.6184497	Yes	
row_33	PKP3	498	2.4605395793914795	0.6285996	Yes	
row_34	CEACAM1	506	2.428398370742798	0.6395204	Yes	
row_35	ESRP2	507	2.423781394958496	0.65088046	Yes	
row_36	GRB7	530	2.3675453662872314	0.66052866	Yes	
row_37	EPS8L1	536	2.3584461212158203	0.67125326	Yes	
row_38	DSG2	590	2.260030508041382	0.6783569	Yes	
row_39	JUP	667	2.1750428676605225	0.68354815	Yes	
row_40	RHPN2	685	2.149998903274536	0.6925059	Yes	
row_41	EPS8L2	869	1.950203776359558	0.6895997	Yes	
row_42	SHROOM3	877	1.9448825120925903	0.69825435	Yes	
row_43	MYO5B	903	1.918679118156433	0.7056013	Yes	
row_44	EPCAM	963	1.8718785047531128	0.7104907	Yes	
row_45	IL17RE	1000	1.8436429500579834	0.7167618	Yes	
row_46	CLDN3	1078	1.7852671146392822	0.7200604	Yes	
row_47	LRBA	1115	1.7554982900619507	0.7259184	Yes	
row_48	ILDR1	1192	1.6986089944839478	0.72887665	Yes	
row_49	PPFIBP2	1228	1.6798393726348877	0.73444587	Yes	
row_50	DSP	1333	1.6199841499328613	0.7351924	Yes	
row_51	CELSR2	1404	1.5851629972457886	0.7380139	Yes	
row_52	CBLC	1482	1.5476858615875244	0.74019897	Yes	
row_53	PATJ	1610	1.4920525550842285	0.7388319	Yes	
row_54	FZD6	1647	1.4733854532241821	0.7433676	Yes	
row_55	SPINT2	1688	1.458871841430664	0.74757206	Yes	
row_56	EPB41L4B	1725	1.4445847272872925	0.75197285	Yes	
row_57	NECTIN4	1779	1.4164347648620605	0.75512266	Yes	
row_58	KDF1	1895	1.37675142288208	0.7540051	Yes	
row_59	HIP1R	2018	1.319593071937561	0.75215876	Yes	
row_60	TJP3	2101	1.2873765230178833	0.7527946	Yes	
row_61	TMEM79	2242	1.2407046556472778	0.7493937	Yes	
row_62	IDE	2272	1.230039119720459	0.75324976	Yes	
row_63	BLMH	2282	1.224345326423645	0.7583957	Yes	
row_64	MYH14	2439	1.181493878364563	0.75366396	No	
row_65	EFNA3	2733	1.091704249382019	0.73949295	No	
row_66	CDCP1	3140	0.9751887321472168	0.7173372	No	
row_67	LSR	3261	0.9468694925308228	0.71387565	No	
row_68	EPPK1	3338	0.9250910878181458	0.7132085	No	
row_69	FAM83H	3443	0.9017692804336548	0.7105889	No	
row_70	CCDC120	3988	0.775745689868927	0.678414	No	
row_71	PPIF	4099	0.7493193745613098	0.6746849	No	
row_72	CXADR	4355	0.6922255158424377	0.661143	No	
row_73	OCLN	4388	0.6850377917289734	0.6622472	No	
row_74	STAP2	4439	0.6757910847663879	0.66212314	No	
row_75	CLIC3	4446	0.6735825538635254	0.66488516	No	
row_76	EVPL	4552	0.6485297679901123	0.66101277	No	
