NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACOX2	68	4.741261005401611	0.030037578	No	
row_1	IER3	296	2.9179937839508057	0.036229976	No	
row_2	MET	438	2.577644109725952	0.0456525	No	
row_3	CARD10	727	2.0973105430603027	0.04181355	No	
row_4	TFPI2	930	1.89437735080719	0.042206172	No	
row_5	TMEM158	955	1.8744560480117798	0.054273006	No	
row_6	PRPS1	978	1.8598442077636719	0.06636615	No	
row_7	DHFR	995	1.8473601341247559	0.078766726	No	
row_8	WWTR1	1023	1.8247464895248413	0.09027209	No	
row_9	UPP1	1035	1.8205381631851196	0.1028092	No	
row_10	ZC3HAV1	1145	1.733729362487793	0.10820637	No	
row_11	DPAGT1	1222	1.6838434934616089	0.11543122	No	
row_12	PARP2	1519	1.5298537015914917	0.10692561	No	
row_13	CCND1	1567	1.5098652839660645	0.114808194	No	
row_14	RRP15	1923	1.3681854009628296	0.10120673	No	
row_15	GINS3	1927	1.365386962890625	0.11095804	No	
row_16	FAM111A	2124	1.2789009809494019	0.10726367	No	
row_17	NUDT15	2231	1.2451703548431396	0.10929958	No	
row_18	SLCO4A1	2249	1.237608551979065	0.11719007	No	
row_19	PHLDA2	2539	1.1510517597198486	0.10638867	No	
row_20	SLC43A3	2547	1.1473798751831055	0.11428562	No	
row_21	PSAT1	2645	1.1177736520767212	0.1159907	No	
row_22	NAP1L1	2760	1.0840948820114136	0.11632153	No	
row_23	TUBB	2883	1.0428621768951416	0.11582066	No	
row_24	PNN	2930	1.0315979719161987	0.12028418	No	
row_25	PUS7	3040	0.9997789859771729	0.12033255	No	
row_26	HNRNPDL	3190	0.9633836150169373	0.117459625	No	
row_27	CMC2	3293	0.9356282949447632	0.11750529	No	
row_28	PAICS	3295	0.9355121850967407	0.12425661	No	
row_29	STEAP1	3297	0.935199499130249	0.13100566	No	
row_30	TNFRSF12A	3564	0.8680728673934937	0.11966922	No	
row_31	SPHK1	3624	0.8558133840560913	0.12198847	No	
row_32	ODC1	3888	0.7996209263801575	0.110352375	No	
row_33	PSRC1	4039	0.7629815340042114	0.10595259	No	
row_34	PPIF	4099	0.7493193745613098	0.10749573	No	
row_35	TYMS	4131	0.7422651648521423	0.110846706	No	
row_36	ETV5	4304	0.704905092716217	0.10456285	No	
row_37	SLC20A1	4418	0.6799280047416687	0.10201464	No	
row_38	SPRED2	4456	0.6700398921966553	0.10444084	No	
row_39	PRIM1	4478	0.6652151942253113	0.1078943	No	
row_40	NOP56	4499	0.6621887683868408	0.11139211	No	
row_41	GALNT10	4557	0.6462865471839905	0.11231718	No	
row_42	DUT	4564	0.6438593864440918	0.116611026	No	
row_43	CCND3	4733	0.6073848009109497	0.10988208	No	
row_44	RRM1	4752	0.6037880778312683	0.11308709	No	
row_45	NRG1	4891	0.5757666826248169	0.10811975	No	
row_46	TFDP1	4892	0.575706958770752	0.11231533	No	
row_47	ELL2	4943	0.5634530186653137	0.11310154	No	
row_48	AXL	5029	0.5394455194473267	0.111388765	No	
row_49	NEMP1	5177	0.5071141719818115	0.1053235	No	
row_50	CDC42EP1	5191	0.5033134818077087	0.10812828	No	
row_51	ITGA6	5320	0.47943052649497986	0.10312288	No	
row_52	SNRPD1	5393	0.4647883474826813	0.101729244	No	
row_53	POLR3K	5432	0.4563453197479248	0.10253171	No	
row_54	MAFF	5534	0.43350231647491455	0.09898443	No	
row_55	MCM6	5754	0.3918360471725464	0.08729818	No	
row_56	ORC1	5993	0.33887097239494324	0.07396431	No	
row_57	NOLC1	6011	0.33542168140411377	0.07527994	No	
row_58	DKK1	6060	0.3240939974784851	0.07445459	No	
row_59	KIF18B	6095	0.31741079688072205	0.07451014	No	
row_60	MCM4	6282	0.27939167618751526	0.06419567	No	
row_61	TMPO	6325	0.2707097828388214	0.063379675	No	
row_62	MCM3	6363	0.2636706531047821	0.06284438	No	
row_63	DONSON	6389	0.259596049785614	0.06307621	No	
row_64	MSH2	6553	0.2284548282623291	0.053917747	No	
row_65	HSPA14	6564	0.22682729363441467	0.054906785	No	
row_66	NME1	6737	0.20094148814678192	0.044950202	No	
row_67	G0S2	6794	0.19336330890655518	0.042640913	No	
row_68	POLR2D	7026	0.15014612674713135	0.028396485	No	
row_69	DNAJC9	7132	0.13171935081481934	0.022384305	No	
row_70	HELLS	7201	0.12141966074705124	0.018753901	No	
row_71	ABCE1	7337	0.10236219316720963	0.010535741	No	
row_72	POLE2	7354	0.09991447627544403	0.01020147	No	
row_73	DSCC1	7680	0.055229105055332184	-0.010976383	No	
row_74	MSH6	8088	0.005087691359221935	-0.03796454	No	
row_75	FEN1	8244	-0.0133621571585536	-0.048159327	No	
row_76	ENO2	8256	-0.014239192008972168	-0.048785966	No	
row_77	SRSF7	8266	-0.01523629855364561	-0.049272537	No	
row_78	DCBLD2	8289	-0.01746940053999424	-0.05060605	No	
row_79	CTPS1	8383	-0.02645101398229599	-0.056588583	No	
row_80	GINS2	8404	-0.029825257137417793	-0.05769925	No	
row_81	LMNB1	8523	-0.04461197555065155	-0.065209456	No	
row_82	MCM2	8596	-0.0508427619934082	-0.069619805	No	
row_83	CDCA4	8709	-0.06362731009721756	-0.07659303	No	
row_84	TIPIN	8748	-0.06734862923622131	-0.078625455	No	
row_85	AREG	8824	-0.07695101201534271	-0.08304474	No	
row_86	STC1	8841	-0.0791882574558258	-0.08353005	No	
row_87	CDT1	8930	-0.08872296661138535	-0.08872676	No	
row_88	SNRPA1	9062	-0.10455464571714401	-0.09666334	No	
