NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RAB25	11	14.477251052856445	0.21907596	Yes	
row_1	EHF	24	7.57856559753418	0.3333495	Yes	
row_2	CLDN4	27	7.201990604400635	0.4425604	Yes	
row_3	ESRP1	106	3.9580719470977783	0.4975468	Yes	
row_4	GRHL2	189	3.3387997150421143	0.54286945	Yes	
row_5	ST14	204	3.28816819190979	0.59187454	Yes	
row_6	CLDN7	213	3.250155210494995	0.6406953	Yes	
row_7	MARVELD3	312	2.891209125518799	0.6781752	Yes	
row_8	LLGL2	325	2.8542380332946777	0.7207232	Yes	
row_9	PRSS8	377	2.7073185443878174	0.7584878	Yes	
row_10	IRF6	388	2.6891744136810303	0.79866076	Yes	
row_11	ESRP2	507	2.423781394958496	0.82773495	Yes	
row_12	S100A14	726	2.097975969314575	0.84531695	Yes	
row_13	MYO5B	903	1.918679118156433	0.86292607	Yes	
row_14	CLDN3	1078	1.7852671146392822	0.87864065	Yes	
row_15	EPN3	2016	1.3200706243515015	0.8373481	No	
row_16	TJP3	2101	1.2873765230178833	0.85139483	No	
row_17	ADAP1	7206	0.12090521305799484	0.51913345	No	
row_18	OVOL1	10472	-0.21992023289203644	0.30875233	No	
row_19	MARVELD2	13103	-0.4578448235988617	0.14354919	No	
