NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KRT17	6	15.619610786437988	0.32713902	Yes	
row_1	KRT19	40	5.71857213973999	0.44489276	Yes	
row_2	KRT8	251	3.043048143386841	0.4949544	Yes	
row_3	ANXA3	393	2.685607671737671	0.54203826	Yes	
row_4	AQP1	588	2.2633414268493652	0.57679754	Yes	
row_5	SCG5	763	2.0580146312713623	0.60856074	Yes	
row_6	H2BC21	764	2.055978298187256	0.6516731	Yes	
row_7	TIMP3	968	1.8645108938217163	0.67748	Yes	
row_8	KRT7	1019	1.8291631937026978	0.7125626	Yes	
row_9	MFAP5	1188	1.700441598892212	0.7372206	Yes	
row_10	SRGN	1356	1.6078909635543823	0.76000327	Yes	
row_11	LGMN	1474	1.5496786832809448	0.78483886	Yes	
row_12	ASAH1	1887	1.379281759262085	0.7867874	Yes	
row_13	CCND2	1987	1.3392605781555176	0.8083891	Yes	
row_14	STAT1	4790	0.597023069858551	0.6374593	No	
row_15	ALDH1A3	5046	0.5356869697570801	0.6319972	No	
row_16	PAPPA	7173	0.12567941844463348	0.49544182	No	
row_17	LAMC2	7260	0.11380329728126526	0.49219772	No	
row_18	OLR1	8184	-0.0062121180817484856	0.4318985	No	
row_19	COX7A1	8919	-0.08794859051704407	0.3856872	No	
row_20	H2AC6	9955	-0.18163157999515533	0.32173368	No	
row_21	MMP3	12380	-0.3762976825237274	0.17092331	No	
row_22	MYH3	14935	-0.9501461386680603	0.023634924	No	
