NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RAB25	11	14.477251052856445	0.0403821	Yes	
row_1	EHF	24	7.57856559753418	0.061107203	Yes	
row_2	GATA3	26	7.4759087562561035	0.08227067	Yes	
row_3	CLDN4	27	7.201990604400635	0.10272262	Yes	
row_4	PDZK1IP1	29	6.744083881378174	0.12180787	Yes	
row_5	TMPRSS2	36	5.9132843017578125	0.13820209	Yes	
row_6	KRT19	40	5.71857213973999	0.15424243	Yes	
row_7	CDH1	42	5.616623401641846	0.17012596	Yes	
row_8	KRT18	43	5.457706928253174	0.18562457	Yes	
row_9	PROM2	50	5.1207356452941895	0.19976813	Yes	
row_10	SFRP1	54	5.001157283782959	0.21377118	Yes	
row_11	RIPK4	55	4.986854553222656	0.22793266	Yes	
row_12	CAPG	72	4.661691188812256	0.24010913	Yes	
row_13	CLDN8	82	4.280998229980469	0.251669	Yes	
row_14	SCIN	85	4.2115254402160645	0.263496	Yes	
row_15	LAD1	96	4.069394111633301	0.2743886	Yes	
row_16	ESRP1	106	3.9580719470977783	0.2850314	Yes	
row_17	TXNDC16	115	3.8473963737487793	0.2954263	Yes	
row_18	TNC	119	3.8292903900146484	0.30610153	Yes	
row_19	TMEM30B	124	3.7763991355895996	0.3165602	Yes	
row_20	KCNK1	132	3.694427728652954	0.32658702	Yes	
row_21	ANO1	154	3.548088788986206	0.33526936	Yes	
row_22	CD9	170	3.3937935829162598	0.34391165	Yes	
row_23	ID2	176	3.376830816268921	0.3531693	Yes	
row_24	PERP	185	3.3429043292999268	0.36213154	Yes	
row_25	GRHL2	189	3.3387997150421143	0.37141386	Yes	
row_26	TGIF1	193	3.3279852867126465	0.3806655	Yes	
row_27	THBS2	197	3.3159711360931396	0.389883	Yes	
row_28	ST14	204	3.28816819190979	0.39882252	Yes	
row_29	CNN1	211	3.2620012760162354	0.40768772	Yes	
row_30	CLDN7	213	3.250155210494995	0.41685104	Yes	
row_31	APOD	216	3.218319892883301	0.4258576	Yes	
row_32	SPINT1	227	3.1618990898132324	0.43417314	Yes	
row_33	GIPC2	229	3.155134439468384	0.44306663	Yes	
row_34	KRT8	251	3.043048143386841	0.45031476	Yes	
