NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ARHGAP31	93	4.135572910308838	0.009318488	No	
row_1	PARD6G	212	3.2587289810180664	0.0136440005	No	
row_2	TLR6	306	2.9024391174316406	0.018312901	No	
row_3	TEDC1	328	2.848442554473877	0.027636176	No	
row_4	ADAMTS5	347	2.7982871532440186	0.036972754	No	
row_5	SFN	378	2.7069640159606934	0.04515533	No	
row_6	ANXA3	393	2.685607671737671	0.054336935	No	
row_7	ID3	416	2.618910312652588	0.06272727	No	
row_8	ANOS1	462	2.5245041847229004	0.06920981	No	
row_9	NIBAN1	473	2.5106093883514404	0.078001454	No	
row_10	PKP3	498	2.4605395793914795	0.085659705	No	
row_11	LMO7	531	2.367009401321411	0.092425525	No	
row_12	POGLUT3	702	2.1239705085754395	0.088963844	No	
row_13	SCG5	763	2.0580146312713623	0.09267537	No	
row_14	H2BC21	764	2.055978298187256	0.10042754	No	
row_15	MID1	769	2.0473997592926025	0.10787746	No	
row_16	COTL1	786	2.032841682434082	0.11446284	No	
row_17	FAM111B	845	1.968690276145935	0.11797251	No	
row_18	IDS	848	1.9670228958129883	0.12525432	No	
row_19	MBOAT1	902	1.9188597202301025	0.12891346	No	
row_20	SLC44A2	956	1.874449372291565	0.13240515	No	
row_21	FMNL3	988	1.8517866134643555	0.13729577	No	
row_22	DHFR	995	1.8473601341247559	0.1438565	No	
row_23	CDC25B	1058	1.7990425825119019	0.14645661	No	
row_24	FGFR1	1110	1.7602885961532593	0.14965281	No	
row_25	USP11	1278	1.645758032798767	0.14459041	No	
row_26	P2RX7	1355	1.6081784963607788	0.14552626	No	
row_27	THSD1	1380	1.5945032835006714	0.1499191	No	
row_28	SCRN1	1456	1.5582507848739624	0.15073416	No	
row_29	OGFRL1	1596	1.4974255561828613	0.14700168	No	
row_30	CYTH4	1803	1.405958890914917	0.13840373	No	
row_31	UBASH3B	1868	1.3839528560638428	0.13930379	No	
row_32	GINS3	1927	1.365386962890625	0.14053868	No	
row_33	NTN4	1976	1.3423429727554321	0.14236139	No	
row_34	ACKR3	1995	1.3339381217956543	0.14617658	No	
row_35	PML	2007	1.3261160850524902	0.15043457	No	
row_36	NIPAL3	2102	1.2872099876403809	0.14894569	No	
row_37	FAM111A	2124	1.2789009809494019	0.15235095	No	
row_38	MICAL3	2155	1.268668532371521	0.15511036	No	
row_39	NES	2157	1.268247127532959	0.15982488	No	
row_40	SKA1	2176	1.2618907690048218	0.1633684	No	
row_41	KRT80	2356	1.2038809061050415	0.15583023	No	
row_42	FANCC	2369	1.2001254558563232	0.15954569	No	
row_43	YWHAH	2621	1.124043583869934	0.14684853	No	
row_44	MYCL	2712	1.0991441011428833	0.14492044	No	
row_45	TMEM237	2725	1.09413480758667	0.14823626	No	
row_46	MDFIC	2739	1.0899713039398193	0.1514689	No	
row_47	CALHM3	2779	1.0773663520812988	0.15289977	No	
row_48	TUBA1C	2927	1.0321099758148193	0.14687303	No	
row_49	LRRC45	3014	1.0052165985107422	0.14486067	No	
row_50	CDCP1	3140	0.9751887321472168	0.14010368	No	
row_51	SP140	3172	0.9677456617355347	0.14166099	No	
row_52	HNRNPDL	3190	0.9633836150169373	0.14414644	No	
row_53	PRMT2	3221	0.9573038220405579	0.14573185	No	
row_54	PPP1R18	3247	0.9495438933372498	0.14762536	No	
row_55	HBEGF	3302	0.9337529540061951	0.14750263	No	
row_56	PPM1F	3403	0.9114120602607727	0.14419197	No	
row_57	NDE1	3415	0.9078245162963867	0.14687277	No	
row_58	CASQ1	3439	0.9022871255874634	0.14872304	No	
row_59	MZT1	3495	0.8859332203865051	0.14835253	No	
row_60	PPP3R1	3660	0.8501704931259155	0.14049277	No	
row_61	GPR63	3696	0.840663731098175	0.141301	No	
row_62	IL17RD	3704	0.8385419249534607	0.14399047	No	
row_63	NF2	3789	0.8220764398574829	0.14142251	No	
row_64	MPHOSPH6	3874	0.8043739199638367	0.1387878	No	
row_65	BCAS4	4026	0.7670948505401611	0.13149193	No	
row_66	PSRC1	4039	0.7629815340042114	0.13355912	No	
row_67	TYMS	4131	0.7422651648521423	0.13021794	No	
row_68	PHLDB1	4141	0.7402588725090027	0.13240187	No	
row_69	GABPB1	4197	0.727606475353241	0.1314344	No	
row_70	LCOR	4279	0.7083323001861572	0.12863997	No	
row_71	ETV5	4304	0.704905092716217	0.12967852	No	
row_72	PAK6	4331	0.6968881487846375	0.1305519	No	
row_73	RGS9	4338	0.6955155730247498	0.13276955	No	
row_74	PRIM1	4478	0.6652151942253113	0.12589918	No	
row_75	UGCG	4489	0.6637871265411377	0.12772731	No	
row_76	GNG12	4543	0.651386022567749	0.12660739	No	
row_77	AIDA	4595	0.6363962888717651	0.12556589	No	
row_78	NUP62CL	4661	0.6218549013137817	0.12352495	No	
row_79	RRM1	4752	0.6037880778312683	0.119729094	No	
row_80	ZEB2	4778	0.5988116264343262	0.120300144	No	
row_81	STYK1	4868	0.5812680721282959	0.11648685	No	
row_82	DTYMK	4872	0.5799881815910339	0.1184713	No	
row_83	TFDP1	4892	0.575706958770752	0.11936007	No	
row_84	TRIM55	4953	0.56162428855896	0.11742939	No	
row_85	FIG4	5002	0.5466195344924927	0.1162518	No	
row_86	LOXL3	5055	0.5342952609062195	0.11475784	No	
row_87	NEMP1	5177	0.5071141719818115	0.10850585	No	
row_88	CCN3	5216	0.49900302290916443	0.10782344	No	
row_89	WDR1	5272	0.48632586002349854	0.1059462	No	
row_90	CORO1C	5295	0.48205775022506714	0.10627944	No	
row_91	ARNT2	5319	0.47982922196388245	0.106536806	No	
