NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TRIM22	98	4.04094123840332	0.09427862	Yes	
row_1	MX1	121	3.8182373046875	0.18798354	Yes	
row_2	RTP4	138	3.6355085372924805	0.27752793	Yes	
row_3	IFIH1	181	3.348565101623535	0.35821983	Yes	
row_4	TNFSF10	238	3.1143229007720947	0.43215817	Yes	
row_5	SAMD9L	280	2.9600701332092285	0.5032348	Yes	
row_6	IFI44L	285	2.9506096839904785	0.5764981	Yes	
row_7	IFI44	375	2.7165215015411377	0.6383632	Yes	
row_8	IFIT2	605	2.2420263290405273	0.6792387	Yes	
row_9	OAS1	796	2.020977020263672	0.7171592	Yes	
row_10	DDX60	1055	1.7995980978012085	0.7451113	Yes	
row_11	ZC3HAV1	1145	1.733729362487793	0.78248656	Yes	
row_12	CMPK2	1311	1.6313327550888062	0.8123345	Yes	
row_13	USP18	2716	1.098297119140625	0.74778163	No	
row_14	RSAD2	2853	1.0512473583221436	0.7650733	No	
row_15	STAT1	4790	0.597023069858551	0.65319896	No	
row_16	CXCL10	4826	0.5900567173957825	0.6656109	No	
row_17	IFIT5	6982	0.15878568589687347	0.5284782	No	
row_18	GBP1	8388	-0.027354270219802856	0.43717343	No	
row_19	CD274	8400	-0.029334498569369316	0.4371842	No	
row_20	EPSTI1	9649	-0.15740296244621277	0.35939902	No	
row_21	HERC5	9833	-0.17248301208019257	0.35171592	No	
row_22	IFIT3	10704	-0.23618122935295105	0.3006417	No	
