NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GNAQ	310	2.8961069583892822	0.025965335	No	
row_1	TP63	425	2.5936825275421143	0.05999705	No	
row_2	CD151	627	2.2193105220794678	0.08230232	No	
row_3	FKBP5	747	2.0794997215270996	0.107769504	No	
row_4	MON2	1022	1.8254616260528564	0.11895853	No	
row_5	TNRC6A	1259	1.65952467918396	0.12999287	No	
row_6	LRRC58	1545	1.5190553665161133	0.13554995	No	
row_7	GINS3	1927	1.365386962890625	0.13232256	No	
row_8	TUBD1	1997	1.3335705995559692	0.14913628	No	
row_9	NPNT	2086	1.294321060180664	0.16406988	No	
row_10	NFIA	2141	1.2716503143310547	0.18087988	No	
row_11	ACACA	2819	1.0632867813110352	0.15331727	No	
row_12	SCD	3021	1.003998875617981	0.15615803	No	
row_13	MAP4K2	3125	0.979076087474823	0.16505462	No	
row_14	TFRC	3176	0.9671510457992554	0.17725122	No	
row_15	G3BP1	3599	0.8623499274253845	0.1632666	No	
row_16	SETMAR	4172	0.7322992086410522	0.13731895	No	
row_17	DCP2	5253	0.4893156886100769	0.07401899	No	
row_18	GALT	5413	0.46183112263679504	0.07094279	No	
row_19	FBXL20	5415	0.4613678753376007	0.07826622	No	
row_20	TCEAL3	5730	0.39730823040008545	0.06394715	No	
row_21	BPTF	6352	0.2657754123210907	0.027300123	No	
row_22	BRCA2	6396	0.25696051120758057	0.02858332	No	
row_23	ANKRD50	6747	0.19976286590099335	0.00872912	No	
row_24	HELLS	7201	0.12141966074705124	-0.01916418	No	
row_25	TADA2A	7304	0.1071871966123581	-0.024165945	No	
row_26	NRTN	7318	0.10552220046520233	-0.023332173	No	
row_27	POLE2	7354	0.09991447627544403	-0.024037296	No	
row_28	SLC12A1	7566	0.07154791057109833	-0.036789417	No	
row_29	FUS	7615	0.06267912685871124	-0.038947184	No	
row_30	CFL2	7678	0.05525718629360199	-0.042145964	No	
row_31	ANLN	7939	0.022122325375676155	-0.058917195	No	
row_32	FBXO5	8421	-0.03217354789376259	-0.09008416	No	
row_33	DEPDC1B	8573	-0.04896307364106178	-0.09924595	No	
row_34	ITPRID1	8722	-0.06468380242586136	-0.107958354	No	
row_35	DSCAM	8745	-0.06711424142122269	-0.10833254	No	
row_36	ZBTB6	8812	-0.07610534131526947	-0.11146088	No	
row_37	ACVR2B	9080	-0.10594689846038818	-0.12735064	No	
row_38	FGF22	9415	-0.1369611918926239	-0.1471568	No	
row_39	RTP1	9512	-0.1449630707502365	-0.15115833	No	
row_40	LIN28B	9747	-0.16650591790676117	-0.16390456	No	
row_41	RAD54B	9975	-0.18290260434150696	-0.17592709	No	
row_42	DIAPH3	9989	-0.1841484159231186	-0.17383404	No	
row_43	DNA2	10005	-0.1851266622543335	-0.17185704	No	
row_44	TOP2A	10076	-0.1910627782344818	-0.17340769	No	
row_45	MEX3C	10094	-0.1923065036535263	-0.17144744	No	
row_46	HMMR	10148	-0.19598270952701569	-0.17179956	No	
row_47	TSBP1	10184	-0.19873131811618805	-0.17092201	No	
row_48	FANCD2	10274	-0.2042900025844574	-0.1735123	No	
row_49	TTC9B	10400	-0.21511222422122955	-0.17830049	No	
row_50	RRM2	10466	-0.21943211555480957	-0.17906743	No	
row_51	RIF1	10567	-0.2261919528245926	-0.18203147	No	
row_52	PLK4	10601	-0.22877174615859985	-0.18054107	No	
row_53	H3C7	10789	-0.24198953807353973	-0.18898256	No	
row_54	BUB1B	11074	-0.2629077136516571	-0.20347819	No	
row_55	SURF1	11100	-0.26562437415122986	-0.2008706	No	
row_56	SAMM50	11360	-0.2857062816619873	-0.2133544	Yes	
row_57	KBTBD8	11367	-0.2862338721752167	-0.20916526	Yes	
row_58	RAD1	11404	-0.2893149256706238	-0.2069028	Yes	
row_59	ZFAND4	11451	-0.2937648892402649	-0.20522775	Yes	
row_60	CENPE	11467	-0.2948545515537262	-0.20149334	Yes	
row_61	SPC25	11589	-0.3047841191291809	-0.20458187	Yes	
row_62	SGO2	11662	-0.3108423054218292	-0.20434585	Yes	
row_63	CDKN3	11665	-0.31106001138687134	-0.19949563	Yes	
row_64	CENPA	11674	-0.31177157163619995	-0.19502921	Yes	
row_65	MND1	11699	-0.3142349421977997	-0.19157723	Yes	
row_66	BUB1	11741	-0.31773415207862854	-0.18918894	Yes	
row_67	KIF14	11805	-0.3230268359184265	-0.18816496	Yes	
row_68	DEPDC1	11968	-0.3376569449901581	-0.19342756	Yes	
row_69	CDK1	11977	-0.3386540710926056	-0.1885306	Yes	
row_70	CCDC148	12114	-0.3520664870738983	-0.19184984	Yes	
row_71	ECT2	12130	-0.35334858298301697	-0.1871786	Yes	
row_72	TTK	12280	-0.36766383051872253	-0.19110432	Yes	
row_73	TAF5	12388	-0.377462774515152	-0.19210668	Yes	
row_74	ASPM	12407	-0.3790583908557892	-0.18722126	Yes	
row_75	CDC6	12499	-0.3885236978530884	-0.18699259	Yes	
row_76	BIRC5	12719	-0.41085100173950195	-0.19483735	Yes	
row_77	VSNL1	12748	-0.41526949405670166	-0.19003065	Yes	
row_78	CEP55	12791	-0.4214918613433838	-0.18604644	Yes	
row_79	KRT35	12795	-0.42180395126342773	-0.17948839	Yes	
row_80	KIF11	12864	-0.43140050768852234	-0.17705804	Yes	
row_81	NSD2	12917	-0.43693098425865173	-0.17348523	Yes	
row_82	HSPH1	12926	-0.4378678798675537	-0.16699925	Yes	
row_83	CCNB1	12929	-0.4381466209888458	-0.1601136	Yes	
row_84	CENPF	12995	-0.4462622106075287	-0.15724762	Yes	
row_85	NDC80	13091	-0.45650947093963623	-0.15619354	Yes	
row_86	FOXM1	13136	-0.4638662338256836	-0.1516624	Yes	
row_87	CKAP2L	13227	-0.47562944889068604	-0.14997275	Yes	
row_88	CKS1B	13283	-0.48364388942718506	-0.14584939	Yes	
row_89	CDC20	13363	-0.4951968789100647	-0.14312181	Yes	
row_90	KIF20A	13534	-0.518761932849884	-0.14601076	Yes	
row_91	PRC1	13550	-0.5223422646522522	-0.1386329	Yes	
row_92	TACC3	13561	-0.5240463614463806	-0.1308984	Yes	
row_93	KIF4A	13622	-0.5343038439750671	-0.126293	Yes	
row_94	CHAF1A	13640	-0.5368608236312866	-0.11881435	Yes	
row_95	CCNA2	13658	-0.5397732853889465	-0.111289054	Yes	
row_96	AURKA	13711	-0.5487476587295532	-0.10592538	Yes	
row_97	DBF4	13794	-0.5633257627487183	-0.10230425	Yes	
row_98	NUP50	13795	-0.5633940100669861	-0.09328089	Yes	
row_99	MKI67	13850	-0.5706700086593628	-0.08769784	Yes	
row_100	GTSE1	13861	-0.574630856513977	-0.07915319	Yes	
row_101	SHCBP1	13953	-0.5897246599197388	-0.07570206	Yes	
row_102	AURKB	13979	-0.5970649719238281	-0.067786105	Yes	
row_103	PLK1	13998	-0.6017400622367859	-0.05933421	Yes	
row_104	DLGAP5	14131	-0.6308011412620544	-0.05792576	Yes	
row_105	APBB1	14155	-0.6362642049789429	-0.04925026	Yes	
row_106	ERCC6L	14551	-0.751408576965332	-0.0632333	Yes	
row_107	NCAPH	14565	-0.7574998140335083	-0.051957406	Yes	
row_108	FAM181B	14736	-0.8318904042243958	-0.049831264	Yes	
row_109	FETUB	14744	-0.8347805738449097	-0.03692243	Yes	
row_110	TOX4	14756	-0.8402364253997803	-0.024189686	Yes	
row_111	RANBP1	14819	-0.8704133033752441	-0.014332869	Yes	
row_112	FAM83D	14875	-0.8997520804405212	-0.0035450878	Yes	
row_113	CASP14	14947	-0.9558727145195007	0.007087647	Yes	
row_114	MYBL2	14993	-0.988645076751709	0.019957822	Yes	
