NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLSCR1	14	13.451257705688477	0.14081226	Yes	
row_1	FGF7	17	13.303993225097656	0.28085983	Yes	
row_2	GJB4	20	12.539008140563965	0.4128471	Yes	
row_3	TBX3	103	3.9893083572387695	0.44950303	Yes	
row_4	ADGRG6	105	3.9727554321289062	0.49129677	Yes	
row_5	ANO1	154	3.548088788986206	0.52553356	Yes	
row_6	PERP	185	3.3429043292999268	0.5587889	Yes	
row_7	IFI44	375	2.7165215015411377	0.57501674	Yes	
row_8	MPZL2	383	2.699615240097046	0.6030024	Yes	
row_9	CSF1	592	2.258836030960083	0.6131617	Yes	
row_10	TMTC4	631	2.211557149887085	0.63397187	Yes	
row_11	C1S	639	2.1992897987365723	0.65668577	Yes	
row_12	SEMA3C	708	2.119546413421631	0.674559	Yes	
row_13	MYH11	752	2.0708115100860596	0.6935582	Yes	
row_14	STEAP2	884	1.9391876459121704	0.7053994	Yes	
row_15	F3	1024	1.8245956897735596	0.71550846	Yes	
row_16	CYP2J2	1039	1.8096309900283813	0.73365766	Yes	
row_17	GPM6B	1109	1.7619320154190063	0.74769723	Yes	
row_18	PDK4	1156	1.7196950912475586	0.76280016	Yes	
row_19	FAS	1307	1.633934736251831	0.7701789	Yes	
row_20	ITGA1	1580	1.50344979763031	0.76818174	Yes	
row_21	IRAG1	1590	1.4996062517166138	0.78339225	Yes	
row_22	NFIB	2019	1.3190176486968994	0.76922095	No	
row_23	PLEKHH2	2305	1.2192004919052124	0.7633762	No	
row_24	CELSR3	3113	0.9806003570556641	0.7207834	No	
row_25	RGS4	3283	0.9377046823501587	0.7195802	No	
row_26	RGS5	3697	0.840494692325592	0.7013506	No	
row_27	AIF1L	4710	0.6111123561859131	0.6414203	No	
row_28	CD38	4818	0.5911270976066589	0.64063144	No	
row_29	ORAI2	4828	0.5894792675971985	0.64625233	No	
row_30	NNAT	5593	0.4211391508579254	0.60058475	No	
row_31	SLMAP	6102	0.31621262431144714	0.5706007	No	
row_32	RICTOR	6572	0.22503483295440674	0.5422137	No	
row_33	EPHA7	6644	0.21360176801681519	0.539808	No	
row_34	XRN1	6688	0.20689944922924042	0.53916794	No	
row_35	KDM5A	6795	0.1933424323797226	0.53425336	No	
row_36	STK26	7156	0.1284165382385254	0.5119968	No	
row_37	SERPINA3	7694	0.053562797605991364	0.47734344	No	
row_38	EPHA4	7971	0.018237417563796043	0.45943487	No	
row_39	CHODL	8178	-0.0052108545787632465	0.4459798	No	
row_40	OLR1	8184	-0.0062121180817484856	0.44571733	No	
row_41	IL1RAP	8598	-0.05121868848800659	0.41917148	No	
row_42	NREP	8816	-0.07628950476646423	0.40574396	No	
row_43	CPXM1	9501	-0.14423570036888123	0.36240536	No	
row_44	VCAM1	9797	-0.16958215832710266	0.34484538	No	
row_45	IL18RAP	10335	-0.21002601087093353	0.31184062	No	
row_46	ARC	11189	-0.2728602886199951	0.25877386	No	
row_47	COL2A1	13140	-0.46420082449913025	0.13577935	No	
row_48	UNC5C	13573	-0.5267976522445679	0.11299841	No	
