NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SFN	378	2.7069640159606934	-0.0050454545	No	
row_1	PSMB8	550	2.341778516769409	9.7212906E-4	No	
row_2	H2BC21	764	2.055978298187256	0.0020712507	No	
row_3	TP53	911	1.9141453504562378	0.0065755863	No	
row_4	PSMC6	1099	1.7669727802276611	0.0072579235	No	
row_5	CDKN1B	1238	1.6751034259796143	0.010518747	No	
row_6	CLASP2	1314	1.6307979822158813	0.017643142	No	
row_7	ANAPC5	1372	1.598583698272705	0.025726132	No	
row_8	MDM2	1449	1.5612863302230835	0.032267552	No	
row_9	PSMD5	1597	1.4973036050796509	0.033608478	No	
row_10	PPP2R5B	1617	1.489427924156189	0.043409463	No	
row_11	PSME1	1735	1.4378986358642578	0.04630559	No	
row_12	CDC26	2009	1.3259567022323608	0.037988055	No	
row_13	YWHAB	2094	1.2898181676864624	0.041980237	No	
row_14	PSMA7	2127	1.2769713401794434	0.049337644	No	
row_15	SKA1	2176	1.2618907690048218	0.05551819	No	
row_16	BRCC3	2187	1.258380651473999	0.06420161	No	
row_17	RPS27	2532	1.1529308557510376	0.049873468	No	
row_18	YWHAH	2621	1.124043583869934	0.052367847	No	
row_19	MIS12	2676	1.1078221797943115	0.05700446	No	
row_20	PSMD10	2766	1.082216501235962	0.05912154	No	
row_21	PSMD12	2830	1.060996174812317	0.06281131	No	
row_22	PPP2CA	2980	1.0190790891647339	0.060466237	No	
row_23	PPP2R1A	3047	0.9976517558097839	0.06348574	No	
row_24	NUP160	3056	0.9951886534690857	0.07034692	No	
row_25	PSMD9	3193	0.9629291892051697	0.06844986	No	
row_26	DYNC1I2	3195	0.9625337719917297	0.0755343	No	
row_27	UBE2E1	3226	0.9554911255836487	0.08063643	No	
row_28	RAD50	3275	0.9397656321525574	0.084423795	No	
row_29	DYNC1LI2	3384	0.9156143665313721	0.08403866	No	
row_30	NDE1	3415	0.9078245162963867	0.088786654	No	
row_31	WRN	3842	0.8108572959899902	0.066459924	No	
row_32	RPS27A	3871	0.8046209812164307	0.07057428	No	
row_33	RPA1	4058	0.7604976892471313	0.06384573	No	
row_34	PPP2CB	4112	0.7459579110145569	0.06586049	No	
row_35	PSMA3	4198	0.7275412082672119	0.06560877	No	
row_36	PSMD3	4230	0.7202017903327942	0.0688963	No	
row_37	UBE2V2	4492	0.6633404493331909	0.056454584	No	
row_38	RANBP2	4495	0.6627250909805298	0.06124509	No	
row_39	H2BC4	4506	0.6606408357620239	0.0654877	No	
row_40	PSMA2	4706	0.61155766248703	0.056787454	No	
row_41	TAOK1	4759	0.6028571724891663	0.057805613	No	
row_42	NUP43	4811	0.5929283499717712	0.05881656	No	
row_43	SKA2	4923	0.56847083568573	0.055652726	No	
row_44	HERC2	4952	0.5617523193359375	0.057962734	No	
row_45	SEH1L	5008	0.5449256896972656	0.058350846	No	
row_46	ATM	5097	0.5240986347198486	0.056388035	No	
row_47	MRE11	5179	0.5063928365707397	0.054759543	No	
row_48	XPO1	5337	0.4750806391239166	0.047840517	No	
row_49	UBE2D1	5363	0.47048285603523254	0.049672112	No	
row_50	H2BC8	5446	0.45268514752388	0.04757805	No	
row_51	YWHAG	5537	0.4330442547798157	0.044805665	No	
row_52	PSMB7	5642	0.41346433758735657	0.040956095	No	
row_53	SEC13	5648	0.41220247745513916	0.043685727	No	
row_54	PSMB9	5729	0.3977038860321045	0.041316297	No	
row_55	ZW10	5739	0.3961333930492401	0.043660343	No	
row_56	MCM6	5754	0.3918360471725464	0.045639705	No	
row_57	ATR	5833	0.3763902187347412	0.043245032	No	
row_58	MAPRE1	5852	0.37213027477264404	0.04481179	No	
row_59	DYNLL2	5895	0.3623267710208893	0.044708483	No	
row_60	CHEK2	5905	0.35814425349235535	0.046770293	No	
row_61	PSME2	5938	0.3495890498161316	0.047237866	No	
row_62	PSME3	5960	0.3453294336795807	0.048405856	No	
row_63	H2BC7	5984	0.3406085669994354	0.04940567	No	
row_64	ORC1	5993	0.33887097239494324	0.051390845	No	
row_65	PHF20	6070	0.32211825251579285	0.04872607	No	
row_66	MDM4	6099	0.3166939616203308	0.04921546	No	
row_67	PSMD11	6109	0.31483933329582214	0.050955545	No	
row_68	PSMB4	6175	0.29974642395973206	0.048856627	No	
row_69	DYNC1H1	6197	0.29594850540161133	0.049657747	No	
row_70	PSMB3	6211	0.2929236590862274	0.05096881	No	
row_71	MCM4	6282	0.27939167618751526	0.04838591	No	
row_72	H4C9	6324	0.27077651023864746	0.047668997	No	
row_73	MCM3	6363	0.2636706531047821	0.047098946	No	
row_74	PSMC4	6437	0.24955414235591888	0.04409472	No	
row_75	ANAPC1	6528	0.23346549272537231	0.039839596	No	
row_76	PPP2R5A	6628	0.21590809524059296	0.034855068	No	
row_77	RBBP8	6675	0.20820246636867523	0.033340514	No	
row_78	CLASP1	6811	0.19053833186626434	0.02577166	No	
row_79	PSMB1	6829	0.186793714761734	0.02602804	No	
row_80	TP53BP1	6896	0.1754356175661087	0.022939024	No	
row_81	H2BC12	6960	0.16437122225761414	0.019967461	No	
row_82	UBA52	6965	0.16307906806468964	0.020912824	No	
row_83	PSMB2	7058	0.14469291269779205	0.015865074	No	
row_84	H2BC17	7163	0.1266382485628128	0.009884576	No	
row_85	H2BC14	7253	0.11472554504871368	0.0048138443	No	
row_86	H2BC13	7277	0.11130563169717789	0.004110091	No	
row_87	PSMC5	7280	0.11072257161140442	0.0047995835	No	
row_88	YWHAQ	7499	0.07978704571723938	-0.009115838	No	
row_89	PSMD13	7514	0.07777611911296844	-0.009469732	No	
row_90	PSMB5	7601	0.06534139811992645	-0.014707702	No	
row_91	ANAPC7	7820	0.037352558225393295	-0.028938385	No	
row_92	CDC7	7844	0.03361235186457634	-0.030219346	No	
row_93	WEE1	7901	0.027379680424928665	-0.033742808	No	
row_94	CHEK1	7909	0.02650390937924385	-0.03401176	No	
row_95	H2BC9	7932	0.02311542257666588	-0.035304155	No	
row_96	H2BC3	7938	0.02247120440006256	-0.035469968	No	
row_97	YWHAZ	8008	0.013892862014472485	-0.039958794	No	
row_98	TOPBP1	8034	0.011304965242743492	-0.04153859	No	
row_99	RAD9A	8189	-0.006777202244848013	-0.05173714	No	
row_100	ITGB3BP	8234	-0.011991382576525211	-0.05457631	No	
row_101	CDC23	8242	-0.01306226197630167	-0.054945126	No	
row_102	PSMD1	8253	-0.014026087708771229	-0.055506434	No	
row_103	RPA2	8314	-0.019110068678855896	-0.05935754	No	
row_104	DYNC1I1	8398	-0.029192063957452774	-0.064664416	No	
row_105	PSMB11	8450	-0.03585822135210037	-0.06779213	No	
row_106	MCM2	8596	-0.0508427619934082	-0.07706434	No	
row_107	NUP133	8754	-0.06806688755750656	-0.08700721	No	
row_108	CCNE1	8851	-0.08031681180000305	-0.09279944	No	
row_109	YWHAE	8992	-0.09567844122648239	-0.10140579	No	
row_110	NUDC	9064	-0.10479889065027237	-0.10535235	No	
row_111	H2BC1	9077	-0.10580082982778549	-0.10536493	No	
row_112	NDEL1	9141	-0.11110489070415497	-0.10873223	No	
row_113	RAD9B	9219	-0.11880894750356674	-0.11297401	No	
row_114	PPP2R5E	9231	-0.11989468336105347	-0.11281534	No	
row_115	CENPK	9252	-0.12144521623849869	-0.11324411	No	
row_116	CLIP1	9263	-0.12233498692512512	-0.11300076	No	
row_117	ANAPC11	9353	-0.13055214285850525	-0.117953904	No	
row_118	H2BC15	9355	-0.13088002800941467	-0.11704811	No	
row_119	CCNE2	9381	-0.13361462950706482	-0.11771922	No	
row_120	PSMA5	9405	-0.13578735291957855	-0.118241094	No	
row_121	BRIP1	9438	-0.13860984146595	-0.119340956	No	
row_122	BABAM1	9482	-0.1424601972103119	-0.12114428	No	
row_123	KNTC1	9571	-0.15094727277755737	-0.12587935	No	
row_124	MCM8	9661	-0.1588687002658844	-0.13062213	No	
row_125	SGO1	9663	-0.1591298133134842	-0.12950645	No	
row_126	BLM	9670	-0.16001202166080475	-0.12871698	No	
row_127	PSMA4	9741	-0.16598522663116455	-0.13214241	No	
row_128	CDKN1A	9789	-0.16904760897159576	-0.13401441	No	
row_129	ANAPC4	9872	-0.17509248852729797	-0.1381708	No	
row_130	CENPC	9908	-0.17816373705863953	-0.13917646	No	
row_131	KIF2B	9930	-0.1795562505722046	-0.13924006	No	
row_132	H2BC11	9935	-0.17982536554336548	-0.13817027	No	
row_133	SPDL1	9983	-0.18357492983341217	-0.13993435	No	
row_134	PSMA1	9998	-0.1847991794347763	-0.13949312	No	
row_135	DNA2	10005	-0.1851266622543335	-0.13851707	No	
row_136	AHCTF1	10050	-0.18891622126102448	-0.1400418	No	
row_137	CDC45	10167	-0.19756962358951569	-0.14629395	No	
row_138	NUP85	10178	-0.19816254079341888	-0.14548725	No	
row_139	SEM1	10441	-0.21798206865787506	-0.16130422	No	
row_140	BARD1	10621	-0.2299063354730606	-0.17150886	No	
row_141	RPA3	10691	-0.23479785025119781	-0.1743565	No	
row_142	PSMA8	10696	-0.23523269593715668	-0.17287509	No	
