NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H2BC21	764	2.055978298187256	-0.016501721	No	
row_1	RBBP7	782	2.0336716175079346	0.015839027	No	
row_2	ATRX	1667	1.4670629501342773	-0.018257443	No	
row_3	H2AJ	1684	1.4595837593078613	0.0047035334	No	
row_4	PPP6R3	1750	1.4286080598831177	0.023926925	No	
row_5	H3-3A	2962	1.0230032205581665	-0.039017305	No	
row_6	TERF2IP	2986	1.017341136932373	-0.02379382	No	
row_7	H2AC8	3757	0.8275522589683533	-0.06090248	No	
row_8	WRN	3842	0.8108572959899902	-0.053094786	No	
row_9	POLR2B	4054	0.7610849738121033	-0.054472283	No	
row_10	RPA1	4058	0.7604976892471313	-0.042157203	No	
row_11	DKC1	4283	0.7080659866333008	-0.04526343	No	
row_12	PRIM1	4478	0.6652151942253113	-0.047098406	No	
row_13	H2BC4	4506	0.6606408357620239	-0.038007326	No	
row_14	SHQ1	4670	0.6192197799682617	-0.038556922	No	
row_15	RBBP4	4684	0.6165151000022888	-0.029269595	No	
row_16	NOP10	4747	0.6048057079315186	-0.023402857	No	
row_17	RFC1	4845	0.5860392451286316	-0.020150553	No	
row_18	TERF2	5043	0.5362336039543152	-0.024305336	No	
row_19	H2BC8	5446	0.45268514752388	-0.04333938	No	
row_20	H2BC7	5984	0.3406085669994354	-0.07311074	No	
row_21	POLR2H	6174	0.2999214828014374	-0.08062662	No	
row_22	H4C9	6324	0.27077651023864746	-0.085987	No	
row_23	RSF1	6552	0.2289026975631714	-0.09717468	No	
row_24	STN1	6665	0.20999747514724731	-0.10109765	No	
row_25	POLR2A	6768	0.1971006989479065	-0.10457406	No	
row_26	H2BC12	6960	0.16437122225761414	-0.11445195	No	
row_27	POT1	6978	0.1603298783302307	-0.11293389	No	
row_28	POLR2D	7026	0.15014612674713135	-0.11355967	No	
row_29	H2BC17	7163	0.1266382485628128	-0.12043521	No	
row_30	H2AC14	7175	0.12480872869491577	-0.11910633	No	
row_31	TERT	7221	0.11931341141462326	-0.12010765	No	
row_32	POLR2L	7243	0.11599943786859512	-0.119582474	No	
row_33	H2BC14	7253	0.11472554504871368	-0.11828775	No	
row_34	H2BC13	7277	0.11130563169717789	-0.117971554	No	
row_35	NPM1	7310	0.10683918744325638	-0.11832173	No	
row_36	DSCC1	7680	0.055229105055332184	-0.14172132	No	
row_37	H2BC9	7932	0.02311542257666588	-0.15787593	No	
row_38	H2BC3	7938	0.02247120440006256	-0.15783557	No	
row_39	PPP6C	7962	0.019228054210543633	-0.15903436	No	
row_40	POLR2K	8012	0.013427727855741978	-0.16204137	No	
row_41	PRIM2	8035	0.011210791766643524	-0.16330618	No	
row_42	POLR2J	8190	-0.006887235678732395	-0.17333779	No	
row_43	ITGB3BP	8234	-0.011991382576525211	-0.17597316	No	
row_44	FEN1	8244	-0.0133621571585536	-0.1763462	No	
row_45	RPA2	8314	-0.019110068678855896	-0.18057723	No	
row_46	H3-3B	8536	-0.04573197290301323	-0.19438343	No	
row_47	POLR2G	8567	-0.04821792617440224	-0.19556636	No	
row_48	CTC1	8703	-0.0627913847565651	-0.20342651	No	
row_49	H2BC1	9077	-0.10580082982778549	-0.22625755	No	
row_50	PCNA	9204	-0.11739768087863922	-0.23262636	No	
row_51	CENPK	9252	-0.12144521623849869	-0.23372437	No	
row_52	H2BC15	9355	-0.13088002800941467	-0.23829032	No	
row_53	POLR2E	9392	-0.1347227692604065	-0.23844522	No	
row_54	BLM	9670	-0.16001202166080475	-0.2540602	No	
row_55	TERF1	9903	-0.17800141870975494	-0.26641476	No	
row_56	CENPC	9908	-0.17816373705863953	-0.26374686	No	
row_57	H2BC11	9935	-0.17982536554336548	-0.2625009	No	
row_58	H2AC6	9955	-0.18163157999515533	-0.26076412	No	
row_59	DNA2	10005	-0.1851266622543335	-0.26094612	No	
row_60	ANKRD28	10015	-0.1857239156961441	-0.25848323	No	
row_61	MIS18BP1	10380	-0.21324725449085236	-0.27895352	No	
row_62	MIS18A	10464	-0.219308003783226	-0.2808129	No	
row_63	NHP2	10489	-0.22097855806350708	-0.2787581	No	
row_64	RPA3	10691	-0.23479785025119781	-0.288136	No	
row_65	H4C8	11029	-0.2597588002681732	-0.30606237	No	
row_66	GAR1	11148	-0.2698066234588623	-0.30939654	No	
row_67	CENPA	11674	-0.31177157163619995	-0.33885184	No	
row_68	H2AC4	11791	-0.32154425978660583	-0.341203	No	
row_69	H4C2	11842	-0.3257494270801544	-0.33913717	No	
row_70	OIP5	12084	-0.3490259051322937	-0.34927067	No	
row_71	CDK2	12177	-0.3576436936855316	-0.34944686	Yes	
row_72	CCNA1	12186	-0.3589917719364166	-0.34406728	Yes	
row_73	KNL1	12191	-0.3594104051589966	-0.3384173	Yes	
row_74	CENPH	12303	-0.36900898814201355	-0.3396581	Yes	
row_75	CENPN	12337	-0.37219730019569397	-0.33570814	Yes	
row_76	TINF2	12411	-0.3796016275882721	-0.3342714	Yes	
row_77	SMARCA5	12523	-0.39064571261405945	-0.33515623	Yes	
row_78	CENPL	12615	-0.4012310206890106	-0.3345494	Yes	
row_79	CENPQ	12699	-0.4087410569190979	-0.33329195	Yes	
row_80	CENPM	12733	-0.41321226954460144	-0.32866716	Yes	
row_81	RFC3	12972	-0.44394630193710327	-0.3370413	Yes	
row_82	RFC5	13006	-0.447462797164917	-0.33185297	Yes	
row_83	RFC4	13033	-0.4505583345890045	-0.32615256	Yes	
row_84	CENPT	13072	-0.4550515115261078	-0.32116875	Yes	
row_85	WRAP53	13075	-0.45541611313819885	-0.3138074	Yes	
row_86	POLD3	13095	-0.45681920647621155	-0.30754286	Yes	
row_87	CENPP	13247	-0.4781848192214966	-0.30962244	Yes	
row_88	H2AC20	13281	-0.4829428791999817	-0.30385032	Yes	
row_89	ACD	13376	-0.49697035551071167	-0.30186588	Yes	
row_90	CENPO	13416	-0.5021865963935852	-0.2961724	Yes	
row_91	H2AC19	13457	-0.5098297595977783	-0.29041907	Yes	
row_92	H2AZ2	13468	-0.511433482170105	-0.28266305	Yes	
row_93	CCNA2	13658	-0.5397732853889465	-0.2862326	Yes	
row_94	CENPX	13752	-0.5563895106315613	-0.28320462	Yes	
row_95	POLR2I	13814	-0.5659025311470032	-0.27791208	Yes	
row_96	CENPS	14042	-0.6122239232063293	-0.28279287	Yes	
row_97	LIG1	14128	-0.6306259036064148	-0.27801645	Yes	
row_98	H4C6	14229	-0.6548115015029907	-0.27383024	Yes	
row_99	POLR2C	14404	-0.6980376243591309	-0.27380764	Yes	
row_100	H2BC10	14442	-0.7084029912948608	-0.2645895	Yes	
row_101	CENPU	14485	-0.7239789366722107	-0.25544444	Yes	
row_102	RUVBL1	14514	-0.7345374226570129	-0.24520339	Yes	
row_103	POLA2	14521	-0.737595796585083	-0.23346275	Yes	
row_104	DAXX	14597	-0.7700648903846741	-0.22573334	Yes	
row_105	CENPW	14607	-0.7739731073379517	-0.2135918	Yes	
row_106	RUVBL2	14608	-0.774249255657196	-0.20085284	Yes	
row_107	H2AX	14726	-0.8251985311508179	-0.1949831	Yes	
row_108	HJURP	14759	-0.8408837914466858	-0.1832558	Yes	
row_109	CHTF18	14770	-0.845756471157074	-0.16999906	Yes	
row_110	POLD1	14779	-0.8504441380500793	-0.15653345	Yes	
row_111	POLR2F	14880	-0.9014269709587097	-0.1482896	Yes	
row_112	POLD2	15071	-1.07895028591156	-0.14305376	Yes	
row_113	H3-4	15099	-1.1111270189285278	-0.12655069	Yes	
row_114	RFC2	15175	-1.2967422008514404	-0.110155694	Yes	
row_115	TEN1	15183	-1.3173792362213135	-0.08894157	Yes	
row_116	CHTF8	15296	-5.854113578796387	-1.1175871E-7	Yes	
