NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CYS1	58	4.949787139892578	0.04775553	No	
row_1	ARL13B	346	2.7986361980438232	0.057938594	No	
row_2	CETN2	1181	1.7028038501739502	0.020510335	No	
row_3	TCTN2	1514	1.5315181016921997	0.014508765	No	
row_4	MKS1	2366	1.2009018659591675	-0.029275646	No	
row_5	RAB3IP	2374	1.1986660957336426	-0.017244788	No	
row_6	TTC8	2518	1.156270146369934	-0.014653519	No	
row_7	CSNK1E	2536	1.1512523889541626	-0.0037784604	No	
row_8	BBS4	2850	1.0527544021606445	-0.013513265	No	
row_9	TUBB	2883	1.0428621768951416	-0.004760375	No	
row_10	TUBA1C	2927	1.0321099758148193	0.0031526894	No	
row_11	PKD1	2940	1.0274213552474976	0.013067826	No	
row_12	PPP2R1A	3047	0.9976517558097839	0.01645368	No	
row_13	DYNC1I2	3195	0.9625337719917297	0.01676095	No	
row_14	SFI1	3254	0.9482061862945557	0.022807077	No	
row_15	RAB11FIP3	3255	0.9480946063995361	0.032689285	No	
row_16	ARF4	3333	0.9267407655715942	0.03725464	No	
row_17	AKAP9	3341	0.9239155650138855	0.04642171	No	
row_18	NDE1	3415	0.9078245162963867	0.051054534	No	
row_19	DYNLRB1	3483	0.8888164758682251	0.05588619	No	
row_20	SEPTIN2	3580	0.8664516806602478	0.05856611	No	
row_21	NPHP3	3717	0.836685061454773	0.058289386	No	
row_22	CLUAP1	3768	0.825835645198822	0.06358929	No	
row_23	BBS2	3876	0.8029489517211914	0.06487955	No	
row_24	CEP290	3896	0.7967441082000732	0.07192717	No	
row_25	TTC21B	4007	0.7714323997497559	0.07269045	No	
row_26	BBS9	4157	0.7364595532417297	0.07050898	No	
row_27	EXOC1	4322	0.6994490623474121	0.066949345	No	
row_28	RAB11A	4394	0.6839799284934998	0.069381304	No	
row_29	TCTN3	4444	0.6746577024459839	0.07317161	No	
row_30	KIF3C	4475	0.6663215160369873	0.07813205	No	
row_31	CC2D2A	4484	0.6641371846199036	0.08452523	No	
row_32	EXOC4	5011	0.543437123298645	0.05538973	No	
row_33	ASAP1	5071	0.5295918583869934	0.057006378	No	
row_34	MKKS	5083	0.5267353653907776	0.061768908	No	
row_35	UNC119B	5169	0.5086733102798462	0.061447375	No	
row_36	EXOC8	5203	0.5011800527572632	0.06448803	No	
row_37	YWHAG	5537	0.4330442547798157	0.046970654	No	
row_38	CEP131	5580	0.42379963397979736	0.048609316	No	
row_39	MAPRE1	5852	0.37213027477264404	0.034558907	No	
row_40	DYNLL2	5895	0.3623267710208893	0.035556827	No	
row_41	NEDD1	5951	0.3470049500465393	0.03553497	No	
row_42	HAUS2	6000	0.33778461813926697	0.035880122	No	
row_43	BBS1	6077	0.3210659921169281	0.03419855	No	
row_44	HAUS5	6096	0.31739625334739685	0.036315974	No	
row_45	DYNC1H1	6197	0.29594850540161133	0.032784767	No	
row_46	PRKAR2B	6348	0.26710081100463867	0.025644906	No	
row_47	NINL	6659	0.2116858810186386	0.0073419274	No	
row_48	HAUS7	6696	0.20589187741279602	0.007106246	No	
row_49	TMEM67	6707	0.20403021574020386	0.008571305	No	
row_50	CEP97	6713	0.20376423001289368	0.01036439	No	
row_51	CEP192	6765	0.19743849337100983	0.009048205	No	
row_52	CLASP1	6811	0.19053833186626434	0.008057055	No	
row_53	IFT172	7072	0.14342297613620758	-0.00764947	No	
row_54	CCT8	7079	0.14185300469398499	-0.0065678605	No	
row_55	IFT80	7643	0.059653762727975845	-0.043193843	No	
row_56	ATAT1	7925	0.024055661633610725	-0.06153391	No	
row_57	MCHR1	8021	0.012522955425083637	-0.067688525	No	
row_58	SSTR3	8246	-0.013481853529810905	-0.08236772	No	
row_59	BBS12	8319	-0.01972273737192154	-0.086925626	No	
