NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H2BC21	764	2.055978298187256	-0.021667784	No	
row_1	TP53	911	1.9141453504562378	-0.0045177494	No	
row_2	KDM4A	1197	1.6962182521820068	4.049326E-4	No	
row_3	PARP2	1519	1.5298537015914917	6.223836E-4	No	
row_4	XRCC2	1932	1.3630799055099487	-0.007502446	No	
row_5	BRCC3	2187	1.258380651473999	-0.0066608028	No	
row_6	SUMO1	2261	1.2349114418029785	0.005802726	No	
row_7	POLE4	2591	1.1329624652862549	-6.2732375E-5	No	
row_8	POLM	2750	1.08682119846344	0.0047161463	No	
row_9	DCLRE1C	3026	1.0029089450836182	5.9581373E-4	No	
row_10	RAD50	3275	0.9397656321525574	-0.0026255965	No	
row_11	BAZ1B	3370	0.918329656124115	0.0040206867	No	
row_12	FIGNL1	3401	0.9115203022956848	0.014797206	No	
row_13	WRN	3842	0.8108572959899902	-0.0029049632	No	
row_14	RPS27A	3871	0.8046209812164307	0.006507489	No	
row_15	EME2	3898	0.7962480783462524	0.015934806	No	
row_16	PPP4R2	3952	0.7829968333244324	0.023394015	No	
row_17	RPA1	4058	0.7604976892471313	0.027105086	No	
row_18	LIG4	4101	0.7491045594215393	0.034816217	No	
row_19	PAXIP1	4428	0.6777708530426025	0.022778168	No	
row_20	UBE2V2	4492	0.6633404493331909	0.027902478	No	
row_21	H2BC4	4506	0.6606408357620239	0.036290206	No	
row_22	KDM4B	4568	0.6431787014007568	0.04126439	No	
row_23	RFC1	4845	0.5860392451286316	0.031243706	No	
row_24	HERC2	4952	0.5617523193359375	0.0321072	No	
row_25	ATM	5097	0.5240986347198486	0.029934796	No	
row_26	ERCC4	5147	0.5151143670082092	0.033908933	No	
row_27	MRE11	5179	0.5063928365707397	0.03894944	No	
row_28	ABL1	5190	0.5035826563835144	0.045337126	No	
row_29	H2BC8	5446	0.45268514752388	0.03483658	No	
row_30	MAPK8	5533	0.4335090219974518	0.035225715	No	
row_31	PRKDC	5558	0.4267689883708954	0.039614014	No	
row_32	GEN1	5797	0.3831025958061218	0.02926203	No	
row_33	ATR	5833	0.3763902187347412	0.03221898	No	
row_34	CHEK2	5905	0.35814425349235535	0.032543708	No	
row_35	H2BC7	5984	0.3406085669994354	0.03216084	No	
row_36	H4C9	6324	0.27077651023864746	0.013568364	No	
row_37	BRCA2	6396	0.25696051120758057	0.012476966	No	
row_38	RBBP8	6675	0.20820246636867523	-0.0029638049	No	
row_39	UBXN1	6703	0.20476031303405762	-0.0018807176	No	
row_40	TP53BP1	6896	0.1754356175661087	-0.012102012	No	
row_41	NHEJ1	6938	0.16823597252368927	-0.01245444	No	
row_42	H2BC12	6960	0.16437122225761414	-0.011540476	No	
row_43	UBA52	6965	0.16307906806468964	-0.009522188	No	
row_44	H2BC17	7163	0.1266382485628128	-0.02075655	No	
row_45	PALB2	7169	0.1259986162185669	-0.019323248	No	
row_46	H2BC14	7253	0.11472554504871368	-0.023197593	No	
row_47	H2BC13	7277	0.11130563169717789	-0.023158362	No	
row_48	POLE2	7354	0.09991447627544403	-0.026777828	No	
row_49	ERCC1	7520	0.07669636607170105	-0.036598384	No	
row_50	TDP2	7905	0.027277613058686256	-0.061569847	No	
row_51	CHEK1	7909	0.02650390937924385	-0.061396983	No	
row_52	H2BC9	7932	0.02311542257666588	-0.062525995	No	
row_53	H2BC3	7938	0.02247120440006256	-0.06254162	No	
row_54	TOPBP1	8034	0.011304965242743492	-0.068655685	No	
row_55	RAD9A	8189	-0.006777202244848013	-0.078728534	No	
row_56	XRCC5	8197	-0.00742438156157732	-0.079086795	No	
row_57	FEN1	8244	-0.0133621571585536	-0.08193689	No	
row_58	RPA2	8314	-0.019110068678855896	-0.08622509	No	
row_59	TIPIN	8748	-0.06734862923622131	-0.11387092	No	
row_60	EME1	8820	-0.07649904489517212	-0.117487974	No	
row_61	H2BC1	9077	-0.10580082982778549	-0.13290939	No	
row_62	PCNA	9204	-0.11739768087863922	-0.13958536	No	
row_63	RAD9B	9219	-0.11880894750356674	-0.1388469	No	
