NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NEIL1	535	2.358903646469116	-0.02078692	No	
row_1	H2BC21	764	2.055978298187256	-0.023008462	No	
row_2	DCLRE1A	807	2.009803533554077	-0.013114244	No	
row_3	MUTYH	828	1.987406849861145	-0.0018939577	No	
row_4	TP53	911	1.9141453504562378	0.0047277217	No	
row_5	UBA7	1093	1.7710251808166504	0.0038413508	No	
row_6	CETN2	1181	1.7028038501739502	0.008794455	No	
row_7	KDM4A	1197	1.6962182521820068	0.01850884	No	
row_8	RAD23B	1264	1.657684564590454	0.024577769	No	
row_9	ERCC3	1410	1.583237886428833	0.024906589	No	
row_10	PARP2	1519	1.5298537015914917	0.027366329	No	
row_11	H2AJ	1684	1.4595837593078613	0.0256466	No	
row_12	TRIM25	1921	1.3688393831253052	0.01855076	No	
row_13	XRCC2	1932	1.3630799055099487	0.026494248	No	
row_14	FAN1	2020	1.318955898284912	0.029022591	No	
row_15	GTF2H5	2143	1.2708872556686401	0.02891255	No	
row_16	BRCC3	2187	1.258380651473999	0.033993334	No	
row_17	SUMO1	2261	1.2349114418029785	0.036924664	No	
row_18	MPG	2284	1.223760724067688	0.043187596	No	
row_19	USP10	2309	1.2178459167480469	0.04927975	No	
row_20	MSH3	2326	1.2120442390441895	0.05586891	No	
row_21	FANCC	2369	1.2001254558563232	0.0606484	No	
row_22	POLE4	2591	1.1329624652862549	0.05306313	No	
row_23	POLM	2750	1.08682119846344	0.049388904	No	
row_24	PIAS3	2833	1.0602127313613892	0.050616305	No	
row_25	REV3L	2922	1.0339699983596802	0.05127769	No	
row_26	TERF2IP	2986	1.017341136932373	0.053501695	No	
row_27	DCLRE1C	3026	1.0029089450836182	0.057235498	No	
row_28	ERCC6	3031	1.001142978668213	0.063292876	No	
row_29	UVSSA	3063	0.9924300909042358	0.06749413	No	
row_30	COPS7A	3070	0.9919711947441101	0.07336016	No	
row_31	SUMO3	3085	0.9877259731292725	0.07866572	No	
row_32	MBD4	3224	0.9560599327087402	0.07549961	No	
row_33	INO80D	3246	0.9495774507522583	0.080097236	No	
row_34	RAD50	3275	0.9397656321525574	0.08416594	No	
row_35	BAZ1B	3370	0.918329656124115	0.08369658	No	
row_36	FIGNL1	3401	0.9115203022956848	0.08745344	No	
row_37	PMS2	3441	0.9020591974258423	0.09055018	No	
row_38	UBE2L6	3674	0.8455896973609924	0.0804158	No	
row_39	H2AC8	3757	0.8275522589683533	0.080173485	No	
row_40	WRN	3842	0.8108572959899902	0.0796923	No	
row_41	FTO	3860	0.8061274886131287	0.08365058	No	
row_42	RPS27A	3871	0.8046209812164307	0.088066295	No	
row_43	EME2	3898	0.7962480783462524	0.091361806	No	
row_44	USP45	3924	0.78987717628479	0.09468378	No	
row_45	PPP4R2	3952	0.7829968333244324	0.09782888	No	
row_46	ERCC5	4004	0.7725006937980652	0.09930672	No	
row_47	POLR2B	4054	0.7610849738121033	0.10084585	No	
row_48	RPA1	4058	0.7604976892471313	0.10544978	No	
row_49	LIG4	4101	0.7491045594215393	0.10738018	No	
row_50	APEX1	4153	0.7371084094047546	0.10863444	No	
row_51	RNF111	4166	0.7335410714149475	0.112467736	No	
row_52	GTF2H3	4214	0.7232674956321716	0.11390139	No	
row_53	PAXIP1	4428	0.6777708530426025	0.103974335	No	
row_54	UBE2V2	4492	0.6633404493331909	0.10396212	No	
row_55	H2BC4	4506	0.6606408357620239	0.10726819	No	
row_56	KDM4B	4568	0.6431787014007568	0.10726204	No	
row_57	YY1	4738	0.6065898537635803	0.09982042	No	
row_58	NEIL2	4766	0.6018624305725098	0.101821296	No	
row_59	USP43	4821	0.5905502438545227	0.10194963	No	
row_60	PRPF19	4835	0.5882890224456787	0.10479866	No	
row_61	RFC1	4845	0.5860392451286316	0.1079003	No	
row_62	HERC2	4952	0.5617523193359375	0.10437798	No	
row_63	TERF2	5043	0.5362336039543152	0.10176175	No	
row_64	ATM	5097	0.5240986347198486	0.10153702	No	
row_65	ERCC4	5147	0.5151143670082092	0.10152236	No	
row_66	MRE11	5179	0.5063928365707397	0.10265333	No	
row_67	ABL1	5190	0.5035826563835144	0.10516739	No	
row_68	FANCE	5207	0.4999321401119232	0.10725815	No	
row_69	VCP	5221	0.49845439195632935	0.10953969	No	
row_70	ISY1	5285	0.4844326078891754	0.10839732	No	
row_71	H2BC8	5446	0.45268514752388	0.10058385	No	
row_72	PPIE	5532	0.43389731645584106	0.09765471	No	
row_73	MAPK8	5533	0.4335090219974518	0.100393176	No	
row_74	PRKDC	5558	0.4267689883708954	0.10148811	No	
row_75	SMUG1	5560	0.42650625109672546	0.104115635	No	
row_76	FANCF	5657	0.4105238914489746	0.100305066	No	
row_77	PNKP	5776	0.3864326775074005	0.09487477	No	
