NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PSMB8	550	2.341778516769409	-7.4290176E-4	No	
row_1	H2BC21	764	2.055978298187256	0.016403172	No	
row_2	PSMC6	1099	1.7669727802276611	0.021184485	No	
row_3	ANAPC5	1372	1.598583698272705	0.027499892	No	
row_4	PSMD5	1597	1.4973036050796509	0.03544427	No	
row_5	H2AJ	1684	1.4595837593078613	0.05191746	No	
row_6	PSME1	1735	1.4378986358642578	0.070435844	No	
row_7	CDC26	2009	1.3259567022323608	0.072548985	No	
row_8	PSMA7	2127	1.2769713401794434	0.08420712	No	
row_9	POLE4	2591	1.1329624652862549	0.07086164	No	
row_10	PSMD10	2766	1.082216501235962	0.07580579	No	
row_11	PSMD12	2830	1.060996174812317	0.08774844	No	
row_12	H3-3A	2962	1.0230032205581665	0.094630055	No	
row_13	PSMD9	3193	0.9629291892051697	0.09407117	No	
row_14	UBE2E1	3226	0.9554911255836487	0.10645754	No	
row_15	H2AC8	3757	0.8275522589683533	0.08405971	No	
row_16	RPS27A	3871	0.8046209812164307	0.088815115	No	
row_17	RPA1	4058	0.7604976892471313	0.08808673	No	
row_18	PSMA3	4198	0.7275412082672119	0.089957975	No	
row_19	PSMD3	4230	0.7202017903327942	0.09884047	No	
row_20	PRIM1	4478	0.6652151942253113	0.09264351	No	
row_21	H2BC4	4506	0.6606408357620239	0.10088614	No	
row_22	PSMA2	4706	0.61155766248703	0.097040676	No	
row_23	KPNA1	4831	0.5892095565795898	0.09780239	No	
row_24	UBE2D1	5363	0.47048285603523254	0.069921136	No	
row_25	H2BC8	5446	0.45268514752388	0.0713814	No	
row_26	PSMB7	5642	0.41346433758735657	0.06479426	No	
row_27	PSMB9	5729	0.3977038860321045	0.06515654	No	
row_28	MCM6	5754	0.3918360471725464	0.0695187	No	
row_29	PSME2	5938	0.3495890498161316	0.062753834	No	
row_30	PSME3	5960	0.3453294336795807	0.06660824	No	
row_31	H2BC7	5984	0.3406085669994354	0.070259124	No	
row_32	ORC1	5993	0.33887097239494324	0.074872896	No	
row_33	PSMD11	6109	0.31483933329582214	0.072065406	No	
row_34	PSMB4	6175	0.29974642395973206	0.07232643	No	
row_35	PSMB3	6211	0.2929236590862274	0.07446243	No	
row_36	MCM4	6282	0.27939167618751526	0.07408488	No	
row_37	H4C9	6324	0.27077651023864746	0.07548916	No	
row_38	H3C13	6345	0.2675352394580841	0.078229226	No	
row_39	MCM3	6363	0.2636706531047821	0.0811085	No	
row_40	PSMC4	6437	0.24955414235591888	0.080080405	No	
row_41	ANAPC1	6528	0.23346549272537231	0.077687055	No	
row_42	PSMB1	6829	0.186793714761734	0.060736097	No	
row_43	H2BC12	6960	0.16437122225761414	0.054656446	No	
row_44	UBA52	6965	0.16307906806468964	0.05686689	No	
row_45	PSMB2	7058	0.14469291269779205	0.05299478	No	
row_46	H2BC17	7163	0.1266382485628128	0.048057344	No	
row_47	H2AC14	7175	0.12480872869491577	0.049225498	No	
row_48	H2BC14	7253	0.11472554504871368	0.04588797	No	
row_49	H2BC13	7277	0.11130563169717789	0.046059858	No	
row_50	PSMC5	7280	0.11072257161140442	0.047607847	No	
row_51	POLE2	7354	0.09991447627544403	0.044309404	No	
row_52	PSMD13	7514	0.07777611911296844	0.035003375	No	
row_53	PSMB5	7601	0.06534139811992645	0.03032304	No	
row_54	ANAPC7	7820	0.037352558225393295	0.016512653	No	
row_55	CDC7	7844	0.03361235186457634	0.015505772	No	
row_56	H2BC9	7932	0.02311542257666588	0.01011883	No	
row_57	H2BC3	7938	0.02247120440006256	0.010130014	No	
row_58	PRIM2	8035	0.011210791766643524	0.0039689043	No	
row_59	CDC23	8242	-0.01306226197630167	-0.009418616	No	
row_60	PSMD1	8253	-0.014026087708771229	-0.009865311	No	
row_61	RPA2	8314	-0.019110068678855896	-0.013532373	No	
row_62	H3-3B	8536	-0.04573197290301323	-0.027413476	No	
row_63	MCM2	8596	-0.0508427619934082	-0.030533137	No	
row_64	CDT1	8930	-0.08872296661138535	-0.05114838	No	
row_65	H2BC1	9077	-0.10580082982778549	-0.059171863	No	
row_66	ANAPC11	9353	-0.13055214285850525	-0.075327374	No	
row_67	H2BC15	9355	-0.13088002800941467	-0.0734076	No	
