NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KRT5	1	18.616294860839844	0.17074582	Yes	
row_1	KRT17	6	15.619610786437988	0.31379914	Yes	
row_2	KRT6A	21	12.50509262084961	0.42761958	Yes	
row_3	KRT19	40	5.71857213973999	0.47890875	Yes	
row_4	KRT18	43	5.457706928253174	0.528854	Yes	
row_5	DSC2	158	3.5300724506378174	0.55376494	Yes	
row_6	PERP	185	3.3429043292999268	0.5827316	Yes	
row_7	ST14	204	3.28816819190979	0.6117209	Yes	
row_8	KRT8	251	3.043048143386841	0.6366242	Yes	
row_9	PRSS8	377	2.7073185443878174	0.6532644	Yes	
row_10	PKP2	458	2.528961420059204	0.67122024	Yes	
row_11	PKP3	498	2.4605395793914795	0.69123805	Yes	
row_12	DSG2	590	2.260030508041382	0.70600474	Yes	
row_13	JUP	667	2.1750428676605225	0.72097564	Yes	
row_14	FURIN	799	2.0181593894958496	0.7308989	Yes	
row_15	KRT7	1019	1.8291631937026978	0.73331493	Yes	
row_16	DSP	1333	1.6199841499328613	0.72764486	No	
row_17	PKP4	1814	1.401123046875	0.70901084	No	
row_18	SPINK5	1984	1.3395882844924927	0.710215	No	
row_19	KRT80	2356	1.2038809061050415	0.696922	No	
row_20	PPL	2703	1.1008784770965576	0.684324	No	
row_21	KRT72	2705	1.100217580795288	0.69435334	No	
row_22	CAPN1	2972	1.020026683807373	0.68626183	No	
row_23	EVPL	4552	0.6485297679901123	0.5886238	No	
row_24	KRT39	5128	0.5181407332420349	0.5556557	No	
row_25	DSG3	5579	0.4239220917224884	0.5300236	No	
row_26	DSG1	5586	0.42173993587493896	0.5334996	No	
row_27	DSG4	6178	0.29909634590148926	0.49747202	No	
row_28	KRT12	6262	0.2826021611690521	0.49461988	No	
row_29	KRT40	6660	0.21159039437770844	0.47051656	No	
row_30	DSC3	6879	0.1777385175228119	0.45784572	No	
row_31	KRT24	7048	0.14676497876644135	0.4481709	No	
row_32	TCHH	7479	0.08320759236812592	0.4207247	No	
row_33	KRT20	8100	0.0032741595059633255	0.3800803	No	
row_34	TGM5	8124	9.624446392990649E-4	0.37858027	No	
row_35	LORICRIN	8247	-0.01352387759834528	0.3707007	No	
row_36	DSC1	8822	-0.0768115445971489	0.33374882	No	
row_37	KRT38	9936	-0.17982546985149384	0.26238167	No	
row_38	LELP1	10262	-0.203634113073349	0.24292882	No	
row_39	LIPK	10349	-0.21096113324165344	0.23922253	No	
row_40	KAZN	11135	-0.26854756474494934	0.19018751	No	
row_41	LIPJ	11681	-0.31238147616386414	0.15729961	No	
row_42	TGM1	12010	-0.341810405254364	0.13891777	No	
row_43	KRT33B	12353	-0.3742344379425049	0.119914986	No	
row_44	PCSK6	12385	-0.3768158555030823	0.12133869	No	
row_45	KRT35	12795	-0.42180395126342773	0.09837691	No	
row_46	FLG	13175	-0.4691621959209442	0.077817775	No	
row_47	KRT14	13990	-0.600142240524292	0.029922744	No	
row_48	KRT10	14495	-0.7277187705039978	0.0035354781	No	
row_49	CAPNS1	14650	-0.7879908084869385	6.625892E-4	No	
row_50	KRT84	14733	-0.8292922377586365	0.0028921359	No	
row_51	KRT79	14876	-0.900151789188385	0.0018356121	No	
row_52	CASP14	14947	-0.9558727145195007	0.0060138283	No	
row_53	KLK13	15270	-1.832765817642212	0.0017056869	No	
