NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PAX8	3	18.19993782043457	0.35791063	Yes	
row_1	GATA3	26	7.4759087562561035	0.5035692	Yes	
row_2	EMX2	48	5.1507978439331055	0.6035436	Yes	
row_3	PAX2	76	4.4341721534729	0.6890249	Yes	
row_4	HOXB4	87	4.198520183563232	0.7709818	Yes	
row_5	LHX1	286	2.947510242462158	0.8160223	Yes	
row_6	HOXA6	610	2.237767457962036	0.83891857	Yes	
row_7	CTNNB1	771	2.044583559036255	0.8686792	Yes	
row_8	FGF2	1855	1.38974928855896	0.8251613	No	
row_9	NPNT	2086	1.294321060180664	0.8355793	No	
row_10	MECOM	4044	0.7625582814216614	0.7225328	No	
row_11	BMP4	6226	0.29055917263031006	0.5855424	No	
row_12	ID4	8589	-0.0502912662923336	0.4319811	No	
row_13	OSR1	12060	-0.34595176577568054	0.21173848	No	
