NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SFN	378	2.7069640159606934	0.0115453815	No	
row_1	PSMB8	550	2.341778516769409	0.03183334	No	
row_2	H2BC21	764	2.055978298187256	0.04549437	No	
row_3	TP53	911	1.9141453504562378	0.061666444	No	
row_4	PSMC6	1099	1.7669727802276611	0.07314696	No	
row_5	PSMD5	1597	1.4973036050796509	0.060523637	No	
row_6	PSME1	1735	1.4378986358642578	0.0708679	No	
row_7	YWHAB	2094	1.2898181676864624	0.06462405	No	
row_8	PSMA7	2127	1.2769713401794434	0.079730794	No	
row_9	BRCC3	2187	1.258380651473999	0.0928042	No	
row_10	YWHAH	2621	1.124043583869934	0.07937313	No	
row_11	PSMD10	2766	1.082216501235962	0.084458984	No	
row_12	PSMD12	2830	1.060996174812317	0.09460663	No	
row_13	PSMD9	3193	0.9629291892051697	0.083690695	No	
row_14	RAD50	3275	0.9397656321525574	0.09101516	No	
row_15	WRN	3842	0.8108572959899902	0.06457969	No	
row_16	RPS27A	3871	0.8046209812164307	0.07358105	No	
row_17	RPA1	4058	0.7604976892471313	0.07155563	No	
row_18	PSMA3	4198	0.7275412082672119	0.07218892	No	
row_19	PSMD3	4230	0.7202017903327942	0.07985385	No	
row_20	UBE2V2	4492	0.6633404493331909	0.07156649	No	
row_21	H2BC4	4506	0.6606408357620239	0.07961669	No	
row_22	PSMA2	4706	0.61155766248703	0.07472455	No	
row_23	HERC2	4952	0.5617523193359375	0.066123694	No	
row_24	ATM	5097	0.5240986347198486	0.063683525	No	
row_25	MRE11	5179	0.5063928365707397	0.065164104	No	
row_26	H2BC8	5446	0.45268514752388	0.053706016	No	
row_27	YWHAG	5537	0.4330442547798157	0.053603303	No	
row_28	PSMB7	5642	0.41346433758735657	0.052312225	No	
row_29	PSMB9	5729	0.3977038860321045	0.051997058	No	
row_30	MCM6	5754	0.3918360471725464	0.055696253	No	
row_31	ATR	5833	0.3763902187347412	0.05562187	No	
row_32	CHEK2	5905	0.35814425349235535	0.055763613	No	
row_33	PSME2	5938	0.3495890498161316	0.05836493	No	
row_34	PSME3	5960	0.3453294336795807	0.061635073	No	
row_35	H2BC7	5984	0.3406085669994354	0.06470951	No	
row_36	ORC1	5993	0.33887097239494324	0.06875087	No	
row_37	PSMD11	6109	0.31483933329582214	0.06540361	No	
row_38	PSMB4	6175	0.29974642395973206	0.06515402	No	
row_39	PSMB3	6211	0.2929236590862274	0.06679315	No	
row_40	MCM4	6282	0.27939167618751526	0.06593897	No	
row_41	H4C9	6324	0.27077651023864746	0.06688331	No	
row_42	MCM3	6363	0.2636706531047821	0.06792991	No	
row_43	PSMC4	6437	0.24955414235591888	0.0664753	No	
row_44	RBBP8	6675	0.20820246636867523	0.053635146	No	
row_45	PSMB1	6829	0.186793714761734	0.046052314	No	
row_46	TP53BP1	6896	0.1754356175661087	0.044060417	No	
row_47	H2BC12	6960	0.16437122225761414	0.04211739	No	
row_48	UBA52	6965	0.16307906806468964	0.044052362	No	
row_49	PSMB2	7058	0.14469291269779205	0.039929282	No	
row_50	H2BC17	7163	0.1266382485628128	0.034770455	No	
row_51	H2BC14	7253	0.11472554504871368	0.030441351	No	
row_52	H2BC13	7277	0.11130563169717789	0.030423716	No	
row_53	PSMC5	7280	0.11072257161140442	0.031784724	No	
row_54	YWHAQ	7499	0.07978704571723938	0.018467385	No	
row_55	PSMD13	7514	0.07777611911296844	0.018591832	No	
row_56	PSMB5	7601	0.06534139811992645	0.013794872	No	
row_57	CDC7	7844	0.03361235186457634	-0.0017296934	No	
row_58	WEE1	7901	0.027379680424928665	-0.0050578336	No	
row_59	CHEK1	7909	0.02650390937924385	-0.005162606	No	
row_60	H2BC9	7932	0.02311542257666588	-0.0063034315	No	
row_61	H2BC3	7938	0.02247120440006256	-0.0063305353	No	
row_62	YWHAZ	8008	0.013892862014472485	-0.010698853	No	
row_63	TOPBP1	8034	0.011304965242743492	-0.01219701	No	
row_64	RAD9A	8189	-0.006777202244848013	-0.022273323	No	
row_65	PSMD1	8253	-0.014026087708771229	-0.0262437	No	
row_66	RPA2	8314	-0.019110068678855896	-0.02994745	No	
row_67	PSMB11	8450	-0.03585822135210037	-0.03837716	No	
row_68	MCM2	8596	-0.0508427619934082	-0.047265045	No	
row_69	YWHAE	8992	-0.09567844122648239	-0.07205435	No	
row_70	H2BC1	9077	-0.10580082982778549	-0.07617368	No	
row_71	RAD9B	9219	-0.11880894750356674	-0.08388097	No	
row_72	H2BC15	9355	-0.13088002800941467	-0.091029346	No	
row_73	PSMA5	9405	-0.13578735291957855	-0.092433475	No	
row_74	BRIP1	9438	-0.13860984146595	-0.09267714	No	
row_75	BABAM1	9482	-0.1424601972103119	-0.09359515	No	
row_76	MCM8	9661	-0.1588687002658844	-0.10320514	No	
row_77	BLM	9670	-0.16001202166080475	-0.10157562	No	
row_78	PSMA4	9741	-0.16598522663116455	-0.103959054	No	
row_79	H2BC11	9935	-0.17982536554336548	-0.11427681	No	
row_80	PSMA1	9998	-0.1847991794347763	-0.11587834	No	
row_81	DNA2	10005	-0.1851266622543335	-0.11377812	No	
row_82	CDC45	10167	-0.19756962358951569	-0.121743836	No	
row_83	SEM1	10441	-0.21798206865787506	-0.13682899	No	
row_84	BARD1	10621	-0.2299063354730606	-0.14554708	No	
row_85	RPA3	10691	-0.23479785025119781	-0.14693657	No	
row_86	PSMA8	10696	-0.23523269593715668	-0.14402863	No	
row_87	RNF168	10959	-0.25480788946151733	-0.15789093	No	
row_88	ORC3	10960	-0.2548348307609558	-0.15445457	No	
row_89	RNF8	10976	-0.25644516944885254	-0.15198687	No	
row_90	H4C8	11029	-0.2597588002681732	-0.15191735	No	
row_91	UBE2N	11195	-0.27334854006767273	-0.15912531	No	
row_92	RAD1	11404	-0.2893149256706238	-0.168957	No	
row_93	MDC1	11419	-0.29111090302467346	-0.16595581	No	
row_94	ORC4	11423	-0.29134878516197205	-0.16222514	No	
row_95	ORC5	11468	-0.2949843406677246	-0.16115244	No	
row_96	PSMA6	11568	-0.30305495858192444	-0.16360223	No	
row_97	BRCA1	11623	-0.3080597221851349	-0.16301344	No	
row_98	PSME4	11821	-0.3241300880908966	-0.1716494	Yes	
row_99	H4C2	11842	-0.3257494270801544	-0.16857727	Yes	
row_100	CLSPN	11950	-0.33532407879829407	-0.1711201	Yes	
row_101	CDK1	11977	-0.3386540710926056	-0.1682701	Yes	
row_102	PSMD2	11997	-0.340554416179657	-0.1649323	Yes	
row_103	ORC6	12006	-0.34109190106391907	-0.16086099	Yes	
row_104	NBN	12009	-0.3415202796459198	-0.15638775	Yes	
row_105	PSMF1	12124	-0.35316330194473267	-0.15915221	Yes	
row_106	CDK2	12177	-0.3576436936855316	-0.15776275	Yes	
row_107	BABAM2	12201	-0.36087965965270996	-0.15441497	Yes	
row_108	CCNB2	12403	-0.3787657916545868	-0.16257827	Yes	
row_109	CDC25A	12447	-0.38398680090904236	-0.16023938	Yes	
row_110	HUS1	12468	-0.38612329959869385	-0.15635313	Yes	
row_111	CDC6	12499	-0.3885236978530884	-0.15309474	Yes	
row_112	EXO1	12646	-0.40481093525886536	-0.15727551	Yes	
row_113	RMI2	12780	-0.42003485560417175	-0.16039269	Yes	
row_114	PSMB6	12794	-0.4217317998409271	-0.1555641	Yes	
row_115	NSD2	12917	-0.43693098425865173	-0.15772717	Yes	
row_116	CCNB1	12929	-0.4381466209888458	-0.15254517	Yes	
row_117	ABRAXAS1	12947	-0.44079840183258057	-0.14772357	Yes	
row_118	RFC3	12972	-0.44394630193710327	-0.14332168	Yes	
row_119	RFC5	13006	-0.447462797164917	-0.1394666	Yes	
row_120	RFC4	13033	-0.4505583345890045	-0.1351076	Yes	
row_121	PKMYT1	13116	-0.4592058062553406	-0.13432933	Yes	
row_122	RHNO1	13130	-0.4615439176559448	-0.12896389	Yes	
row_123	ORC2	13232	-0.47655797004699707	-0.1292061	Yes	
row_124	PSMD14	13323	-0.4888875186443329	-0.12855579	Yes	
row_125	MCM10	13365	-0.49578607082366943	-0.12457727	Yes	
row_126	PSMD6	13497	-0.5152086019515991	-0.12627901	Yes	
row_127	UIMC1	13591	-0.5296985507011414	-0.12527645	Yes	
row_128	PSMC1	13713	-0.5488437414169312	-0.12586439	Yes	
row_129	PSMD4	13742	-0.5554218292236328	-0.12022339	Yes	
row_130	ATRIP	13746	-0.5559166073799133	-0.11292512	Yes	
row_131	DBF4	13794	-0.5633257627487183	-0.108431995	Yes	
row_132	PSMC3	13837	-0.5691314935684204	-0.10353047	Yes	
row_133	GTSE1	13861	-0.574630856513977	-0.09730032	Yes	
row_134	CDC25C	13881	-0.5772760510444641	-0.090770416	Yes	
row_135	UBC	13883	-0.57783043384552	-0.083044596	Yes	
row_136	UBB	14032	-0.6102981567382812	-0.08458649	Yes	
row_137	TOP3A	14088	-0.6211673617362976	-0.07984159	Yes	
row_138	H4C6	14229	-0.6548115015029907	-0.080255054	Yes	
row_139	PIAS4	14326	-0.6758078336715698	-0.07748032	Yes	
row_140	H2BC10	14442	-0.7084029912948608	-0.07552052	Yes	
row_141	RAD17	14500	-0.7309097647666931	-0.069427826	Yes	
row_142	PSMD8	14618	-0.7778221964836121	-0.06666398	Yes	
row_143	PSMD7	14705	-0.8148446083068848	-0.06135415	Yes	
row_144	H2AX	14726	-0.8251985311508179	-0.051547114	Yes	
row_145	PSMC2	14775	-0.8482388854026794	-0.043278065	Yes	
row_146	KAT5	15077	-1.0829811096191406	-0.048547674	Yes	
row_147	H3-4	15099	-1.1111270189285278	-0.034951016	Yes	
row_148	PSMB10	15103	-1.1200759410858154	-0.020045256	Yes	
row_149	MCM5	15107	-1.1249371767044067	-0.0050739422	Yes	
row_150	RFC2	15175	-1.2967422008514404	0.007988563	Yes	
