NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PAX8	3	18.19993782043457	0.23443523	Yes	
row_1	GATA3	26	7.4759087562561035	0.32937232	Yes	
row_2	EMX2	48	5.1507978439331055	0.39439985	Yes	
row_3	POU3F3	59	4.937973976135254	0.45740446	Yes	
row_4	PAX2	76	4.4341721534729	0.51352096	Yes	
row_5	HOXB4	87	4.198520183563232	0.5669926	Yes	
row_6	WNT4	235	3.135340452194214	0.5977807	Yes	
row_7	LHX1	286	2.947510242462158	0.6325034	Yes	
row_8	IRX2	355	2.7683041095733643	0.6637363	Yes	
row_9	HOXA6	610	2.237767457962036	0.6759416	Yes	
row_10	CTNNB1	771	2.044583559036255	0.6918159	Yes	
row_11	DLL1	1031	1.8219983577728271	0.6983336	Yes	
row_12	HNF1B	1053	1.8022830486297607	0.7201924	Yes	
row_13	ITGB1	1094	1.7702484130859375	0.7403932	Yes	
row_14	JAG1	1164	1.713818073272705	0.7579663	Yes	
row_15	IRX1	1562	1.5111689567565918	0.7514341	No	
row_16	FGF2	1855	1.38974928855896	0.75021684	No	
row_17	NPNT	2086	1.294321060180664	0.751832	No	
row_18	FOXC1	2453	1.1785166263580322	0.74304265	No	
row_19	HOXA11	2567	1.141717553138733	0.75035703	No	
row_20	SLIT2	3714	0.8370733857154846	0.6860551	No	
row_21	SIX2	4003	0.7726815342903137	0.6771448	No	
row_22	MECOM	4044	0.7625582814216614	0.6843546	No	
row_23	ROBO2	4798	0.5956511497497559	0.6426922	No	
row_24	GREM1	5583	0.42313602566719055	0.59677446	No	
row_25	HNF4A	5848	0.3725636899471283	0.5842785	No	
row_26	BMP4	6226	0.29055917263031006	0.5633209	No	
row_27	LFNG	7125	0.1324438452720642	0.50618553	No	
row_28	ID4	8589	-0.0502912662923336	0.41096863	No	
row_29	WT1	8776	-0.07133475691080093	0.39970034	No	
row_30	FOXC2	9268	-0.12282650172710419	0.3691103	No	
row_31	EYA1	11391	-0.28787365555763245	0.23377429	No	
row_32	ITGA8	11704	-0.31464463472366333	0.2173864	No	
row_33	OSR1	12060	-0.34595176577568054	0.19858445	No	
row_34	SIX1	13421	-0.5026179552078247	0.11594811	No	
row_35	WNT11	13597	-0.5312373042106628	0.11132964	No	
