NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLDN4	27	7.201990604400635	0.17363547	Yes	
row_1	CLDN8	82	4.280998229980469	0.27436298	Yes	
row_2	CLDN1	198	3.313613176345825	0.3475363	Yes	
row_3	PARD6G	212	3.2587289810180664	0.42605093	Yes	
row_4	CLDN7	213	3.250155210494995	0.5052079	Yes	
row_5	CRB3	218	3.2165262699127197	0.5832839	Yes	
row_6	CLDN23	304	2.9042811393737793	0.64845216	Yes	
row_7	PRKCI	551	2.3408851623535156	0.6893582	Yes	
row_8	F11R	906	1.9171124696731567	0.71287245	Yes	
row_9	CLDN3	1078	1.7852671146392822	0.7451568	Yes	
row_10	PARD6B	1472	1.5501400232315063	0.7571802	Yes	
row_11	PATJ	1610	1.4920525550842285	0.7845494	Yes	
row_12	PARD3	2541	1.1495329141616821	0.75165826	No	
row_13	CLDN20	5555	0.4276054799556732	0.5648092	No	
row_14	CLDN11	6706	0.20423559844493866	0.494492	No	
row_15	CLDN10	6884	0.17734681069850922	0.48722294	No	
row_16	CLDN12	7393	0.09445065259933472	0.45626414	No	
row_17	CLDN5	7502	0.07950041443109512	0.4511295	No	
row_18	CLDN9	10832	-0.24584148824214935	0.23916486	No	
row_19	PARD6A	11726	-0.3165842890739441	0.18840985	No	
row_20	CLDN15	12866	-0.4314401149749756	0.12434633	No	
row_21	CLDN18	13935	-0.5865026712417603	0.06870776	No	
row_22	CLDN6	14745	-0.8348431587219238	0.036074385	No	
