NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLEK2	308	2.898005247116089	0.02313612	No	
row_1	DSG2	590	2.260030508041382	0.03848833	No	
row_2	DHFR	995	1.8473601341247559	0.039543122	No	
row_3	EBP	1223	1.6833338737487793	0.04981049	No	
row_4	ANP32E	2164	1.2660139799118042	0.006805368	No	
row_5	ACACA	2819	1.0632867813110352	-0.020379767	No	
row_6	CELSR3	3113	0.9806003570556641	-0.024999699	No	
row_7	EIF4EBP1	3961	0.7819409966468811	-0.06912936	No	
row_8	MRPS15	4045	0.7625355124473572	-0.06317078	No	
row_9	SLC25A15	4086	0.7524579167366028	-0.054527804	No	
row_10	TYMS	4131	0.7422651648521423	-0.0463014	No	
row_11	BID	4727	0.6084764003753662	-0.076414384	No	
row_12	MAPK13	4764	0.6019817590713501	-0.069763534	No	
row_13	LRP8	4856	0.5838744640350342	-0.06701092	No	
row_14	DTYMK	4872	0.5799881815910339	-0.059305027	No	
row_15	COMMD8	5172	0.5081964731216431	-0.07140274	No	
row_16	PAFAH1B3	5468	0.4487481415271759	-0.08412793	No	
row_17	PAQR4	5969	0.3433310389518738	-0.11195147	No	
row_18	DPP3	6023	0.33323052525520325	-0.11045066	No	
row_19	KIF18B	6095	0.31741079688072205	-0.11037397	No	
row_20	MCM4	6282	0.27939167618751526	-0.11845049	No	
row_21	TMPO	6325	0.2707097828388214	-0.117161624	No	
row_22	HELLS	7201	0.12141966074705124	-0.17303999	No	
row_23	LSM4	7491	0.08078703284263611	-0.19088589	No	
row_24	GINS4	7684	0.05471145734190941	-0.20272641	No	
row_25	CHEK1	7909	0.02650390937924385	-0.21709992	No	
row_26	FEN1	8244	-0.0133621571585536	-0.238924	No	
row_27	FBXO5	8421	-0.03217354789376259	-0.25004733	No	
row_28	LMNB1	8523	-0.04461197555065155	-0.2560386	No	
row_29	MCM2	8596	-0.0508427619934082	-0.26002416	No	
row_30	CA2	9096	-0.10709142684936523	-0.2913234	No	
row_31	E2F1	9099	-0.10722418874502182	-0.2898478	No	
row_32	DNMT3B	9124	-0.10973483324050903	-0.28978527	No	
row_33	PCNA	9204	-0.11739768087863922	-0.29323465	No	
row_34	CCNE2	9381	-0.13361462950706482	-0.3028372	No	
row_35	POLQ	9602	-0.1534881889820099	-0.31504324	No	
row_36	SPDL1	9983	-0.18357492983341217	-0.33734885	No	
row_37	DNA2	10005	-0.1851266622543335	-0.33595824	No	
row_38	TOP2A	10076	-0.1910627782344818	-0.33770978	No	
row_39	HMMR	10148	-0.19598270952701569	-0.3394535	No	
row_40	PBK	10366	-0.2123512178659439	-0.35057926	No	
row_41	RRM2	10466	-0.21943211555480957	-0.3538178	No	
row_42	GINS1	10532	-0.2237795740365982	-0.3547491	No	
row_43	ATAD2	10554	-0.22539304196834564	-0.35275486	No	
row_44	RPA3	10691	-0.23479785025119781	-0.35820287	No	
row_45	RAD51AP1	10745	-0.23858784139156342	-0.35812092	No	
row_46	SAC3D1	10808	-0.24415303766727448	-0.358549	No	
row_47	SMC4	10886	-0.24968847632408142	-0.35988322	No	
row_48	DTL	10887	-0.24986234307289124	-0.35613737	No	
row_49	KIF15	10949	-0.25410449504852295	-0.35635033	No	
row_50	MCUB	10974	-0.25630614161491394	-0.35409045	No	
row_51	KIF2C	11039	-0.2603898346424103	-0.354407	No	
