NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LGALS9	73	4.587081432342529	0.057465497	Yes	
row_1	ATP6V0A4	77	4.382170677185059	0.11674084	Yes	
row_2	TRIM22	98	4.04094123840332	0.17027032	Yes	
row_3	MX1	121	3.8182373046875	0.22064625	Yes	
row_4	IFIH1	181	3.348565101623535	0.26222152	Yes	
row_5	TNFSF10	238	3.1143229007720947	0.30081457	Yes	
row_6	PARP9	262	3.018526315689087	0.3402717	Yes	
row_7	SAMD9L	280	2.9600701332092285	0.37932906	Yes	
row_8	IFI44L	285	2.9506096839904785	0.41911057	Yes	
row_9	HSD17B11	307	2.8989198207855225	0.45707566	Yes	
row_10	DTX3L	392	2.68664288520813	0.4880282	Yes	
row_11	CEACAM1	506	2.428398370742798	0.51357406	Yes	
row_12	IFI35	562	2.3183376789093018	0.5414301	Yes	
row_13	BST2	602	2.2459535598754883	0.56935304	Yes	
row_14	C1S	639	2.1992897987365723	0.5968395	Yes	
row_15	PPP3CA	746	2.081458568572998	0.618136	Yes	
row_16	SSPN	758	2.0647451877593994	0.64543605	Yes	
row_17	OAS1	796	2.020977020263672	0.6704369	Yes	
row_18	CD74	874	1.946638584136963	0.69180566	Yes	
row_19	SERPING1	933	1.8929725885391235	0.7136921	Yes	
row_20	DDX60	1055	1.7995980978012085	0.73017967	Yes	
row_21	RNF213	1490	1.54312002658844	0.7226592	Yes	
row_22	LAP3	1636	1.4791221618652344	0.7332235	Yes	
row_23	CFH	2782	1.0770190954208374	0.67274827	No	
row_24	HLA-DRB1	3560	0.8697264790534973	0.63359416	No	
row_25	UBE2L6	3674	0.8455896973609924	0.6376592	No	
row_26	GIMAP7	4447	0.6730263233184814	0.5961635	No	
row_27	STAT1	4790	0.597023069858551	0.58183676	No	
row_28	CXCL10	4826	0.5900567173957825	0.58754927	No	
row_29	SAMHD1	4850	0.5854842662811279	0.5939867	No	
row_30	VAMP5	4954	0.5613414645195007	0.5948499	No	
row_31	RABL3	5541	0.4320625364780426	0.56228226	No	
row_32	BATF2	5631	0.4156237244606018	0.56208605	No	
row_33	RAC3	6207	0.29340144991874695	0.52835804	No	
row_34	PARP14	6518	0.23493163287639618	0.51121587	No	
row_35	WARS1	6950	0.16658680140972137	0.48521066	No	
row_36	PLAAT4	7207	0.12076280266046524	0.4700605	No	
row_37	LIPG	7329	0.10405883193016052	0.46353725	No	
row_38	IL18BP	7743	0.04841146618127823	0.43710876	No	
row_39	GBP1	8388	-0.027354270219802856	0.39524493	No	
row_40	CD274	8400	-0.029334498569369316	0.39492163	No	
row_41	PLA1A	8879	-0.08454257249832153	0.3647206	No	
row_42	CX3CL1	9995	-0.18455633521080017	0.29410097	No	
row_43	SEPTIN4	10428	-0.21685169637203217	0.26871237	No	
row_44	IL23A	11695	-0.3134037256240845	0.1899384	No	
row_45	ETV7	12161	-0.35623517632484436	0.16427721	No	
row_46	ST8SIA4	14371	-0.6879279017448425	0.028741883	No	
row_47	SLC25A28	14564	-0.7572124004364014	0.026426483	No	
row_48	NLRC5	15242	-1.5852649211883545	0.0035414468	No	
