NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TNK1	164	3.4430296421051025	0.02678228	No	
row_1	PLEK2	308	2.898005247116089	0.04899738	No	
row_2	TGFB2	552	2.338977336883545	0.058501832	No	
row_3	CPT1A	555	2.3352432250976562	0.08388044	No	
row_4	PGK1	607	2.2412004470825195	0.104995884	No	
row_5	GDA	714	2.1159684658050537	0.12111123	No	
row_6	DHFR	995	1.8473601341247559	0.12280178	No	
row_7	F3	1024	1.8245956897735596	0.140885	No	
row_8	PHLDA1	1371	1.5991230010986328	0.1355053	No	
row_9	CCND1	1567	1.5098652839660645	0.13912216	No	
row_10	MMP14	1589	1.4996373653411865	0.15411772	No	
row_11	ARPC1B	1717	1.447830319404602	0.16154741	No	
row_12	FGF2	1855	1.38974928855896	0.16768223	No	
row_13	YWHAH	2621	1.124043583869934	0.12944312	No	
row_14	SMIM10L1	2751	1.0865020751953125	0.13279352	No	
row_15	TUBB	2883	1.0428621768951416	0.13553509	No	
row_16	RRS1	3059	0.9933255314826965	0.1348299	No	
row_17	CMC2	3293	0.9356282949447632	0.12966424	No	
row_18	STEAP1	3297	0.935199499130249	0.13968244	No	
row_19	ENOPH1	3474	0.8919793963432312	0.13780408	No	
row_20	FJX1	3482	0.8896636366844177	0.14706068	No	
row_21	TNFRSF12A	3564	0.8680728673934937	0.15119469	No	
row_22	MBOAT7	3886	0.800128161907196	0.13873754	No	
row_23	ODC1	3888	0.7996209263801575	0.14740673	No	
row_24	SAPCD2	3910	0.7930518388748169	0.15468341	No	
row_25	GGCT	4124	0.7440199851989746	0.14874533	No	
row_26	TYMS	4131	0.7422651648521423	0.15645777	No	
row_27	FHL2	4313	0.7033364176750183	0.15218844	No	
row_28	PRIM1	4478	0.6652151942253113	0.1486253	No	
row_29	TIMM10	4588	0.6394673585891724	0.14841293	No	
row_30	LRP8	4856	0.5838744640350342	0.13715939	No	
row_31	TFDP1	4892	0.575706958770752	0.14113723	No	
row_32	IDH2	5343	0.474393367767334	0.1166029	No	
row_33	POLR3K	5432	0.4563453197479248	0.115776844	No	
row_34	MCM6	5754	0.3918360471725464	0.09885943	No	
row_35	MT2A	5764	0.3897508680820465	0.10252281	No	
row_36	PHF19	5779	0.3859991133213043	0.10581503	No	
row_37	ENO1	6181	0.29857152700424194	0.0825958	No	
row_38	MCM4	6282	0.27939167618751526	0.07904422	No	
row_39	TMPO	6325	0.2707097828388214	0.079227954	No	
row_40	DCK	6336	0.2688122093677521	0.081504144	No	
row_41	PLAUR	6361	0.264080673456192	0.08280413	No	
row_42	MCM3	6363	0.2636706531047821	0.08561848	No	
row_43	YEATS4	6409	0.254753440618515	0.08542979	No	
row_44	BRIX1	6500	0.23753970861434937	0.082081385	No	
row_45	MSH2	6553	0.2284548282623291	0.08114314	No	
row_46	SDF2L1	6697	0.2057187706232071	0.07394715	No	
row_47	YRDC	6813	0.18971729278564453	0.06842539	No	
row_48	BCL2L11	7083	0.14077228307724	0.05219923	No	
row_49	HILPDA	7184	0.12388388812541962	0.046948854	No	
row_50	HELLS	7201	0.12141966074705124	0.047218673	No	
row_51	VEGFC	7657	0.05881734937429428	0.017814318	No	
row_52	DSCC1	7680	0.055229105055332184	0.016964836	No	
row_53	ENC1	7688	0.05412257835268974	0.017093822	No	
row_54	CRLF3	7700	0.053018324077129364	0.016946597	No	
row_55	CDC7	7844	0.03361235186457634	0.007870478	No	
row_56	ANLN	7939	0.022122325375676155	0.001904658	No	
row_57	COX17	8323	-0.02017979696393013	-0.02316711	No	
row_58	FBXO5	8421	-0.03217354789376259	-0.029221239	No	
row_59	MCM2	8596	-0.0508427619934082	-0.04015628	No	
row_60	PLCG2	8621	-0.05388709530234337	-0.041152496	No	
row_61	STAMBPL1	8713	-0.06402457505464554	-0.046462458	No	
row_62	E2F1	9099	-0.10722418874502182	-0.070715405	No	
row_63	NUP155	9105	-0.10806872695684433	-0.069865026	No	
row_64	PCNA	9204	-0.11739768087863922	-0.07505419	No	
row_65	KNTC1	9571	-0.15094727277755737	-0.09757479	No	
row_66	CDCA7	9576	-0.1516428291797638	-0.09618236	No	
row_67	SERPINE2	9628	-0.15565228462219238	-0.097849876	No	
row_68	BLM	9670	-0.16001202166080475	-0.0988094	No	
row_69	SRXN1	9705	-0.16284149885177612	-0.099275745	No	
row_70	NT5E	9786	-0.16881857812404633	-0.1027145	No	
row_71	FBXO41	10038	-0.18798866868019104	-0.11723619	No	
row_72	TOP2A	10076	-0.1910627782344818	-0.11759236	No	
row_73	HMMR	10148	-0.19598270952701569	-0.12014004	No	
row_74	CDC45	10167	-0.19756962358951569	-0.11917041	No	
row_75	FOSL1	10426	-0.21657750010490417	-0.13384205	No	
row_76	RRM2	10466	-0.21943211555480957	-0.13402037	No	
row_77	PLK4	10601	-0.22877174615859985	-0.1403702	No	
row_78	BARD1	10621	-0.2299063354730606	-0.13911337	No	
row_79	EIF5A2	10775	-0.24068644642829895	-0.14658773	No	
row_80	TUBA8	10820	-0.24516893923282623	-0.14681509	No	
row_81	DTL	10887	-0.24986234307289124	-0.14844398	No	
row_82	BUB1B	11074	-0.2629077136516571	-0.15785484	No	
row_83	RAD51B	11223	-0.2747878432273865	-0.1646265	No	
row_84	FABP5	11228	-0.27535709738731384	-0.16188258	No	
row_85	CENPE	11467	-0.2948545515537262	-0.17437837	No	
row_86	ARPC5L	11606	-0.3060292601585388	-0.18014835	No	
row_87	LRRC8C	11613	-0.30669817328453064	-0.17719415	No	
row_88	BRCA1	11623	-0.3080597221851349	-0.17442317	No	
row_89	CENPA	11674	-0.31177157163619995	-0.17431916	No	
row_90	BUB1	11741	-0.31773415207862854	-0.17520662	No	
row_91	H4C2	11842	-0.3257494270801544	-0.17825179	No	
row_92	UBE2T	11860	-0.3277643322944641	-0.17579384	No	
row_93	UGGT2	11934	-0.3343360722064972	-0.1769622	No	
row_94	CDK1	11977	-0.3386540710926056	-0.17603622	No	
row_95	ORC6	12006	-0.34109190106391907	-0.17415911	No	
row_96	TUBG1	12109	-0.3513886034488678	-0.17705625	No	
row_97	ECT2	12130	-0.35334858298301697	-0.17451695	No	
row_98	CDK2	12177	-0.3576436936855316	-0.17364767	No	
row_99	AGAP1	12297	-0.3687805235385895	-0.17747746	No	
row_100	ASPM	12407	-0.3790583908557892	-0.1805346	Yes	
row_101	CDCA5	12471	-0.386545330286026	-0.18047222	Yes	
row_102	STIL	12473	-0.3866683840751648	-0.17631422	Yes	
row_103	MYBL1	12483	-0.38760897517204285	-0.17267424	Yes	
row_104	CDC6	12499	-0.3885236978530884	-0.16942048	Yes	
row_105	ZNF367	12564	-0.3960387408733368	-0.16932045	Yes	
row_106	CRY1	12632	-0.40264806151390076	-0.16934632	Yes	
row_107	EXO1	12646	-0.40481093525886536	-0.16578257	Yes	
row_108	GMNN	12683	-0.40764424204826355	-0.1637067	Yes	
row_109	CCT4	12768	-0.41827377676963806	-0.16468452	Yes	
row_110	MSANTD3	12786	-0.42058441042900085	-0.1612126	Yes	
row_111	CEP55	12791	-0.4214918613433838	-0.15687229	Yes	
row_112	RBM14	12861	-0.43128421902656555	-0.1567174	Yes	
row_113	KIF11	12864	-0.43140050768852234	-0.15213677	Yes	
row_114	CCNB1	12929	-0.4381466209888458	-0.15157674	Yes	
row_115	RFC3	12972	-0.44394630193710327	-0.14950055	Yes	
row_116	RFC5	13006	-0.447462797164917	-0.14679159	Yes	
