NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TXN	1630	1.4818572998046875	-0.08454845	No	
row_1	PSMA7	2127	1.2769713401794434	-0.09744319	No	
row_2	ITCH	2236	1.24331796169281	-0.08525525	No	
row_3	PSMD12	2830	1.060996174812317	-0.10790659	No	
row_4	TUBA1C	2927	1.0321099758148193	-0.09820789	No	
row_5	SNRPG	3064	0.9923293590545654	-0.09176694	No	
row_6	CMC2	3293	0.9356282949447632	-0.09227826	No	
row_7	XPOT	3477	0.8911768794059753	-0.09051043	No	
row_8	TIMM10	4588	0.6394673585891724	-0.15382898	No	
row_9	MRPL15	5117	0.5206540822982788	-0.18058507	No	
row_10	SHMT2	5617	0.4176613390445709	-0.20702738	No	
row_11	MCM6	5754	0.3918360471725464	-0.20991524	No	
row_12	KIF18B	6095	0.31741079688072205	-0.22742198	No	
row_13	MCM4	6282	0.27939167618751526	-0.23535636	No	
row_14	TMPO	6325	0.2707097828388214	-0.23392254	No	
row_15	MCM3	6363	0.2636706531047821	-0.23226812	No	
row_16	DONSON	6389	0.259596049785614	-0.22988507	No	
row_17	SLC7A5	6448	0.24638189375400543	-0.2298851	No	
row_18	NME1	6737	0.20094148814678192	-0.24576956	No	
row_19	RAB5IF	6741	0.20057062804698944	-0.24285163	No	
row_20	DNAJC9	7132	0.13171935081481934	-0.26654282	No	
row_21	NUTF2	7314	0.10624045878648758	-0.27683717	No	
row_22	SLC52A2	7531	0.07593277096748352	-0.28991213	No	
row_23	DSCC1	7680	0.055229105055332184	-0.29882118	No	
row_24	CHEK1	7909	0.02650390937924385	-0.31345597	No	
row_25	POLR2K	8012	0.013427727855741978	-0.3199787	No	
row_26	FEN1	8244	-0.0133621571585536	-0.33501562	No	
row_27	FBXO5	8421	-0.03217354789376259	-0.34613067	No	
row_28	HCCS	8517	-0.04383194446563721	-0.3517191	No	
row_29	LMNB1	8523	-0.04461197555065155	-0.35135603	No	
row_30	MCM2	8596	-0.0508427619934082	-0.3553177	No	
row_31	E2F1	9099	-0.10722418874502182	-0.3867807	No	
row_32	HMGB3	9180	-0.1155046820640564	-0.3902658	No	
row_33	CCNE2	9381	-0.13361462950706482	-0.40138876	No	
row_34	NUP93	9401	-0.1354309469461441	-0.40053868	No	
row_35	NCAPG2	9435	-0.13820019364356995	-0.4005695	No	
row_36	POLQ	9602	-0.1534881889820099	-0.40913996	No	
row_37	BLM	9670	-0.16001202166080475	-0.41107568	No	
row_38	BYSL	9743	-0.1661815643310547	-0.41324556	No	
row_39	RAD54B	9975	-0.18290260434150696	-0.42564863	No	
row_40	TOP2A	10076	-0.1910627782344818	-0.42927977	No	
row_41	HMMR	10148	-0.19598270952701569	-0.4309207	No	
row_42	CDC45	10167	-0.19756962358951569	-0.42903927	No	
row_43	GMPS	10368	-0.21241648495197296	-0.43893805	No	
row_44	HMCES	10460	-0.21907052397727966	-0.44154012	No	
row_45	MIS18A	10464	-0.219308003783226	-0.43833113	No	
row_46	RRM2	10466	-0.21943211555480957	-0.43498817	No	
row_47	GINS1	10532	-0.2237795740365982	-0.4358013	No	
row_48	TOMM70	10537	-0.22415180504322052	-0.432583	No	
row_49	MRPL12	10680	-0.23396432399749756	-0.4383194	No	
row_50	KIF15	10949	-0.25410449504852295	-0.4520581	No	
row_51	KIF2C	11039	-0.2603898346424103	-0.4538863	No	
row_52	BUB1B	11074	-0.2629077136516571	-0.45204574	No	
row_53	PARPBP	11187	-0.2727649211883545	-0.45519954	No	
row_54	UBE2N	11195	-0.27334854006767273	-0.45141497	No	
row_55	NCAPG	11276	-0.2793451249599457	-0.45235476	No	
row_56	CENPE	11467	-0.2948545515537262	-0.4603129	No	
row_57	CDKN3	11665	-0.31106001138687134	-0.46848124	Yes	
row_58	CENPA	11674	-0.31177157163619995	-0.46416575	Yes	
row_59	BUB1	11741	-0.31773415207862854	-0.46358523	Yes	
row_60	KIF14	11805	-0.3230268359184265	-0.46272454	Yes	
row_61	H4C2	11842	-0.3257494270801544	-0.4600397	Yes	
row_62	CDK1	11977	-0.3386540710926056	-0.46362177	Yes	
row_63	OIP5	12084	-0.3490259051322937	-0.46519488	Yes	
row_64	ECT2	12130	-0.35334858298301697	-0.46267524	Yes	
row_65	CDK2	12177	-0.3576436936855316	-0.46015486	Yes	
row_66	TRIP13	12181	-0.3584594428539276	-0.45478407	Yes	
row_67	TTK	12280	-0.36766383051872253	-0.4555397	Yes	
row_68	CENPN	12337	-0.37219730019569397	-0.45345315	Yes	
row_69	E2F8	12376	-0.3761523365974426	-0.4501173	Yes	
row_70	CCNB2	12403	-0.3787657916545868	-0.44594893	Yes	
row_71	ASPM	12407	-0.3790583908557892	-0.44025815	Yes	
row_72	TXNRD1	12415	-0.38058629631996155	-0.4348076	Yes	
row_73	PDSS1	12418	-0.3808917999267578	-0.42902234	Yes	
row_74	CDC25A	12447	-0.38398680090904236	-0.42490482	Yes	
row_75	STIL	12473	-0.3866683840751648	-0.4205477	Yes	
row_76	SPAG5	12590	-0.3985064625740051	-0.42201203	Yes	
row_77	RACGAP1	12624	-0.4020022451877594	-0.4179446	Yes	
row_78	EXO1	12646	-0.40481093525886536	-0.41304165	Yes	
row_79	BIRC5	12719	-0.41085100173950195	-0.4114105	Yes	
row_80	CEP55	12791	-0.4214918613433838	-0.40954807	Yes	
row_81	KIF11	12864	-0.43140050768852234	-0.40759772	Yes	
row_82	TIMELESS	12881	-0.43287691473960876	-0.40192875	Yes	
row_83	KPNA2	12889	-0.43385836482048035	-0.39565063	Yes	
row_84	CCNB1	12929	-0.4381466209888458	-0.39141765	Yes	
row_85	NEK2	12937	-0.4392015337944031	-0.38505653	Yes	
row_86	RNASEH2A	12977	-0.44431644678115845	-0.3807277	Yes	
row_87	VRK1	12991	-0.44595402479171753	-0.3746576	Yes	
row_88	CENPF	12995	-0.4462622106075287	-0.3679228	Yes	
row_89	RFC4	13033	-0.4505583345890045	-0.36336502	Yes	
row_90	NDC80	13091	-0.45650947093963623	-0.36003467	Yes	
row_91	PKMYT1	13116	-0.4592058062553406	-0.35448465	Yes	
row_92	NUDT1	13121	-0.45969146490097046	-0.34760723	Yes	
row_93	FOXM1	13136	-0.4638662338256836	-0.34132484	Yes	
row_94	KIFC1	13192	-0.4713251292705536	-0.33763236	Yes	
row_95	MARS1	13209	-0.4734867513179779	-0.3313325	Yes	
row_96	EZH2	13211	-0.4736044108867645	-0.32404095	Yes	
row_97	CDC20	13363	-0.4951968789100647	-0.32631296	Yes	
row_98	MCM10	13365	-0.49578607082366943	-0.3186768	Yes	
row_99	TPX2	13461	-0.5101861357688904	-0.31702033	Yes	
row_100	H2AZ2	13468	-0.511433482170105	-0.30947104	Yes	
row_101	ZWINT	13524	-0.5172569155693054	-0.30506498	Yes	
row_102	KIF20A	13534	-0.518761932849884	-0.29759985	Yes	
row_103	PRC1	13550	-0.5223422646522522	-0.29047504	Yes	
row_104	TACC3	13561	-0.5240463614463806	-0.2829938	Yes	
row_105	CCT5	13563	-0.5241885781288147	-0.27491638	Yes	
row_106	KIF4A	13622	-0.5343038439750671	-0.27044347	Yes	
row_107	DDX39A	13623	-0.5343759655952454	-0.2621418	Yes	
row_108	ORMDL2	13651	-0.5392026901245117	-0.255547	Yes	
row_109	CCNA2	13658	-0.5397732853889465	-0.24755745	Yes	
row_110	STMN1	13695	-0.5458753705024719	-0.2414529	Yes	
row_111	JPT1	13707	-0.5471888184547424	-0.23367813	Yes	
row_112	RAD51	13708	-0.5474697351455688	-0.22517306	Yes	
row_113	AURKA	13711	-0.5487476587295532	-0.21678013	Yes	
