NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KRT5	1	18.616294860839844	0.1380058	Yes	
row_1	KRT17	6	15.619610786437988	0.25358886	Yes	
row_2	EHF	24	7.57856559753418	0.3086793	Yes	
row_3	CDH1	42	5.616623401641846	0.34921858	Yes	
row_4	SFRP1	54	5.001157283782959	0.38558757	Yes	
row_5	SERPINA1	109	3.9241490364074707	0.411142	Yes	
row_6	MPPED2	166	3.419044017791748	0.43281874	Yes	
row_7	WLS	174	3.381314754486084	0.45743677	Yes	
row_8	PERP	185	3.3429043292999268	0.48157272	Yes	
row_9	BHLHE41	191	3.330237865447998	0.5059434	Yes	
row_10	CNN1	211	3.2620012760162354	0.5288877	Yes	
row_11	ADAMTS5	347	2.7982871532440186	0.5407672	Yes	
row_12	ITGA2	364	2.7487452030181885	0.56010205	Yes	
row_13	ANXA3	393	2.685607671737671	0.5781797	Yes	
row_14	DERA	502	2.450111150741577	0.5892518	Yes	
row_15	FMO5	567	2.305466890335083	0.6021436	Yes	
row_16	TRIM29	692	2.140805244445801	0.60986984	Yes	
row_17	NTRK2	707	2.12081241607666	0.62467897	Yes	
row_18	MYH11	752	2.0708115100860596	0.6371451	Yes	
row_19	CYP2J2	1039	1.8096309900283813	0.63176566	Yes	
row_20	GPM6B	1109	1.7619320154190063	0.6402975	Yes	
row_21	PDK4	1156	1.7196950912475586	0.650028	Yes	
row_22	CRYZ	1183	1.7017803192138672	0.6609404	Yes	
row_23	CHL1	1329	1.6222118139266968	0.6634399	Yes	
row_24	ZBTB16	1467	1.5556423664093018	0.66597164	Yes	
row_25	THRB	1487	1.5439081192016602	0.6761733	Yes	
row_26	EGFR	1513	1.5331053733825684	0.6859005	Yes	
row_27	MYLK	1613	1.4911421537399292	0.6904518	Yes	
row_28	ACTA2	1650	1.471353530883789	0.69899786	Yes	
row_29	RAB1A	1850	1.3915481567382812	0.6962368	Yes	
row_30	APLP2	1860	1.3877838850021362	0.7059379	Yes	
row_31	LAMB3	1930	1.363534927368164	0.71151495	Yes	
row_32	IL20RA	2390	1.1940577030181885	0.6901974	No	
row_33	SGK3	2393	1.1933610439300537	0.69891673	No	
row_34	CD36	2596	1.1314594745635986	0.69402945	No	
row_35	PGR	3061	0.9928843975067139	0.6708911	No	
row_36	SORL1	3144	0.974486768245697	0.6727281	No	
row_37	RYR3	3227	0.9553784728050232	0.6744234	No	
row_38	TRIM2	3469	0.8933632969856262	0.66520643	No	
row_39	CYP4X1	3990	0.7755810022354126	0.63677514	No	
row_40	VPS35	4010	0.7711694240570068	0.64124566	No	
row_41	PI15	4056	0.7606581449508667	0.64392906	No	
row_42	MGST1	4248	0.7168187499046326	0.6366896	No	
row_43	PAWR	4598	0.6361849904060364	0.6184656	No	
row_44	SYNM	4697	0.6138583421707153	0.61657614	No	
row_45	KCTD18	5255	0.488933801651001	0.5835866	No	
row_46	PPP4R4	5898	0.36104074120521545	0.54406077	No	
row_47	IL17RB	6007	0.33612170815467834	0.53945404	No	
row_48	FHOD3	6327	0.2704086899757385	0.5204893	No	
row_49	N4BP2L1	6464	0.24309736490249634	0.513352	No	
row_50	LYPD6	6595	0.22054840624332428	0.50644183	No	
row_51	DST	7063	0.14443470537662506	0.47681358	No	
row_52	TM4SF18	7104	0.13580556213855743	0.47519132	No	
row_53	CNOT7	7242	0.11603745073080063	0.46704587	No	
row_54	SMAD2	7768	0.04524823650717735	0.43286926	No	
row_55	PPP6C	7962	0.019228054210543633	0.4203245	No	
row_56	ISM1	8077	0.006161938887089491	0.41287613	No	
row_57	PTK2	8340	-0.02187166176736355	0.3958151	No	
row_58	ID4	8589	-0.0502912662923336	0.37988517	No	
row_59	CHPT1	8606	-0.052216652780771255	0.37922063	No	
row_60	PAPOLA	8849	-0.08023189008235931	0.36390722	No	
row_61	CA2	9096	-0.10709142684936523	0.34853002	No	
row_62	FAM76B	9108	-0.10854720324277878	0.34861198	No	
row_63	STC2	9126	-0.10980867594480515	0.34830886	No	
row_64	GRIA2	9745	-0.16647963225841522	0.30891776	No	
row_65	OXTR	9991	-0.1841549426317215	0.2941779	No	
row_66	MEX3C	10094	-0.1923065036535263	0.28889892	No	
row_67	CGNL1	10224	-0.2014656662940979	0.28191298	No	
row_68	CCPG1	10388	-0.21366679668426514	0.27278247	No	
row_69	ESD	10492	-0.22116079926490784	0.26765177	No	
row_70	MYBPC1	10503	-0.22194896638393402	0.26864052	No	
row_71	FAM3B	10596	-0.2284790426492691	0.26428723	No	
row_72	FBXO3	10725	-0.23770225048065186	0.2576358	No	
row_73	TOM1L1	10863	-0.24788737297058105	0.25046825	No	
row_74	DMD	11280	-0.27960965037345886	0.2251952	No	
row_75	HSDL2	11316	-0.28200656175613403	0.22498594	No	
row_76	CYB5R2	11487	-0.29606878757476807	0.21600641	No	
row_77	AMDHD1	11559	-0.3025168180465698	0.21358272	No	
row_78	CLIC6	12360	-0.3747357726097107	0.16377196	No	
row_79	TULP4	12508	-0.38909560441970825	0.15699434	No	
row_80	KBTBD7	12870	-0.43195512890815735	0.13646676	No	
row_81	HAUS1	13726	-0.5526478886604309	0.08435996	No	
row_82	KRT14	13990	-0.600142240524292	0.07152205	No	
row_83	CPB1	14408	-0.6989332437515259	0.04929326	No	
row_84	BORCS7	15146	-1.2156333923339844	0.009860659	No	
