NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CTNNAL1	894	1.9339553117752075	-0.033621017	No	
row_1	DHFR	995	1.8473601341247559	-0.01595975	No	
row_2	TLCD5	1030	1.8225452899932861	0.0057328953	No	
row_3	UGGT1	1216	1.6868400573730469	0.015674217	No	
row_4	RHBDL2	1465	1.55609929561615	0.01973915	No	
row_5	SURF4	1643	1.4749529361724854	0.027425703	No	
row_6	IPO7	1835	1.3960192203521729	0.033151265	No	
row_7	RBMX	1883	1.3805716037750244	0.04818077	No	
row_8	FERMT2	2076	1.2968401908874512	0.052537695	No	
row_9	UBFD1	2160	1.2667217254638672	0.063695185	No	
row_10	SSR3	2443	1.1807525157928467	0.060585644	No	
row_11	VMA21	2505	1.159922480583191	0.07179287	No	
row_12	TARS1	2519	1.1554926633834839	0.08611086	No	
row_13	DDX18	2671	1.1090399026870728	0.09070802	No	
row_14	KIRREL1	2851	1.052681565284729	0.09271642	No	
row_15	SNRPG	3064	0.9923293590545654	0.091753505	No	
row_16	HTRA2	3158	0.9714751243591309	0.09837303	No	
row_17	PAICS	3295	0.9355121850967407	0.101681374	No	
row_18	OLA1	3308	0.9326491951942444	0.11313856	No	
row_19	ARF4	3333	0.9267407655715942	0.1237259	No	
row_20	HSPD1	3460	0.897555947303772	0.12719592	No	
row_21	RBM33	3500	0.8837390542030334	0.13622819	No	
row_22	TYMS	4131	0.7422651648521423	0.104384705	No	
row_23	HSPA5	4780	0.5981532335281372	0.0694601	No	
row_24	PWP1	4803	0.5950949788093567	0.07582365	No	
row_25	DTYMK	4872	0.5799881815910339	0.07895187	No	
row_26	SKA2	4923	0.56847083568573	0.08311719	No	
row_27	PHF14	5326	0.4780184328556061	0.06285558	No	
row_28	XPO1	5337	0.4750806391239166	0.06843509	No	
row_29	CDON	5518	0.43603193759918213	0.062278394	No	
row_30	TRUB2	5519	0.4357796013355255	0.068001926	No	
row_31	MCM6	5754	0.3918360471725464	0.057699695	No	
row_32	GJC1	5772	0.3879232406616211	0.061672345	No	
row_33	PRPF38B	5782	0.3854314386844635	0.06614043	No	
row_34	CMSS1	6063	0.3233233094215393	0.05190145	No	
row_35	KIF18B	6095	0.31741079688072205	0.054023713	No	
row_36	MCM4	6282	0.27939167618751526	0.045413584	No	
row_37	IWS1	6301	0.27592411637306213	0.047849216	No	
row_38	NUDCD1	6371	0.2625191807746887	0.046741787	No	
row_39	DONSON	6389	0.259596049785614	0.04902899	No	
row_40	CNN3	6598	0.22027435898780823	0.038189977	No	
row_41	NME1	6737	0.20094148814678192	0.03171843	No	
row_42	KDELR2	6775	0.1959243267774582	0.03184897	No	
row_43	CLASP1	6811	0.19053833186626434	0.032040816	No	
row_44	NEIL3	7109	0.13510704040527344	0.014207467	No	
row_45	DSCC1	7680	0.055229105055332184	-0.022698367	No	
row_46	ENY2	7750	0.04799625277519226	-0.026623342	No	
row_47	MAP4K4	7864	0.03149913623929024	-0.033669855	No	
row_48	CHEK1	7909	0.02650390937924385	-0.03622662	No	
row_49	ANLN	7939	0.022122325375676155	-0.037850633	No	
row_50	GEMIN6	7997	0.014698751270771027	-0.041420702	No	
row_51	PRIM2	8035	0.011210791766643524	-0.04371619	No	
row_52	MSH6	8088	0.005087691359221935	-0.04708239	No	
row_53	RAD54L	8264	-0.015118268318474293	-0.05843727	No	
row_54	DCBLD2	8289	-0.01746940053999424	-0.0597923	No	
row_55	GINS2	8404	-0.029825257137417793	-0.066926815	No	
row_56	PLEKHG2	8901	-0.0860222801566124	-0.09854276	No	
row_57	PCNA	9204	-0.11739768087863922	-0.1169388	No	
row_58	TAF1A	9227	-0.11939185857772827	-0.11682314	No	
row_59	NCAPG2	9435	-0.13820019364356995	-0.12867409	No	
row_60	KNTC1	9571	-0.15094727277755737	-0.1356042	No	
row_61	RSRC1	9581	-0.15209081768989563	-0.13420083	No	
row_62	DPH3	9864	-0.1745157241821289	-0.15052629	No	
row_63	TOP2A	10076	-0.1910627782344818	-0.16194701	No	
row_64	CDC45	10167	-0.19756962358951569	-0.1652939	No	
row_65	GMPS	10368	-0.21241648495197296	-0.17570795	No	
row_66	RRM2	10466	-0.21943211555480957	-0.17922984	No	
row_67	MRPS10	10509	-0.22220952808856964	-0.17908417	No	
row_68	ATAD2	10554	-0.22539304196834564	-0.17902872	No	
row_69	RPA3	10691	-0.23479785025119781	-0.18492356	No	
row_70	OGG1	10700	-0.23583385348320007	-0.18235427	No	
row_71	KIF2C	11039	-0.2603898346424103	-0.20124897	No	
row_72	PARPBP	11187	-0.2727649211883545	-0.20737137	No	
row_73	TK1	11227	-0.2753504812717438	-0.20632967	No	
row_74	NCAPG	11276	-0.2793451249599457	-0.2058297	No	
row_75	CHTOP	11312	-0.2816145122051239	-0.20444167	No	
row_76	GPN3	11426	-0.2915451228618622	-0.20807274	No	
row_77	GLRX2	11567	-0.30296754837036133	-0.2133363	Yes	
row_78	SPC25	11589	-0.3047841191291809	-0.21071969	Yes	
row_79	SGO2	11662	-0.3108423054218292	-0.2113905	Yes	
row_80	CDKN3	11665	-0.31106001138687134	-0.20743708	Yes	
row_81	CENPA	11674	-0.31177157163619995	-0.20387043	Yes	
row_82	BUB1	11741	-0.31773415207862854	-0.20405461	Yes	
row_83	PCLAF	11808	-0.32313305139541626	-0.20416787	Yes	
row_84	IMMT	11830	-0.32494717836380005	-0.20128644	Yes	
row_85	UBE2T	11860	-0.3277643322944641	-0.19889614	Yes	
row_86	KNSTRN	11936	-0.33450573682785034	-0.19945422	Yes	
row_87	SRSF10	11948	-0.3351938724517822	-0.195778	Yes	
row_88	CDK1	11977	-0.3386540710926056	-0.19317867	Yes	
row_89	ECT2	12130	-0.35334858298301697	-0.19857277	Yes	
row_90	CREM	12315	-0.369942307472229	-0.20586157	Yes	
row_91	NUDT4	12316	-0.3699851632118225	-0.20100218	Yes	
row_92	NCBP1	12325	-0.3708500862121582	-0.1966596	Yes	
row_93	FAM98A	12326	-0.37092825770378113	-0.19178782	Yes	
row_94	CENPN	12337	-0.37219730019569397	-0.18755957	Yes	
row_95	CCNB2	12403	-0.3787657916545868	-0.18687615	Yes	
row_96	ASPM	12407	-0.3790583908557892	-0.18209565	Yes	
row_97	CDCA5	12471	-0.386545330286026	-0.181178	Yes	
row_98	SMC2	12472	-0.38663560152053833	-0.17609993	Yes	
row_99	SRP19	12496	-0.3883717954158783	-0.17251751	Yes	
row_100	CDC6	12499	-0.3885236978530884	-0.16754667	Yes	
row_101	SMARCA5	12523	-0.39064571261405945	-0.1639344	Yes	
row_102	ZNF367	12564	-0.3960387408733368	-0.1613736	Yes	
row_103	SPAG5	12590	-0.3985064625740051	-0.15779011	Yes	
row_104	RACGAP1	12624	-0.4020022451877594	-0.15468886	Yes	
row_105	NUF2	12643	-0.40435829758644104	-0.15056637	Yes	
row_106	EXO1	12646	-0.40481093525886536	-0.14538161	Yes	
row_107	GMNN	12683	-0.40764424204826355	-0.14240433	Yes	
row_108	BIRC5	12719	-0.41085100173950195	-0.1393189	Yes	
row_109	CCT4	12768	-0.41827377676963806	-0.13699423	Yes	
row_110	MSANTD3	12786	-0.42058441042900085	-0.13259262	Yes	
row_111	CEP55	12791	-0.4214918613433838	-0.12732081	Yes	
row_112	KIF11	12864	-0.43140050768852234	-0.12640822	Yes	
row_113	TIMELESS	12881	-0.43287691473960876	-0.12177913	Yes	
row_114	KPNA2	12889	-0.43385836482048035	-0.116542965	Yes	
row_115	NSD2	12917	-0.43693098425865173	-0.11258685	Yes	
row_116	CCNB1	12929	-0.4381466209888458	-0.107558444	Yes	
row_117	NEK2	12937	-0.4392015337944031	-0.1022521	Yes	
row_118	CENPF	12995	-0.4462622106075287	-0.10015402	Yes	
row_119	RFC5	13006	-0.447462797164917	-0.094937235	Yes	
row_120	RFC4	13033	-0.4505583345890045	-0.09073611	Yes	
row_121	NDC80	13091	-0.45650947093963623	-0.08850344	Yes	
row_122	CKS1B	13283	-0.48364388942718506	-0.094761014	Yes	
row_123	CHORDC1	13371	-0.49644017219543457	-0.093984485	Yes	
row_124	H2AZ2	13468	-0.511433482170105	-0.093605205	Yes	
row_125	ZWINT	13524	-0.5172569155693054	-0.09044263	Yes	
row_126	PRC1	13550	-0.5223422646522522	-0.085232675	Yes	
row_127	TCOF1	13558	-0.5238572359085083	-0.07881448	Yes	
row_128	CCT5	13563	-0.5241885781288147	-0.07219386	Yes	
row_129	PSMC3IP	13625	-0.5345438122749329	-0.06920036	Yes	
row_130	AURKA	13711	-0.5487476587295532	-0.06760478	Yes	
row_131	MRPS16	13731	-0.553399920463562	-0.061590794	Yes	
row_132	FAM216A	13736	-0.5549077987670898	-0.054566715	Yes	
row_133	EEPD1	13756	-0.557248055934906	-0.048502192	Yes	
row_134	MELK	13854	-0.571898877620697	-0.04739478	Yes	
row_135	SHCBP1	13953	-0.5897246599197388	-0.04611926	Yes	
row_136	PTTG1	14045	-0.6128479242324829	-0.044077903	Yes	
row_137	DLGAP5	14131	-0.6308011412620544	-0.041404635	Yes	
row_138	CCT7	14262	-0.661439836025238	-0.04129984	Yes	
row_139	HSPA4	14287	-0.6686160564422607	-0.034102704	Yes	
row_140	CKS2	14290	-0.6689350605010986	-0.02544895	Yes	
row_141	CACYBP	14395	-0.6960517168045044	-0.023173051	Yes	
row_142	CDCA8	14427	-0.7042298316955566	-0.015970305	Yes	
row_143	MRPS5	14504	-0.7316198348999023	-0.011378703	Yes	
row_144	NCAPH	14565	-0.7574998140335083	-0.0053908788	Yes	
row_145	NASP	14577	-0.7618841528892517	0.003889493	Yes	
