NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KRT17	6	15.619610786437988	0.057691395	Yes	
row_1	RAB25	11	14.477251052856445	0.11126653	Yes	
row_2	EHF	24	7.57856559753418	0.13865806	Yes	
row_3	GATA3	26	7.4759087562561035	0.16639408	Yes	
row_4	CLDN4	27	7.201990604400635	0.19317745	Yes	
row_5	KRT19	40	5.71857213973999	0.21365188	Yes	
row_6	CDH1	42	5.616623401641846	0.23447342	Yes	
row_7	KRT18	43	5.457706928253174	0.25477	Yes	
row_8	ITGB4	56	4.977631568908691	0.27248895	Yes	
row_9	CAPG	72	4.661691188812256	0.2888349	Yes	
row_10	ARL4C	95	4.083120346069336	0.30256703	Yes	
row_11	LAD1	96	4.069394111633301	0.31770062	Yes	
row_12	NEDD9	101	4.021255016326904	0.3323911	Yes	
row_13	ESRP1	106	3.9580719470977783	0.34684664	Yes	
row_14	TMEM30B	124	3.7763991355895996	0.3597682	Yes	
row_15	SH3YL1	125	3.743027448654175	0.3736881	Yes	
row_16	KCNK1	132	3.694427728652954	0.38703114	Yes	
row_17	DAPK1	180	3.356729745864868	0.3964113	Yes	
row_18	VGLL1	184	3.344424247741699	0.40865076	Yes	
row_19	PERP	185	3.3429043292999268	0.42108262	Yes	
row_20	CRYBG1	199	3.3115334510803223	0.43253952	Yes	
row_21	ST14	204	3.28816819190979	0.44450375	Yes	
row_22	CLDN7	213	3.250155210494995	0.4560625	Yes	
row_23	SPINT1	227	3.1618990898132324	0.46696293	Yes	
row_24	FBLN1	233	3.1492629051208496	0.47834456	Yes	
row_25	SCNN1A	305	2.9024555683135986	0.48445076	Yes	
row_26	TACSTD2	317	2.8747308254241943	0.49441528	Yes	
row_27	CDH3	319	2.867077112197876	0.50501156	Yes	
row_28	MTUS1	332	2.840873956680298	0.51478416	Yes	
row_29	SFN	378	2.7069640159606934	0.52188	Yes	
row_30	BICC1	403	2.654813528060913	0.53016835	Yes	
row_31	CTSH	412	2.634843587875366	0.53943884	Yes	
row_32	TGFBI	420	2.614192485809326	0.54869854	Yes	
row_33	GALNT1	431	2.583855152130127	0.5576474	Yes	
