NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
ABBUD_LIF_SIGNALING_1_DN	28	22		
ABBUD_LIF_SIGNALING_1_UP	43	38		
ABBUD_LIF_SIGNALING_2_DN	7	6		
ABBUD_LIF_SIGNALING_2_UP	13	13		
ABDELMOHSEN_ELAVL4_TARGETS	16	15		
ABDULRAHMAN_KIDNEY_CANCER_VHL_DN	13	12		
ABE_INNER_EAR	43	35		
ABE_VEGFA_TARGETS	19	13		
ABE_VEGFA_TARGETS_2HR	35	28		
ABE_VEGFA_TARGETS_30MIN	29	20		
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_DN	20	20		
ABRAHAM_ALPC_VS_MULTIPLE_MYELOMA_UP	26	23		
ABRAMSON_INTERACT_WITH_AIRE	44	44		
ACEVEDO_LIVER_CANCER_DN	540	438		
ACEVEDO_LIVER_CANCER_UP	972		Rejected!	
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_DN	222	123		
ACEVEDO_LIVER_CANCER_WITH_H3K27ME3_UP	290	200		
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_DN	119	89		
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP	139	99		
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_DN	274	211		
ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP	863		Rejected!	
ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN	873		Rejected!	
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN	354	314		
ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP	173	140		
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN	116	97		
ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP	84	77		
ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN	74	54		
AFFAR_YY1_TARGETS_DN	260	213		
AFFAR_YY1_TARGETS_UP	199	167		
AGARWAL_AKT_PATHWAY_TARGETS	11	8		
AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN	237	215		
AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_UP	303	264		
AIGNER_ZEB1_TARGETS	35	32		
AIYAR_COBRA1_TARGETS_DN	29	27		
AIYAR_COBRA1_TARGETS_UP	40	32		
AKL_HTLV1_INFECTION_DN	69	55		
AKL_HTLV1_INFECTION_UP	27	25		
ALCALAY_AML_BY_NPM1_LOCALIZATION_DN	186	163		
ALCALAY_AML_BY_NPM1_LOCALIZATION_UP	140	124		
ALCALA_APOPTOSIS	87	80		
ALFANO_MYC_TARGETS	239	215		
ALONSO_METASTASIS_DN	26	20		
ALONSO_METASTASIS_EMT_DN	5	5		
ALONSO_METASTASIS_EMT_UP	35	29		
ALONSO_METASTASIS_NEURAL_UP	18	14		
ALONSO_METASTASIS_UP	194	169		
ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION	125	87		
AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53	107	98		
AMIT_DELAYED_EARLY_GENES	18	17		
AMIT_EGF_RESPONSE_120_HELA	68	57		
AMIT_EGF_RESPONSE_120_MCF10A	41	36		
AMIT_EGF_RESPONSE_20_HELA	12	8		
AMIT_EGF_RESPONSE_20_MCF10A	12	10		
AMIT_EGF_RESPONSE_240_HELA	59	53		
AMIT_EGF_RESPONSE_240_MCF10A	21	19		
AMIT_EGF_RESPONSE_40_HELA	42	35		
AMIT_EGF_RESPONSE_40_MCF10A	17	13		
AMIT_EGF_RESPONSE_480_HELA	164	143		
AMIT_EGF_RESPONSE_480_MCF10A	43	38		
AMIT_EGF_RESPONSE_60_HELA	47	39		
AMIT_EGF_RESPONSE_60_MCF10A	39	29		
AMIT_SERUM_RESPONSE_120_MCF10A	65	57		
AMIT_SERUM_RESPONSE_20_MCF10A	17	14		
AMIT_SERUM_RESPONSE_240_MCF10A	57	50		
AMIT_SERUM_RESPONSE_40_MCF10A	32	22		
AMIT_SERUM_RESPONSE_480_MCF10A	39	29		
AMIT_SERUM_RESPONSE_60_MCF10A	58	50		
AMUNDSON_DNA_DAMAGE_RESPONSE_TP53	16	15		
AMUNDSON_RESPONSE_TO_ARSENITE	219	188		
ANASTASSIOU_MULTICANCER_INVASIVENESS_SIGNATURE	64	54		
ANDERSEN_CHOLANGIOCARCINOMA_CLASS1	63	50		
ANDERSEN_CHOLANGIOCARCINOMA_CLASS2	175	128		
ANDERSEN_LIVER_CANCER_KRT19_DN	75	57		
ANDERSEN_LIVER_CANCER_KRT19_UP	35	32		
APPEL_IMATINIB_RESPONSE	33	27		
APPIERTO_RESPONSE_TO_FENRETINIDE_DN	51	43		
APPIERTO_RESPONSE_TO_FENRETINIDE_UP	38	34		
APRELIKOVA_BRCA1_TARGETS	48	40		
ASGHARZADEH_NEUROBLASTOMA_POOR_SURVIVAL_DN	43	37		
ASTIER_INTEGRIN_SIGNALING	58	49		
ASTON_MAJOR_DEPRESSIVE_DISORDER_DN	160	140		
ASTON_MAJOR_DEPRESSIVE_DISORDER_UP	49	39		
AUJLA_IL22_AND_IL17A_SIGNALING	11		Rejected!	
AUNG_GASTRIC_CANCER	52	42		
AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_DN	18	13		
AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_UP	126	98		
AZARE_STAT3_TARGETS	24	22		
