NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN	BLANCO_MELO_BRONCHIAL_EPITHELIAL_CELLS_INFLUENZA_A_DEL_NS1_INFECTION_DN	Details ...	166	-0.18941261	---	---	1.0	0.0	3018	tags=37%, list=20%, signal=45%	
CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_UP	CHEMNITZ_RESPONSE_TO_PROSTAGLANDIN_E2_UP	Details ...	136	-0.17810796	---	---	1.0	0.0	3107	tags=36%, list=20%, signal=45%	
DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP	DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP	Details ...	292	-0.18991452	---	---	1.0	0.0	2963	tags=36%, list=19%, signal=44%	
GRAHAM_CML_DIVIDING_VS_NORMAL_QUIESCENT_UP	GRAHAM_CML_DIVIDING_VS_NORMAL_QUIESCENT_UP	Details ...	162	-0.18630776	---	---	1.0	0.0	3709	tags=43%, list=24%, signal=56%	
HOFFMANN_LARGE_TO_SMALL_PRE_BII_LYMPHOCYTE_UP	HOFFMANN_LARGE_TO_SMALL_PRE_BII_LYMPHOCYTE_UP	Details ...	143	-0.2202404	---	---	1.0	0.0	2922	tags=37%, list=19%, signal=45%	
KOBAYASHI_EGFR_SIGNALING_24HR_DN	KOBAYASHI_EGFR_SIGNALING_24HR_DN	Details ...	237	-0.2142271	---	---	1.0	0.0	3330	tags=44%, list=22%, signal=55%	
MEBARKI_HCC_PROGENITOR_FZD8CRD_UP	MEBARKI_HCC_PROGENITOR_FZD8CRD_UP	Details ...	476	-0.1810657	---	---	1.0	0.0	3322	tags=38%, list=22%, signal=47%	
ODONNELL_TFRC_TARGETS_DN	ODONNELL_TFRC_TARGETS_DN	Details ...	115	-0.21793029	---	---	1.0	0.0	3938	tags=51%, list=26%, signal=69%	
ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER	ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER	Details ...	132	-0.37295255	---	---	1.0	0.0	3214	tags=52%, list=21%, signal=66%	
SARRIO_EPITHELIAL_MESENCHYMAL_TRANSITION_UP	SARRIO_EPITHELIAL_MESENCHYMAL_TRANSITION_UP	Details ...	154	-0.18469493	---	---	1.0	0.0	2827	tags=34%, list=18%, signal=42%	
SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP	SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP	Details ...	144	-0.47331363	---	---	1.0	0.0	3633	tags=60%, list=24%, signal=78%	
WINNEPENNINCKX_MELANOMA_METASTASIS_UP	WINNEPENNINCKX_MELANOMA_METASTASIS_UP	Details ...	150	-0.2173155	---	---	1.0	0.0	3731	tags=49%, list=24%, signal=64%	
REACTOME_CELL_CYCLE_CHECKPOINTS	REACTOME_CELL_CYCLE_CHECKPOINTS	Details ...	271	-0.19741365	---	---	1.0	0.0	3348	tags=37%, list=22%, signal=47%	
REACTOME_CHROMOSOME_MAINTENANCE	REACTOME_CHROMOSOME_MAINTENANCE	Details ...	117	-0.3553313	---	---	1.0	0.0	3121	tags=39%, list=20%, signal=49%	
REACTOME_CILIUM_ASSEMBLY	REACTOME_CILIUM_ASSEMBLY	Details ...	182	-0.21918783	---	---	1.0	0.0	3325	tags=40%, list=22%, signal=51%	
REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR	REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR	Details ...	151	-0.22252083	---	---	1.0	0.0	3121	tags=34%, list=20%, signal=43%	
REACTOME_DNA_REPAIR	REACTOME_DNA_REPAIR	Details ...	306	-0.17785214	---	---	1.0	0.0	2518	tags=27%, list=16%, signal=32%	
REACTOME_DNA_REPLICATION	REACTOME_DNA_REPLICATION	Details ...	161	-0.20706047	---	---	1.0	0.0	2852	tags=30%, list=19%, signal=37%	
REACTOME_DNA_REPLICATION_PRE_INITIATION	REACTOME_DNA_REPLICATION_PRE_INITIATION	Details ...	134	-0.17413524	---	---	1.0	0.0	2066	tags=23%, list=14%, signal=27%	
REACTOME_G2_M_CHECKPOINTS	REACTOME_G2_M_CHECKPOINTS	Details ...	151	-0.17602018	---	---	1.0	0.0	3477	tags=35%, list=23%, signal=45%	
REACTOME_MITOTIC_G2_G2_M_PHASES	REACTOME_MITOTIC_G2_G2_M_PHASES		185	-0.21885616	---	---	1.0	0.0	3189	tags=42%, list=21%, signal=52%	
REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE		223	-0.16184555	---	---	1.0	0.0	3334	tags=36%, list=22%, signal=46%	
REACTOME_MITOTIC_PROMETAPHASE	REACTOME_MITOTIC_PROMETAPHASE		186	-0.23923907	---	---	1.0	0.0	3218	tags=43%, list=21%, signal=54%	
REACTOME_MITOTIC_SPINDLE_CHECKPOINT	REACTOME_MITOTIC_SPINDLE_CHECKPOINT		108	-0.24557678	---	---	1.0	0.0	3107	tags=42%, list=20%, signal=52%	
REACTOME_M_PHASE	REACTOME_M_PHASE		376	-0.163041	---	---	1.0	0.0	3050	tags=33%, list=20%, signal=41%	
REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION	REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION		114	-0.24751344	---	---	1.0	0.0	3334	tags=45%, list=22%, signal=57%	
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS	REACTOME_SEPARATION_OF_SISTER_CHROMATIDS		179	-0.20090507	---	---	1.0	0.0	3050	tags=37%, list=20%, signal=46%	
REACTOME_SYNTHESIS_OF_DNA	REACTOME_SYNTHESIS_OF_DNA		118	-0.20623982	---	---	1.0	0.0	3301	tags=35%, list=22%, signal=44%	
ZHAN_MULTIPLE_MYELOMA_PR_UP	ZHAN_MULTIPLE_MYELOMA_PR_UP		41	-0.5545495	-2.547626	0.0	2.1028938E-4	0.007	3709	tags=73%, list=24%, signal=96%	
WEBER_METHYLATED_HCP_IN_FIBROBLAST_DN	WEBER_METHYLATED_HCP_IN_FIBROBLAST_DN		36	-0.5956237	-2.5327258	0.0	2.0327973E-4	0.007	6105	tags=97%, list=40%, signal=161%	
REACTOME_POLYMERASE_SWITCHING_ON_THE_C_STRAND_OF_THE_TELOMERE	REACTOME_POLYMERASE_SWITCHING_ON_THE_C_STRAND_OF_THE_TELOMERE		24	-0.6305807	-2.4685352	0.0	4.1630288E-4	0.015	2326	tags=50%, list=15%, signal=59%	
REACTOME_CARBOXYTERMINAL_POST_TRANSLATIONAL_MODIFICATIONS_OF_TUBULIN	REACTOME_CARBOXYTERMINAL_POST_TRANSLATIONAL_MODIFICATIONS_OF_TUBULIN		36	-0.5608654	-2.437672	0.0	4.8532392E-4	0.018	3187	tags=56%, list=21%, signal=70%	
KEGG_MEDICUS_REFERENCE_ORGANIZATION_OF_THE_INNER_KINETOCHORE	KEGG_MEDICUS_REFERENCE_ORGANIZATION_OF_THE_INNER_KINETOCHORE		16	-0.71718013	-2.4167254	0.0	5.2323996E-4	0.02	3624	tags=81%, list=24%, signal=106%	
KONG_E2F3_TARGETS	KONG_E2F3_TARGETS		92	-0.43153962	-2.3929965	0.0	8.341696E-4	0.033	4259	tags=64%, list=28%, signal=88%	
REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING	REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING		26	-0.6093288	-2.3766134	0.0	9.08209E-4	0.037	2530	tags=58%, list=17%, signal=69%	
CROONQUIST_NRAS_SIGNALING_DN	CROONQUIST_NRAS_SIGNALING_DN		67	-0.53567845	-2.3749952	0.0	9.070401E-4	0.038	3709	tags=66%, list=24%, signal=86%	
REACTOME_TELOMERE_C_STRAND_LAGGING_STRAND_SYNTHESIS	REACTOME_TELOMERE_C_STRAND_LAGGING_STRAND_SYNTHESIS		32	-0.5560412	-2.3649235	0.0	0.0010009677	0.043	2326	tags=41%, list=15%, signal=48%	
KEGG_MEDICUS_REFERENCE_ORGANIZATION_OF_THE_OUTER_KINETOCHORE	KEGG_MEDICUS_REFERENCE_ORGANIZATION_OF_THE_OUTER_KINETOCHORE		18	-0.6431417	-2.3244498	0.0	0.0013523377	0.059	3107	tags=83%, list=20%, signal=104%	
WEBER_METHYLATED_HCP_IN_SPERM_DN	WEBER_METHYLATED_HCP_IN_SPERM_DN		25	-0.59251237	-2.3158407	0.0	0.0013816144	0.062	6105	tags=96%, list=40%, signal=159%	
FINETTI_BREAST_CANCER_KINOME_RED	FINETTI_BREAST_CANCER_KINOME_RED		16	-0.6673666	-2.2789602	0.0	0.0020096737	0.087	4932	tags=88%, list=32%, signal=129%	
WEBER_METHYLATED_HCP_IN_SPERM_UP	WEBER_METHYLATED_HCP_IN_SPERM_UP		17	-0.625589	-2.2286308	0.0	0.0034692064	0.152	5739	tags=100%, list=38%, signal=160%	
ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR	ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_24HR		121	-0.38684052	-2.2245939	0.0	0.00355145	0.159	3633	tags=62%, list=24%, signal=81%	
SU_TESTIS	SU_TESTIS		70	-0.41267717	-2.217749	0.0	0.0037465245	0.169	4776	tags=64%, list=31%, signal=93%	
REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC	REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC		19	-0.6173424	-2.2164967	0.0	0.0036816492	0.17	2530	tags=63%, list=17%, signal=76%	
EGUCHI_CELL_CYCLE_RB1_TARGETS	EGUCHI_CELL_CYCLE_RB1_TARGETS		21	-0.5784618	-2.2019875	0.0	0.004136389	0.197	4420	tags=71%, list=29%, signal=100%	
LY_AGING_MIDDLE_DN	LY_AGING_MIDDLE_DN		15	-0.64961094	-2.1733565	0.0	0.005404525	0.255	2434	tags=80%, list=16%, signal=95%	
ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_6HR	ZHOU_CELL_CYCLE_GENES_IN_IR_RESPONSE_6HR		82	-0.41655132	-2.153781	0.0	0.006638246	0.3	3675	tags=59%, list=24%, signal=77%	
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS		36	-0.4906609	-2.1522713	0.0	0.006587951	0.303	3894	tags=56%, list=25%, signal=74%	
WP_DNA_REPLICATION	WP_DNA_REPLICATION		38	-0.47046864	-2.1361065	0.0	0.0078009833	0.358	3292	tags=47%, list=22%, signal=60%	
KEGG_MEDICUS_REFERENCE_LONG_PATCH_BER	KEGG_MEDICUS_REFERENCE_LONG_PATCH_BER		16	-0.6069174	-2.1150937	0.009259259	0.009387509	0.421	2326	tags=63%, list=15%, signal=74%	
REACTOME_EXTENSION_OF_TELOMERES	REACTOME_EXTENSION_OF_TELOMERES		47	-0.46029073	-2.089765	0.0	0.011963989	0.499	2326	tags=36%, list=15%, signal=43%	
KUMAMOTO_RESPONSE_TO_NUTLIN_3A_DN	KUMAMOTO_RESPONSE_TO_NUTLIN_3A_DN		10	-0.7221168	-2.0767791	0.00625	0.013425446	0.541	4259	tags=100%, list=28%, signal=138%	
KANG_DOXORUBICIN_RESISTANCE_UP	KANG_DOXORUBICIN_RESISTANCE_UP		51	-0.4507764	-2.0514228	0.0	0.016878564	0.631	4932	tags=75%, list=32%, signal=110%	
REACTOME_LAGGING_STRAND_SYNTHESIS	REACTOME_LAGGING_STRAND_SYNTHESIS		18	-0.5598833	-2.0410166	0.0	0.018230028	0.666	2326	tags=50%, list=15%, signal=59%	
REACTOME_POLYMERASE_SWITCHING	REACTOME_POLYMERASE_SWITCHING		12	-0.65521985	-2.039468	0.0069444445	0.018114273	0.67	2326	tags=67%, list=15%, signal=79%	
KEGG_MEDICUS_REFERENCE_RECRUITMENT_AND_FORMATION_OF_THE_MCC	KEGG_MEDICUS_REFERENCE_RECRUITMENT_AND_FORMATION_OF_THE_MCC		9	-0.724359	-1.9643707	0.0	0.035199728	0.888	4224	tags=100%, list=28%, signal=138%	
