NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_UP	CHARAFE_BREAST_CANCER_BASAL_VS_MESENCHYMAL_UP	Details ...	97	0.76719755	2.0685544	0.0	0.0	0.0	2016	tags=57%, list=13%, signal=65%	
KOHN_EMT_EPITHELIAL	KOHN_EMT_EPITHELIAL	Details ...	20	0.87864065	2.054697	0.0	5.047493E-4	0.001	1078	tags=75%, list=7%, signal=81%	
PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP	PLASARI_TGFB1_SIGNALING_VIA_NFIC_10HR_UP	Details ...	49	0.78339225	2.0433314	0.0	6.7447266E-4	0.002	1590	tags=45%, list=10%, signal=50%	
HOLLERN_EMT_BREAST_TUMOR_DN	HOLLERN_EMT_BREAST_TUMOR_DN	Details ...	106	0.7583957	2.032496	0.0	7.5783674E-4	0.003	2282	tags=60%, list=15%, signal=70%	
AIGNER_ZEB1_TARGETS	AIGNER_ZEB1_TARGETS	Details ...	32	0.80543905	2.0117698	0.0	8.077612E-4	0.004	1758	tags=66%, list=11%, signal=74%	
BENNETT_SYSTEMIC_LUPUS_ERYTHEMATOSUS	BENNETT_SYSTEMIC_LUPUS_ERYTHEMATOSUS	Details ...	16	0.8799293	2.0048769	0.0	6.731344E-4	0.004	1346	tags=75%, list=9%, signal=82%	
WU_CELL_MIGRATION	WU_CELL_MIGRATION	Details ...	151	0.73106176	1.9884437	0.0	0.0014404458	0.01	2241	tags=52%, list=15%, signal=60%	
FOROUTAN_INTEGRATED_TGFB_EMT_DN	FOROUTAN_INTEGRATED_TGFB_EMT_DN	Details ...	58	0.7614231	1.976798	0.0	0.002522014	0.02	1169	tags=48%, list=8%, signal=52%	
MOSERLE_IFNA_RESPONSE	MOSERLE_IFNA_RESPONSE	Details ...	23	0.8123345	1.972898	0.0	0.0023535392	0.021	1311	tags=57%, list=9%, signal=62%	
REACTOME_FORMATION_OF_THE_NEPHRIC_DUCT	REACTOME_FORMATION_OF_THE_NEPHRIC_DUCT	Details ...	14	0.8686792	1.9616376	0.0	0.00292752	0.029	771	tags=57%, list=5%, signal=60%	
COLDREN_GEFITINIB_RESISTANCE_DN	COLDREN_GEFITINIB_RESISTANCE_DN	Details ...	183	0.71182394	1.947213	0.0	0.0043139243	0.047	1895	tags=47%, list=12%, signal=53%	
TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_LOBULAR_NORMAL_UP	TURASHVILI_BREAST_LOBULAR_CARCINOMA_VS_LOBULAR_NORMAL_UP	Details ...	85	0.71151495	1.9322965	0.0	0.0058038775	0.067	1930	tags=38%, list=13%, signal=43%	
LIANG_SILENCED_BY_METHYLATION_UP	LIANG_SILENCED_BY_METHYLATION_UP	Details ...	23	0.8083891	1.9322889	0.0	0.0053574257	0.067	1987	tags=61%, list=13%, signal=70%	
REACTOME_KERATINIZATION	REACTOME_KERATINIZATION	Details ...	57	0.7312547	1.9165312	0.0	0.008075183	0.106	1019	tags=28%, list=7%, signal=30%	
ELLWOOD_MYC_TARGETS_DN	ELLWOOD_MYC_TARGETS_DN	Details ...	35	0.7558016	1.9156802	0.0	0.0078058764	0.11	2272	tags=57%, list=15%, signal=67%	
MCBRYAN_PUBERTAL_BREAST_4_5WK_UP	MCBRYAN_PUBERTAL_BREAST_4_5WK_UP	Details ...	226	0.6968242	1.9135159	0.0	0.007949611	0.12	1769	tags=41%, list=12%, signal=46%	
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	Details ...	54	0.73331493	1.9088542	0.0	0.008729326	0.137	1019	tags=30%, list=7%, signal=32%	
SANA_RESPONSE_TO_IFNG_UP	SANA_RESPONSE_TO_IFNG_UP	Details ...	49	0.7332235	1.9082073	0.0	0.008300948	0.138	1636	tags=47%, list=11%, signal=52%	
REACTOME_KIDNEY_DEVELOPMENT	REACTOME_KIDNEY_DEVELOPMENT	Details ...	36	0.7579663	1.897503	0.0	0.010360954	0.175	1164	tags=42%, list=8%, signal=45%	
REACTOME_TIGHT_JUNCTION_INTERACTIONS	REACTOME_TIGHT_JUNCTION_INTERACTIONS	Details ...	23	0.7845494	1.8911649	0.0	0.011964678	0.213	1610	tags=52%, list=11%, signal=58%	
JI_CARCINOGENESIS_BY_KRAS_AND_STK11_UP	JI_CARCINOGENESIS_BY_KRAS_AND_STK11_UP		10	0.9185337	1.8911194	0.0	0.011442868	0.214	425	tags=50%, list=3%, signal=51%	
DER_IFN_ALPHA_RESPONSE_UP	DER_IFN_ALPHA_RESPONSE_UP		59	0.71699214	1.8896161	0.0	0.011474212	0.224	2163	tags=51%, list=14%, signal=59%	
GU_PDEF_TARGETS_DN	GU_PDEF_TARGETS_DN		27	0.77750593	1.8870866	0.0	0.011633765	0.238	1320	tags=41%, list=9%, signal=45%	
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_DN	TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_DUCTAL_NORMAL_DN		150	0.6872589	1.8843676	0.0	0.011948226	0.25	2357	tags=44%, list=15%, signal=52%	
FOROUTAN_TGFB_EMT_DN	FOROUTAN_TGFB_EMT_DN		88	0.6977097	1.8829341	0.0	0.0117531875	0.256	2967	tags=56%, list=19%, signal=69%	
TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_LOBULAR_NORMAL_DN	TURASHVILI_BREAST_DUCTAL_CARCINOMA_VS_LOBULAR_NORMAL_DN		48	0.7300635	1.8821639	0.0	0.011572805	0.261	2255	tags=46%, list=15%, signal=54%	
ZHANG_INTERFERON_RESPONSE	ZHANG_INTERFERON_RESPONSE		15	0.8460807	1.8798193	0.0	0.012116929	0.284	1760	tags=80%, list=12%, signal=90%	
HUANG_FOXA2_TARGETS_DN	HUANG_FOXA2_TARGETS_DN		31	0.75105304	1.8765737	0.0	0.012766232	0.303	654	tags=35%, list=4%, signal=37%	
WP_PANCREATIC_CANCER_SUBTYPES	WP_PANCREATIC_CANCER_SUBTYPES		23	0.7784176	1.8734268	0.0043010754	0.013649239	0.326	2080	tags=48%, list=14%, signal=55%	
HOSHIDA_LIVER_CANCER_LATE_RECURRENCE_UP	HOSHIDA_LIVER_CANCER_LATE_RECURRENCE_UP		53	0.7201847	1.8708241	0.0	0.014068675	0.342	1699	tags=42%, list=11%, signal=47%	
MISHRA_CARCINOMA_ASSOCIATED_FIBROBLAST_DN	MISHRA_CARCINOMA_ASSOCIATED_FIBROBLAST_DN		23	0.7633614	1.8693951	0.0	0.014200438	0.352	2295	tags=61%, list=15%, signal=72%	
REACTOME_NEPHRON_DEVELOPMENT	REACTOME_NEPHRON_DEVELOPMENT		12	0.87586135	1.8688871	0.0	0.013851177	0.353	1562	tags=75%, list=10%, signal=83%	
MCBRYAN_PUBERTAL_TGFB1_TARGETS_DN	MCBRYAN_PUBERTAL_TGFB1_TARGETS_DN		51	0.7283444	1.8684534	0.0	0.013523209	0.355	2027	tags=49%, list=13%, signal=56%	
BOSCO_EPITHELIAL_DIFFERENTIATION_MODULE	BOSCO_EPITHELIAL_DIFFERENTIATION_MODULE		37	0.7456086	1.8672318	0.0	0.013838549	0.366	1528	tags=41%, list=10%, signal=45%	
WP_MARKERS_OF_KIDNEY_CELL_LINEAGE	WP_MARKERS_OF_KIDNEY_CELL_LINEAGE		55	0.7193768	1.8651272	0.0	0.014192737	0.379	1733	tags=38%, list=11%, signal=43%	
HECKER_IFNB1_TARGETS	HECKER_IFNB1_TARGETS		66	0.71463263	1.8642025	0.0	0.014135491	0.386	1854	tags=44%, list=12%, signal=50%	
JAEGER_METASTASIS_DN	JAEGER_METASTASIS_DN		194	0.67629635	1.8586633	0.0	0.016237743	0.438	2360	tags=38%, list=15%, signal=44%	
