NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PYGL	52	5.0577712059021	0.04133874	Yes	
row_1	SLC2A4	53	5.041752338409424	0.085964195	Yes	
row_2	FBP2	81	4.302278518676758	0.12226425	Yes	
row_3	PTPRF	301	2.9097557067871094	0.13357978	Yes	
row_4	IRS1	345	2.79917573928833	0.15552068	Yes	
row_5	FBP1	419	2.61684513092041	0.17386976	Yes	
row_6	SREBF1	444	2.5589685440063477	0.19493726	Yes	
row_7	PRKCI	551	2.3408851623535156	0.208668	Yes	
row_8	SORBS1	620	2.226651430130005	0.22389308	Yes	
row_9	PIK3R1	640	2.1985466480255127	0.24210007	Yes	
row_10	PRKX	650	2.1879615783691406	0.26087272	Yes	
row_11	IGFBP6	654	2.1849491596221924	0.2800143	Yes	
row_12	RHEB	705	2.123438835144043	0.29551262	Yes	
row_13	PPP1R3B	755	2.067711591720581	0.3105836	Yes	
row_14	AKT1	979	1.8597416877746582	0.31234154	Yes	
row_15	PPP1CB	1048	1.8037418127059937	0.32382336	Yes	
row_16	PRKACB	1157	1.7195854187011719	0.33192298	Yes	
row_17	PRKAB1	1268	1.6512371301651	0.3392858	Yes	
row_18	IGFBP5	1313	1.6310174465179443	0.3508212	Yes	
row_19	RPS6KB2	1439	1.5662044286727905	0.35644236	Yes	
row_20	CBLC	1482	1.5476858615875244	0.36737204	Yes	
row_21	PCK2	1526	1.5280739068984985	0.3780622	Yes	
row_22	MAPK3	1639	1.47622811794281	0.3837441	Yes	
row_23	IGF1	1798	1.4065587520599365	0.38577646	Yes	
row_24	RPS6KB1	1864	1.3854289054870605	0.3937535	Yes	
row_25	NRAS	1897	1.3761540651321411	0.40382424	Yes	
row_26	RAPGEF1	1961	1.3492565155029297	0.41161302	Yes	
row_27	RPS6	1985	1.339532732963562	0.421953	Yes	
row_28	IGF1R	2066	1.301914930343628	0.42820188	Yes	
row_29	ARAF	2125	1.2774369716644287	0.4356846	Yes	
row_30	RHOQ	2237	1.242729902267456	0.4393657	Yes	
row_31	IRS2	2387	1.195326805114746	0.4401218	Yes	
row_32	GYS1	2412	1.189528226852417	0.44906813	Yes	
row_33	PHKA1	2520	1.1553012132644653	0.45223913	Yes	
row_34	FLOT2	2545	1.148283839225769	0.4608204	Yes	
row_35	PPP1R3C	2580	1.1373389959335327	0.46864548	Yes	
row_36	GRB2	2585	1.1355067491531372	0.47843233	Yes	
row_37	INPP5D	2648	1.1163636445999146	0.48422566	Yes	
row_38	CALM1	2757	1.0850201845169067	0.48670864	Yes	
row_39	ACACA	2819	1.0632867813110352	0.4920981	Yes	
row_40	PPP1R3D	3146	0.9735100865364075	0.47922078	Yes	
row_41	PIK3CA	3159	0.9712439179420471	0.4870262	Yes	
row_42	SHC3	3366	0.9188212752342224	0.48157677	Yes	
row_43	SHC1	3421	0.9065638780593872	0.48604056	Yes	
row_44	PHKB	3422	0.9064612984657288	0.4940638	Yes	
row_45	PRKAG1	3668	0.8469699025154114	0.485407	Yes	
row_46	FASN	3686	0.8435447216033936	0.4917525	Yes	
row_47	SOCS2	3875	0.8034572601318359	0.48646873	Yes	
row_48	EIF4EBP1	3961	0.7819409966468811	0.48778555	Yes	
row_49	PDE3B	4057	0.7606027126312256	0.4882542	Yes	
row_50	INSR	4203	0.7261630296707153	0.48512134	Yes	
row_51	CALML6	4221	0.7219862937927246	0.49039093	Yes	
row_52	IKBKB	4250	0.7166222929954529	0.49488777	Yes	
row_53	HK2	4251	0.7165449261665344	0.50123	Yes	
row_54	IGF2R	4264	0.7126062512397766	0.50674623	Yes	
row_55	PPP1CA	4513	0.6590601801872253	0.49622843	Yes	
row_56	MKNK1	4515	0.6590075492858887	0.5019955	Yes	
row_57	RAF1	4544	0.6511545181274414	0.50591284	Yes	
row_58	PIK3R2	4567	0.6431885957717896	0.5101553	Yes	
row_59	GCK	4603	0.6354612112045288	0.51347226	Yes	
row_60	MAPK1	4748	0.6041679382324219	0.50932556	No	
row_61	HRAS	4777	0.5994271039962769	0.5127851	No	
row_62	CRK	5156	0.5117148160934448	0.49239182	No	
row_63	MAPK9	5368	0.46929696202278137	0.48263386	No	
row_64	CRKL	5445	0.4529114365577698	0.4816318	No	
row_65	MAPK8	5533	0.4335090219974518	0.47973272	No	
row_66	PRKAA2	5633	0.4148978888988495	0.47687772	No	
row_67	PIK3R5	5675	0.40769314765930176	0.47778305	No	
row_68	IGFBP2	5680	0.4059412181377411	0.4811124	No	
row_69	SOCS1	5996	0.338238924741745	0.46333742	No	
row_70	PIK3CB	6129	0.3092108368873596	0.4573712	No	
row_71	SOS1	6238	0.288215309381485	0.45280153	No	
row_72	FOXO1	6245	0.28583425283432007	0.45493588	No	
row_73	PRKAR2B	6348	0.26710081100463867	0.45057493	No	
row_74	KRAS	6488	0.2391415685415268	0.44352698	No	
row_75	ELK1	6619	0.2170293927192688	0.43687668	No	
row_76	PPARGC1A	6956	0.16544289886951447	0.4161877	No	
row_77	SOS2	7124	0.13262926042079926	0.40635088	No	
row_78	MAP2K1	7611	0.06370687484741211	0.37487152	No	
row_79	PRKCZ	7886	0.028618155047297478	0.35705927	No	
row_80	MAPK10	7972	0.018226029351353645	0.35161632	No	
row_81	EIF4E2	7984	0.016583198681473732	0.35103786	No	
row_82	PHKG1	8062	0.007751458324491978	0.34602964	No	
row_83	PYGM	8099	0.00338547071442008	0.34368604	No	
row_84	PDPK1	8282	-0.01681113988161087	0.3318351	No	
row_85	SH2B2	8332	-0.020918630063533783	0.32878956	No	
row_86	TSC1	8399	-0.02930188924074173	0.32469735	No	
row_87	INPP5K	8475	-0.03928632661700249	0.32010013	No	
row_88	CALM2	8504	-0.04297272488474846	0.3186344	No	
row_89	TRIP10	8511	-0.04352681338787079	0.31862405	No	
row_90	EIF4E	8558	-0.04771643877029419	0.31601351	No	
row_91	IRS4	8635	-0.055213190615177155	0.3114913	No	
row_92	PRKAR1B	8676	-0.059984102845191956	0.30938494	No	
row_93	PTPN1	8697	-0.06254834681749344	0.30861992	No	
row_94	AKT2	8717	-0.06443443149328232	0.30793753	No	
row_95	PRKAR2A	8999	-0.09742046892642975	0.29027274	No	
row_96	CBL	9487	-0.14297349750995636	0.25942904	No	
row_97	PRKAB2	9611	-0.15413714945316315	0.25268364	No	
