NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PYGL	52	5.0577712059021	0.044580057	Yes	
row_1	SLC2A4	53	5.041752338409424	0.092435434	Yes	
row_2	FBP2	81	4.302278518676758	0.13149227	Yes	
row_3	PTPRF	301	2.9097557067871094	0.14467664	Yes	
row_4	IRS1	345	2.79917573928833	0.16841173	Yes	
row_5	FBP1	419	2.61684513092041	0.18843885	Yes	
row_6	SREBF1	444	2.5589685440063477	0.21114624	Yes	
row_7	PRKCI	551	2.3408851623535156	0.22637893	Yes	
row_8	SORBS1	620	2.226651430130005	0.24303195	Yes	
row_9	PIK3R1	640	2.1985466480255127	0.26264784	Yes	
row_10	PRKX	650	2.1879615783691406	0.28282237	Yes	
row_11	RHEB	705	2.123438835144043	0.29941848	Yes	
row_12	PPP1R3B	755	2.067711591720581	0.31581518	Yes	
row_13	AKT1	979	1.8597416877746582	0.31876937	Yes	
row_14	PPP1CB	1048	1.8037418127059937	0.3314082	Yes	
row_15	PRKACB	1157	1.7195854187011719	0.34061182	Yes	
row_16	PRKAB1	1268	1.6512371301651	0.34903485	Yes	
row_17	RPS6KB2	1439	1.5662044286727905	0.35269612	Yes	
row_18	CBLC	1482	1.5476858615875244	0.3646182	Yes	
row_19	PCK2	1526	1.5280739068984985	0.37628824	Yes	
row_20	MAPK3	1639	1.47622811794281	0.3829183	Yes	
row_21	RPS6KB1	1864	1.3854289054870605	0.3813045	Yes	
row_22	NRAS	1897	1.3761540651321411	0.39225754	Yes	
row_23	RAPGEF1	1961	1.3492565155029297	0.40091205	Yes	
row_24	RPS6	1985	1.339532732963562	0.4121107	Yes	
row_25	ARAF	2125	1.2774369716644287	0.4150743	Yes	
row_26	RHOQ	2237	1.242729902267456	0.41955394	Yes	
row_27	IRS2	2387	1.195326805114746	0.42107904	Yes	
row_28	GYS1	2412	1.189528226852417	0.43078795	Yes	
row_29	PHKA1	2520	1.1553012132644653	0.43470138	Yes	
row_30	FLOT2	2545	1.148283839225769	0.4440188	Yes	
row_31	PPP1R3C	2580	1.1373389959335327	0.45257327	Yes	
row_32	GRB2	2585	1.1355067491531372	0.46308765	Yes	
row_33	INPP5D	2648	1.1163636445999146	0.4695975	Yes	
row_34	CALM1	2757	1.0850201845169067	0.4727779	Yes	
row_35	ACACA	2819	1.0632867813110352	0.4788499	Yes	
row_36	PPP1R3D	3146	0.9735100865364075	0.4666033	Yes	
row_37	PIK3CA	3159	0.9712439179420471	0.47503123	Yes	
row_38	SHC3	3366	0.9188212752342224	0.47017488	Yes	
row_39	SHC1	3421	0.9065638780593872	0.47522062	Yes	
row_40	PHKB	3422	0.9064612984657288	0.48382458	Yes	
row_41	PRKAG1	3668	0.8469699025154114	0.4757157	Yes	
row_42	FASN	3686	0.8435447216033936	0.48260197	Yes	
row_43	SOCS2	3875	0.8034572601318359	0.477837	Yes	
row_44	EIF4EBP1	3961	0.7819409966468811	0.4796566	Yes	
row_45	PDE3B	4057	0.7606027126312256	0.48061457	Yes	
row_46	INSR	4203	0.7261630296707153	0.4779501	Yes	
row_47	CALML6	4221	0.7219862937927246	0.48368257	Yes	
