NAME	TITLE	SCORE	
SULT1D1		18.74357	
KRT5		18.616295	
SLC44A4		18.269917	
PAX8		18.199938	
S100A12		17.399693	
CMA1		15.853004	
KRT17		15.619611	
SYT8		15.535859	
GAL3ST2		15.43292	
HOXB9		15.08087	
HOXA2		14.798118	
RAB25		14.477251	
SLCO1A2		14.025671	
SMIM34A		13.737801	
PLSCR1		13.451258	
SULT2B1		13.369194	
IHH		13.319856	
FGF7		13.303993	
TMEM213		13.270646	
PFKFB1		13.171341	
GJB4		12.539008	
KRT6A		12.505093	
GPX6		12.435168	
KLHDC7A		8.203553	
EHF		7.5785656	
HOXB6		7.5679684	
GATA3		7.4759088	
CLDN4		7.2019906	
RSPO3		6.7896314	
PDZK1IP1		6.744084	
MCOLN3		6.6368003	
EXPH5		6.4720154	
AQP9		6.4431405	
VWA2		6.396452	
GATA2		6.0877695	
TSPAN15		6.0353456	
TMPRSS2		5.9132843	
ST6GAL1		5.894922	
ELOVL7		5.880784	
ATP6V1C2		5.8678083	
KRT19		5.718572	
PROKR1		5.680599	
CDH1		5.6166234	
KRT18		5.457707	
LRP2		5.399191	
HOXA5		5.2962813	
PKHD1		5.2212133	
SGPP2		5.2057	
EMX2		5.150798	
OLFM4		5.1478467	
PROM2		5.1207356	
MAL		5.119312	
PYGL		5.057771	
SLC2A4		5.0417523	
SFRP1		5.0011573	
RIPK4		4.9868546	
ITGB4		4.9776316	
BASP1		4.9596143	
CYS1		4.949787	
POU3F3		4.937974	
PLLP		4.9240556	
SORBS2		4.8930993	
SCML4		4.8039575	
PITPNC1		4.7774687	
XDH		4.764827	
PECAM1		4.754094	
RASSF6		4.7516093	
EDDM3B		4.749985	
ACOX2		4.741261	
BCHE		4.7099023	
TFAP2A		4.7095003	
SIM1		4.682869	
CAPG		4.661691	
LGALS9		4.5870814	
CAPS		4.5129604	
IGSF10		4.4740787	
PAX2		4.434172	
ATP6V0A4		4.3821707	
MOB3B		4.377229	
PRR15		4.346024	
SSPO		4.3146253	
FBP2		4.3022785	
CLDN8		4.280998	
SLC44A3		4.267121	
SLC27A6		4.2504506	
SCIN		4.2115254	
ALCAM		4.2064114	
HOXB4		4.19852	
PRR15L		4.1785526	
MYO5C		4.1515293	
FCGRT		4.1451755	
NPC1L1		4.1433787	
ARHGEF37		4.1413856	
ARHGAP31		4.135573	
GPX5		4.0840917	
ARL4C		4.0831203	
LAD1		4.069394	
GYG2		4.0547657	
TRIM22		4.040941	
SLC6A8		4.0402336	
LMO4		4.0276585	
NEDD9		4.021255	
RAB27B		4.0135465	
TBX3		3.9893084	
SCN7A		3.9831185	
ADGRG6		3.9727554	
ESRP1		3.958072	
SGCD		3.93373	
TMEM238		3.9272115	
SERPINA1		3.924149	
TBX2		3.9178522	
MALL		3.8837967	
MAL2		3.8612335	
TLR4		3.8600998	
TLR1		3.8513227	
TXNDC16		3.8473964	
RARRES1		3.8387985	
BLNK		3.8371842	
PLS1		3.8315754	
TNC		3.8292904	
TRIM16		3.8208506	
MX1		3.8182373	
