NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	B2M	152	3.5525364875793457	0.09172427	Yes	
row_1	CANX	357	2.7676804065704346	0.15757768	Yes	
row_2	CTSS	389	2.687851667404175	0.23247933	Yes	
row_3	CD4	436	2.5794053077697754	0.30329436	Yes	
row_4	CTSB	572	2.2936997413635254	0.36010152	Yes	
row_5	TAP1	584	2.2723066806793213	0.4244195	Yes	
row_6	IFI30	739	2.086118698120117	0.47404054	Yes	
row_7	CD74	874	1.946638584136963	0.5209795	Yes	
row_8	TAP2	1271	1.6492109298706055	0.542242	Yes	
row_9	LGMN	1474	1.5496786832809448	0.57336444	Yes	
row_10	PSME1	1735	1.4378986358642578	0.5974879	Yes	
row_11	TAPBP	2764	1.0827767848968506	0.5611359	No	
row_12	HLA-DRB1	3560	0.8697264790534973	0.5339495	No	
row_13	NFYB	3745	0.8301844596862793	0.5456576	No	
row_14	HSP90AB1	3998	0.77425217628479	0.55131006	No	
row_15	HSPA8	4187	0.7296865582466125	0.5598796	No	
row_16	HSPA5	4780	0.5981532335281372	0.5382186	No	
row_17	CD8B	5477	0.4452032148838043	0.50536686	No	
row_18	PSME2	5938	0.3495890498161316	0.48523858	No	
row_19	RFX5	5954	0.3468126654624939	0.4941825	No	
row_20	PSME3	5960	0.3453294336795807	0.50373906	No	
row_21	CALR	6376	0.2616630494594574	0.4840421	No	
row_22	CIITA	6870	0.17864690721035004	0.4568593	No	
row_23	IFNA5	9084	-0.10641197860240936	0.31493288	No	
row_24	RFXAP	9097	-0.10715504735708237	0.31721377	No	
row_25	CREB1	11445	-0.2931237816810608	0.17185326	No	
row_26	NFYC	11455	-0.2940295338630676	0.17967947	No	
row_27	HSPA2	12489	-0.3879773020744324	0.123113126	No	
row_28	NFYA	12515	-0.3897300362586975	0.13263035	No	
row_29	HSP90AA1	12724	-0.41143491864204407	0.13078061	No	
row_30	RFXANK	14192	-0.6442932486534119	0.053119566	No	
row_31	HSPA4	14287	-0.6686160564422607	0.066099	No	
