NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PFKFB1	19	13.171340942382812	0.3307946	Yes	
row_1	FBP2	81	4.302278518676758	0.43525562	Yes	
row_2	FPGT	224	3.177993059158325	0.50606805	Yes	
row_3	FBP1	419	2.61684513092041	0.55932784	Yes	
row_4	GMDS	797	2.020209789276123	0.5855588	Yes	
row_5	PFKFB4	873	1.9469794034957886	0.62972736	Yes	
row_6	KHK	2472	1.171440601348877	0.5545746	No	
row_7	PFKFB3	3361	0.919018566608429	0.51957005	No	
row_8	ALDOC	3510	0.881509006023407	0.5320968	No	
row_9	PFKFB2	3809	0.8162047863006592	0.5331509	No	
row_10	PMM2	3822	0.814211368560791	0.5528904	No	
row_11	HK2	4251	0.7165449261665344	0.542916	No	
row_12	ALDOB	5671	0.4083239734172821	0.46025178	No	
row_13	PMM1	6043	0.3280222713947296	0.444217	No	
row_14	AKR1B1	6380	0.26104918122291565	0.42878672	No	
row_15	MTMR1	6871	0.1785658746957779	0.40118864	No	
row_16	GMPPB	7068	0.1441139280796051	0.3919818	No	
row_17	ALDOA	7359	0.09896877408027649	0.37547904	No	
row_18	MTMR2	8537	-0.045914679765701294	0.29953203	No	
row_19	TPI1	8914	-0.08770206570625305	0.2771114	No	
row_20	HK3	10197	-0.19969667494297028	0.19816266	No	
row_21	PHPT1	10528	-0.22351275384426117	0.18217917	No	
row_22	HK1	10741	-0.23832133412361145	0.17429908	No	
row_23	MPI	11197	-0.27365490794181824	0.15139095	No	
row_24	PFKP	11249	-0.27732083201408386	0.15504102	No	
row_25	GMPPA	11485	-0.2959551215171814	0.14710714	No	
row_26	MTMR6	11636	-0.3089853823184967	0.14507002	No	
row_27	GFUS	13120	-0.45960959792137146	0.059506077	No	
row_28	MTMR7	13689	-0.5447384715080261	0.03602921	No	
row_29	FCSK	14212	-0.6485123634338379	0.01818183	No	
row_30	PFKM	14869	-0.895598292350769	-0.0022149559	No	
row_31	SORD	15138	-1.194872260093689	0.010350345	No	
