NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HEXB	130	3.717419385910034	0.1806924	Yes	
row_1	GLB1	348	2.7963669300079346	0.30881256	Yes	
row_2	IDS	848	1.9670228958129883	0.3762646	Yes	
row_3	NAGLU	1746	1.4301116466522217	0.39033952	Yes	
row_4	SGSH	1853	1.3903172016143799	0.4541629	Yes	
row_5	HYAL1	1964	1.3486958742141724	0.51560605	Yes	
row_6	GNS	2189	1.2571094036102295	0.56492615	Yes	
row_7	HYAL2	2462	1.1751830577850342	0.6069348	Yes	
row_8	GUSB	2745	1.0892671346664429	0.6439161	Yes	
row_9	HEXA	5277	0.4853944480419159	0.50295764	No	
row_10	HGSNAT	5344	0.47435814142227173	0.5227806	No	
row_11	ARSB	5640	0.4138735830783844	0.52453625	No	
row_12	HPSE	7382	0.09660198539495468	0.4154982	No	
row_13	HPSE2	8438	-0.03460611402988434	0.34820595	No	
row_14	HS3ST3A1	8921	-0.08807169646024704	0.3211398	No	
row_15	SPAM1	9761	-0.16745741665363312	0.27474713	No	
row_16	HYAL3	10212	-0.20071600377559662	0.25550866	No	
row_17	IDUA	10247	-0.20260269939899445	0.26359487	No	
row_18	GALNS	15180	-1.3127750158309937	0.0075926194	No	
