NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TLR4	113	3.8600997924804688	0.072233915	Yes	
row_1	CYBA	135	3.666764497756958	0.14651087	Yes	
row_2	TLR2	249	3.057133674621582	0.20217775	Yes	
row_3	ITGB2	322	2.8569576740264893	0.2564027	Yes	
row_4	TGFB2	552	2.338977336883545	0.28964677	Yes	
row_5	NFKB1	645	2.19586181640625	0.32892048	Yes	
row_6	MAPK14	721	2.1023812294006348	0.36738008	Yes	
row_7	ITGAM	805	2.0122628211975098	0.40345582	Yes	
row_8	ITGB1	1094	1.7702484130859375	0.42109737	Yes	
row_9	JAK1	1171	1.708862543106079	0.45137218	Yes	
row_10	NFKBIA	1178	1.705625057220459	0.4861698	Yes	
row_11	TAB2	1524	1.5285208225250244	0.49508673	Yes	
row_12	MAPK3	1639	1.47622811794281	0.5180703	Yes	
row_13	PTPN6	1763	1.4223099946975708	0.5393513	Yes	
row_14	MAP3K7	1772	1.4192403554916382	0.568109	Yes	
row_15	NCF1	2607	1.1280890703201294	0.53670275	Yes	
row_16	JAK2	2628	1.1230006217956543	0.5585615	Yes	
row_17	IRAK1	3368	0.9183539748191833	0.5290566	Yes	
row_18	HLA-DRB1	3560	0.8697264790534973	0.5344781	Yes	
row_19	IFNGR1	3586	0.8650234341621399	0.5506865	Yes	
row_20	IL1A	4015	0.7701390981674194	0.5385143	Yes	
row_21	NCF4	4200	0.7270639538764954	0.54145133	Yes	
row_22	ITGA4	4209	0.7249131798744202	0.5558834	Yes	
row_23	TRAF6	4624	0.6291608214378357	0.5417205	Yes	
row_24	MYD88	4637	0.6267930865287781	0.5538659	Yes	
row_25	IL10	4664	0.620795488357544	0.56496966	Yes	
row_26	MAPK1	4748	0.6041679382324219	0.5719931	Yes	
row_27	MAPK13	4764	0.6019817590713501	0.58342993	Yes	
row_28	STAT1	4790	0.597023069858551	0.59410876	Yes	
row_29	TAB1	5521	0.435298353433609	0.5552274	No	
row_30	IFNGR2	5688	0.40453970432281494	0.55269015	No	
row_31	MARCKSL1	6423	0.252394437789917	0.5097728	No	
row_32	ELK1	6619	0.2170293927192688	0.50146544	No	
row_33	IRAK4	6915	0.1717890352010727	0.4856681	No	
row_34	TGFB1	7270	0.11231072247028351	0.46477526	No	
row_35	TGFB3	7406	0.09300448000431061	0.45784286	No	
row_36	IL1B	8608	-0.05224892124533653	0.38017708	No	
row_37	NOS2	9017	-0.09908338636159897	0.3554708	No	
row_38	RELA	9503	-0.14426319301128387	0.3266482	No	
row_39	PRKCB	9513	-0.14499704539775848	0.32904974	No	
row_40	FCGR1A	11582	-0.30414897203445435	0.19973625	No	
row_41	MAPK11	11918	-0.33246517181396484	0.18463144	No	
row_42	IFNG	12162	-0.35631856322288513	0.17605078	No	
row_43	NFKBIB	13297	-0.4858453869819641	0.11172398	No	
row_44	MAPK12	14919	-0.9342194199562073	0.02471794	No	
