NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLDN4	27	7.201990604400635	0.061906748	Yes	
row_1	PECAM1	65	4.754094123840332	0.10151001	Yes	
row_2	CLDN8	82	4.280998229980469	0.13831179	Yes	
row_3	CYBA	135	3.666764497756958	0.16731332	Yes	
row_4	CLDN1	198	3.313613176345825	0.19253412	Yes	
row_5	CLDN7	213	3.250155210494995	0.22035229	Yes	
row_6	CLDN23	304	2.9042811393737793	0.2401111	Yes	
row_7	ITGB2	322	2.8569576740264893	0.26425502	Yes	
row_8	MSN	517	2.4080865383148193	0.2727828	Yes	
row_9	EZR	568	2.3023760318756104	0.28985137	Yes	
row_10	RAP1A	604	2.2426366806030273	0.30737874	Yes	
row_11	PIK3R1	640	2.1985466480255127	0.32451624	Yes	
row_12	MAPK14	721	2.1023812294006348	0.33784232	Yes	
row_13	RAPGEF3	751	2.0714035034179688	0.35425037	Yes	
row_14	CTNNB1	771	2.044583559036255	0.3710793	Yes	
row_15	ITGAM	805	2.0122628211975098	0.3867012	Yes	
row_16	CTNNA1	837	1.9741030931472778	0.40211728	Yes	
row_17	F11R	906	1.9171124696731567	0.41459474	Yes	
row_18	PTK2B	909	1.9165104627609253	0.4314098	Yes	
row_19	PXN	1070	1.789117455482483	0.43670166	Yes	
row_20	VAV3	1072	1.7883596420288086	0.45244938	Yes	
row_21	CLDN3	1078	1.7852671146392822	0.46790653	Yes	
row_22	ITGB1	1094	1.7702484130859375	0.48257288	Yes	
row_23	CDC42	1236	1.6769694089889526	0.4881233	Yes	
row_24	ESAM	1291	1.6401784420013428	0.49907318	Yes	
row_25	RAC1	1318	1.6282378435134888	0.51176	Yes	
row_26	CTNND1	1325	1.6270073652267456	0.52575195	Yes	
row_27	THY1	1402	1.5853780508041382	0.5347696	Yes	
row_28	RAC2	1440	1.5655202865600586	0.546178	Yes	
row_29	VASP	1451	1.5610438585281372	0.55932343	Yes	
row_30	ACTN4	1496	1.539654016494751	0.5700425	Yes	
row_31	AFDN	1548	1.5180866718292236	0.5801102	Yes	
row_32	ICAM1	1554	1.5167410373687744	0.59319293	Yes	
row_33	MYL9	1854	1.3902214765548706	0.585811	Yes	
row_34	CXCL12	1863	1.3855669498443604	0.59753644	Yes	
row_35	MYL12B	1865	1.3850510120391846	0.6097179	Yes	
row_36	GNAI1	2047	1.3084605932235718	0.6093777	Yes	
row_37	RAP1B	2071	1.2997571229934692	0.6193573	Yes	
row_38	GNAI2	2334	1.2096850872039795	0.61281365	No	
row_39	NCF1	2607	1.1280890703201294	0.60489047	No	
row_40	VCL	2982	1.0188888311386108	0.58928984	No	
row_41	PIK3CA	3159	0.9712439179420471	0.58629686	No	
row_42	ROCK2	3339	0.9249261617660522	0.58269686	No	
row_43	PTPN11	3568	0.8673426508903503	0.57536334	No	
row_44	CYBB	3605	0.8607083559036255	0.5806052	No	
row_45	CDH5	4085	0.7528194189071655	0.5557426	No	
row_46	NCF4	4200	0.7270639538764954	0.5546702	No	
row_47	ITGA4	4209	0.7249131798744202	0.5605538	No	
row_48	OCLN	4388	0.6850377917289734	0.5548984	No	
row_49	PIK3R2	4567	0.6431885957717896	0.54887295	No	
row_50	GNAI3	4639	0.6260373592376709	0.5497367	No	
row_51	MMP2	4694	0.6141442060470581	0.5516139	No	
row_52	ROCK1	4763	0.6020698547363281	0.5524631	No	
row_53	MAPK13	4764	0.6019817590713501	0.5577861	No	
row_54	ITK	4806	0.5942170023918152	0.56034255	No	
row_55	RHOA	5080	0.5271998643875122	0.5470403	No	
row_56	VAV2	5389	0.4654310941696167	0.5308887	No	
row_57	CLDN20	5555	0.4276054799556732	0.52381235	No	
row_58	PIK3R5	5675	0.40769314765930176	0.51958686	No	
row_59	ACTN2	5753	0.3921161890029907	0.5179874	No	
row_60	JAM2	6081	0.32025933265686035	0.49930185	No	
row_61	PLCG1	6110	0.31435906887054443	0.5002391	No	
row_62	PIK3CB	6129	0.3092108368873596	0.50178885	No	
row_63	ACTN1	6246	0.2857871949672699	0.49668282	No	
row_64	VAV1	6479	0.24056224524974823	0.4835438	No	
row_65	CLDN11	6706	0.20423559844493866	0.4704784	No	
row_66	CD99	6789	0.19387821853160858	0.46679696	No	
row_67	ARHGAP35	6883	0.17738614976406097	0.46224585	No	
row_68	CLDN10	6884	0.17734681069850922	0.46381405	No	
row_69	CTNNA2	7140	0.13055716454982758	0.44818887	No	
row_70	CLDN5	7502	0.07950041443109512	0.42513716	No	
row_71	ARHGAP5	7630	0.06109479069709778	0.4173205	No	
row_72	BCAR1	7726	0.04996955394744873	0.4115111	No	
row_73	PRKCA	7961	0.019298546016216278	0.39628398	No	
row_74	PTK2	8340	-0.02187166176736355	0.37160403	No	
row_75	TXK	8520	-0.04435639828443527	0.36021763	No	
row_76	PLCG2	8621	-0.05388709530234337	0.35411388	No	
row_77	JAM3	8892	-0.08550895005464554	0.3371033	No	
row_78	PRKCG	8913	-0.08755506575107574	0.33656147	No	
