NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRKX	650	2.1879615783691406	0.039958622	No	
row_1	PRKACB	1157	1.7195854187011719	0.071681865	No	
row_2	CALM1	2757	1.0850201845169067	0.0077270544	No	
row_3	CAMK2D	3080	0.9887485504150391	0.023930026	No	
row_4	CAMK2G	3806	0.8172444105148315	0.00721405	No	
row_5	PRKG1	4120	0.7447420954704285	0.014794769	No	
row_6	CALML6	4221	0.7219862937927246	0.03549269	No	
row_7	ARRB2	5308	0.4806862771511078	-0.017618174	No	
row_8	OR52I1	5962	0.3450064957141876	-0.04743974	No	
row_9	PDE1C	6054	0.3249295651912689	-0.041142702	No	
row_10	GNAL	6107	0.31492507457733154	-0.03266434	No	
row_11	OR51E2	6278	0.27962788939476013	-0.033261456	No	
row_12	OR51F1	6554	0.22844141721725464	-0.04268095	No	
row_13	GUCA1B	6667	0.20959652960300446	-0.042116422	No	
row_14	OR4Q3	7788	0.042188700288534164	-0.11401434	No	
row_15	CLCA2	8226	-0.011448939330875874	-0.14225662	No	
row_16	OR2C1	8296	-0.017700165510177612	-0.14611588	No	
row_17	OR11G2	8320	-0.019757363945245743	-0.14687909	No	
row_18	OR51T1	8492	-0.041270557790994644	-0.15654135	No	
row_19	CALM2	8504	-0.04297272488474846	-0.15564063	No	
row_20	OR52E4	8545	-0.046831466257572174	-0.15649712	No	
row_21	GRK3	8945	-0.09006617963314056	-0.17927764	No	
row_22	OR52N2	9019	-0.0992472767829895	-0.18032046	No	
row_23	OR5J2	9195	-0.11688188463449478	-0.18739036	No	
row_24	OR8D4	9315	-0.1272924542427063	-0.19039264	No	
row_25	OR4N2	9566	-0.15030021965503693	-0.20112205	No	
row_26	OR1E1	9600	-0.15333423018455505	-0.19749805	No	
row_27	PRKG2	10035	-0.18755769729614258	-0.21889424	No	
row_28	OR6S1	10085	-0.19128328561782837	-0.2148873	No	
row_29	PDC	10139	-0.19557110965251923	-0.21098094	No	
row_30	OR56A1	10550	-0.22523164749145508	-0.22937989	No	
row_31	CLCA1	10558	-0.22568781673908234	-0.22131805	No	
row_32	OR8S1	10581	-0.2271757274866104	-0.21418428	No	
row_33	OR2A7	10684	-0.23415637016296387	-0.2120363	No	
row_34	OR2Z1	10940	-0.25325068831443787	-0.21920674	No	
row_35	PRKACA	11036	-0.2602991461753845	-0.21561238	No	
row_36	OR7E24	11656	-0.31047114729881287	-0.24450691	No	
row_37	OR5K1	11671	-0.31162405014038086	-0.23365974	No	
row_38	OR52A5	11728	-0.31668922305107117	-0.22537725	No	
row_39	OR52W1	12234	-0.36399146914482117	-0.24477072	No	
row_40	CNGA3	12377	-0.3761540353298187	-0.23988609	No	
row_41	GUCA1A	12765	-0.417771577835083	-0.24950624	Yes	
row_42	OR9A4	12974	-0.44416359066963196	-0.24638452	Yes	
row_43	CAMK2B	13234	-0.4766221344470978	-0.24538374	Yes	
row_44	GUCY2D	13296	-0.4857928156852722	-0.23104458	Yes	
row_45	CALM3	13392	-0.4988676607608795	-0.21844272	Yes	
row_46	CLCA4	13474	-0.5120404958724976	-0.20442489	Yes	
row_47	OR10A6	13704	-0.5470422506332397	-0.1987968	Yes	
row_48	OR2W1	13755	-0.5571123957633972	-0.18104307	Yes	
row_49	OR7D2	13897	-0.5798401236534119	-0.16840237	Yes	
row_50	OR56B1	13921	-0.5833944082260132	-0.14788468	Yes	
row_51	CNGA4	14666	-0.7958369255065918	-0.16665564	Yes	
row_52	CAMK2A	14831	-0.8775346875190735	-0.14428426	Yes	
row_53	OR10A3	14944	-0.9533173441886902	-0.115639515	Yes	
row_54	OR2D3	14960	-0.9629806280136108	-0.08026509	Yes	
row_55	OR9K2	15167	-1.2705336809158325	-0.045811385	Yes	
row_56	OR6C1	15223	-1.4357889890670776	0.0047899084	Yes	
